# creator_id:
# - orcid:0000-0003-0011-764X
# - orcid:0000-0002-0170-9172
# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   NANDO: http://nanbyodata.jp/ontology/NANDO_
#   orcid: https://orcid.org/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: MONDO:NANDO
# mapping_set_description: This mapping set is manually curated by the NANDO team at
#   nanbyodata.jp.
# mapping_set_id: https://w3id.org/sssom/mappings/1a333d50-1fc7-4017-a2b5-bd955ff2fe91
# mapping_set_title: NANDO - Mondo mappings provided by nanbyodata.jp
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MONDO:0000050	isolated congenital growth hormone deficiency	skos:closeMatch	NANDO:2200317	Congenital growth hormone deficiency	semapv:MappingInversion
MONDO:0000087	polymicrogyria	skos:closeMatch	NANDO:1201071	Polymicrogyria	semapv:MappingInversion
MONDO:0000088	precocious puberty	skos:closeMatch	NANDO:2100135	Precocious puberty	semapv:MappingInversion
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:closeMatch	NANDO:1200334	ICF syndrome	semapv:MappingInversion
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:closeMatch	NANDO:2200708	ICF syndrome	semapv:MappingInversion
MONDO:0000147	polyposis	skos:closeMatch	NANDO:2100257	Polyposis	semapv:MappingInversion
MONDO:0000153	transposition of the great arteries	skos:closeMatch	NANDO:2200258	Complete transposition of the great arteries	semapv:MappingInversion
MONDO:0000188	GLUT1 deficiency syndrome	skos:closeMatch	NANDO:1200799	Glucose transporter 1 deficiency	semapv:MappingInversion
MONDO:0000190	ventricular fibrillation	skos:closeMatch	NANDO:2100052	Ventricular fibrillation	semapv:MappingInversion
MONDO:0000190	ventricular fibrillation	skos:closeMatch	NANDO:2200227	Ventricular fibrillation	semapv:MappingInversion
MONDO:0000351	disorder of methionine catabolism	skos:closeMatch	NANDO:2200475	Hypermethioninemia	semapv:MappingInversion
MONDO:0000355	Ullrich congenital muscular dystrophy	skos:closeMatch	NANDO:1200215	Ullrich disease	semapv:MappingInversion
MONDO:0000355	Ullrich congenital muscular dystrophy	skos:closeMatch	NANDO:2200862	Ullrich congenital muscular dystrophy	semapv:MappingInversion
MONDO:0000390	vitelliform macular dystrophy	skos:closeMatch	NANDO:1200932	Vitelliform macular dystrophy	semapv:MappingInversion
MONDO:0000437	cerebellar ataxia	skos:closeMatch	NANDO:1200037	Spinocerebellar degeneration	semapv:MappingInversion
MONDO:0000437	cerebellar ataxia	skos:closeMatch	NANDO:2100238	Spinocerebellar degeneration	semapv:MappingInversion
MONDO:0000437	cerebellar ataxia	skos:closeMatch	NANDO:2200882	Spinocerebellar degeneration	semapv:MappingInversion
MONDO:0000450	secondary progressive multiple sclerosis	skos:closeMatch	NANDO:1200026	Secondary progressive multiple sclerosis	semapv:MappingInversion
MONDO:0000450	secondary progressive multiple sclerosis	skos:closeMatch	NANDO:2201321	Secondary progressive multiple sclerosis	semapv:MappingInversion
MONDO:0000451	primary progressive multiple sclerosis	skos:closeMatch	NANDO:1200025	Primary progressive multiple sclerosis	semapv:MappingInversion
MONDO:0000451	primary progressive multiple sclerosis	skos:closeMatch	NANDO:2201320	Primary progressive multiple sclerosis	semapv:MappingInversion
MONDO:0000455	cone dystrophy	skos:closeMatch	NANDO:1200936	Cone dystrophy	semapv:MappingInversion
