# curie_map:
#   ICD10: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: https://omim.org/entry/
#   ORDO: http://www.orpha.net/ORDO/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	predicate_id	object_id	match_type
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:105650	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:606164	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:618312	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:618310	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	UMLS:C1260899	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:613308	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:612563	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:612561	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:617409	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:612527	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:614900	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	MedDRA:10062989	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	MESH:D029503	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:606129	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:618313	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	ICD10:D61.0	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	UMLS:C2931850	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:615550	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:610629	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:613309	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:300946	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:615909	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:612562	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:617408	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	oboInOwl:hasDbXref	OMIM:612528	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:exactMatch	UMLS:C2931850	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:612561	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:612563	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:613308	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:exactMatch	MedDRA:10062989	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:617409	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:612527	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:exactMatch	MESH:D029503	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:606164	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:broadMatch	ICD10:D61.0	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:618312	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:618310	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:615550	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:610629	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:612562	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:615909	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:exactMatch	OMIM:105650	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:300946	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:613309	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:614900	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:617408	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:612528	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:606129	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:narrowMatch	OMIM:618313	Unspecified
ORDO:Orphanet_124	Blackfan-Diamond anemia	skos:exactMatch	UMLS:C1260899	Unspecified
ORDO:Orphanet_34516	DNAJB6-related  limb-girdle muscular dystrophy D1	oboInOwl:hasDbXref	ICD10:G71.0	Unspecified
ORDO:Orphanet_34516	DNAJB6-related  limb-girdle muscular dystrophy D1	oboInOwl:hasDbXref	OMIM:603511	Unspecified
ORDO:Orphanet_34516	DNAJB6-related  limb-girdle muscular dystrophy D1	oboInOwl:hasDbXref	UMLS:C3501858	Unspecified
ORDO:Orphanet_34516	DNAJB6-related  limb-girdle muscular dystrophy D1	skos:broadMatch	ICD10:G71.0	Unspecified
ORDO:Orphanet_34516	DNAJB6-related  limb-girdle muscular dystrophy D1	skos:exactMatch	UMLS:C3501858	Unspecified
ORDO:Orphanet_34516	DNAJB6-related  limb-girdle muscular dystrophy D1	skos:exactMatch	OMIM:603511	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	oboInOwl:hasDbXref	MESH:C537633	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	oboInOwl:hasDbXref	ICD10:E88.8	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	oboInOwl:hasDbXref	UMLS:C0266006	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	oboInOwl:hasDbXref	OMIM:262000	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	skos:exactMatch	OMIM:262000	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	skos:exactMatch	UMLS:C0266006	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	skos:exactMatch	MESH:C537633	Unspecified
ORDO:Orphanet_123	Björnstad syndrome	skos:broadMatch	ICD10:E88.8	Unspecified
ORDO:Orphanet_370109	Ataxia-telangiectasia variant	oboInOwl:hasDbXref	UMLS:C1876175	Unspecified
ORDO:Orphanet_370109	Ataxia-telangiectasia variant	oboInOwl:hasDbXref	ICD10:G11.3	Unspecified
ORDO:Orphanet_370109	Ataxia-telangiectasia variant	skos:broadMatch	ICD10:G11.3	Unspecified
ORDO:Orphanet_370109	Ataxia-telangiectasia variant	skos:exactMatch	UMLS:C1876175	Unspecified
ORDO:Orphanet_34515	FKRP-related  limb-girdle muscular dystrophy R9	oboInOwl:hasDbXref	ICD10:G71.0	Unspecified
ORDO:Orphanet_34515	FKRP-related  limb-girdle muscular dystrophy R9	oboInOwl:hasDbXref	OMIM:607155	Unspecified
ORDO:Orphanet_34515	FKRP-related  limb-girdle muscular dystrophy R9	oboInOwl:hasDbXref	UMLS:C1846672	Unspecified
ORDO:Orphanet_34515	FKRP-related  limb-girdle muscular dystrophy R9	skos:exactMatch	UMLS:C1846672	Unspecified
ORDO:Orphanet_34515	FKRP-related  limb-girdle muscular dystrophy R9	skos:exactMatch	OMIM:607155	Unspecified
ORDO:Orphanet_34515	FKRP-related  limb-girdle muscular dystrophy R9	skos:broadMatch	ICD10:G71.0	Unspecified
