mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_diff_mondo	synonym_case_diff_source	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID													A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000001	disease	oio:hasExactSynonym		disease	disease	Disease	Orphanet:377788	disease					disease	Orphanet:377788										
MONDO:0000001	disease	oio:hasExactSynonym		disease			Orphanet:377788	disease					disease	Orphanet:377788										
MONDO:0000023	infantile liver failure	oio:hasExactSynonym		fever-associated acute infantile liver failure syndrome	fever-associated acute infantile liver failure syndrome	Fever-associated acute infantile liver failure syndrome	Orphanet:464724	Fever-associated acute infantile liver failure syndrome					fever-associated acute infantile liver failure syndrome	Orphanet:464724										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital IGHD	congenital IGHD	Congenital IGHD	Orphanet:631	Non-acquired isolated growth hormone deficiency					congenital IGHD	Orphanet:631										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital isolated GH deficiency	congenital isolated GH deficiency	Congenital isolated GH deficiency	Orphanet:631	Non-acquired isolated growth hormone deficiency					congenital isolated GH deficiency	Orphanet:631										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital isolated growth hormone deficiency	congenital isolated growth hormone deficiency	Congenital isolated growth hormone deficiency	Orphanet:631	Non-acquired isolated growth hormone deficiency					congenital isolated growth hormone deficiency	Orphanet:631										
MONDO:0000107	auriculocondylar syndrome	oio:hasExactSynonym		question mark ear syndrome	question mark ear syndrome	Question mark ear syndrome	Orphanet:137888	Auriculocondylar syndrome					question mark ear syndrome	Orphanet:137888										
MONDO:0000127	geleophysic dysplasia	oio:hasExactSynonym		geleophysic dwarfism	geleophysic dwarfism	Geleophysic dwarfism	Orphanet:2623	Geleophysic dysplasia					geleophysic dwarfism	Orphanet:2623										
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oio:hasExactSynonym		immunodeficiency-centromeric instability-facial anomalies syndrome	immunodeficiency-centromeric instability-facial anomalies syndrome	Immunodeficiency-centromeric instability-facial anomalies syndrome	Orphanet:2268	ICF syndrome					immunodeficiency-centromeric instability-facial anomalies syndrome	Orphanet:2268										
MONDO:0000141	mosaic variegated aneuploidy syndrome	oio:hasExactSynonym		Warburton-Anyane-Yeboa syndrome			Orphanet:1052	Mosaic variegated aneuploidy syndrome					Warburton-Anyane-Yeboa syndrome	Orphanet:1052										
MONDO:0000153	transposition of the great arteries	oio:hasExactSynonym		complete transposition	complete transposition	Complete transposition	Orphanet:216675	Transposition of the great arteries					complete transposition	Orphanet:216675										
MONDO:0000153	transposition of the great arteries	oio:hasExactSynonym		transposition of the great vessels	transposition of the great vessels	Transposition of the great vessels	Orphanet:216675	Transposition of the great arteries					transposition of the great vessels	Orphanet:216675										
MONDO:0000153	transposition of the great arteries	oio:hasExactSynonym		TGA			Orphanet:216675	Transposition of the great arteries	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	http://purl.obolibrary.org/obo/mondo#ABBREVIATION			TGA	Orphanet:216675	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000153	transposition of the great arteries	oio:hasExactSynonym		TGV			Orphanet:216675	Transposition of the great arteries	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	http://purl.obolibrary.org/obo/mondo#ABBREVIATION			TGV	Orphanet:216675	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000170	microphthalmia, isolated, with coloboma	oio:hasExactSynonym		colobomatous microphthalmia	colobomatous microphthalmia	Colobomatous microphthalmia	Orphanet:98938	Colobomatous microphthalmia					colobomatous microphthalmia	Orphanet:98938										
MONDO:0000170	microphthalmia, isolated, with coloboma	oio:hasExactSynonym		microphthalmia with colobomatous cyst	microphthalmia with colobomatous cyst	Microphthalmia with colobomatous cyst	Orphanet:98938	Colobomatous microphthalmia					microphthalmia with colobomatous cyst	Orphanet:98938										
