mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000044	hereditary hypophosphatemic rickets	oio:hasExactSynonym		Hypophosphatemic rickets				Hypophosphatemic rickets			Orphanet:437	Hypophosphatemic rickets					Hypophosphatemic rickets	Orphanet:437										
MONDO:0000087	polymicrogyria	oio:hasExactSynonym		Polymicrogyria				Polymicrogyria			Orphanet:35981	Polymicrogyria					Polymicrogyria	Orphanet:35981										
MONDO:0000088	precocious puberty	oio:hasExactSynonym		Rare precocious puberty				Rare precocious puberty			Orphanet:95708	Rare precocious puberty					Rare precocious puberty	Orphanet:95708										
MONDO:0000107	auriculocondylar syndrome	oio:hasExactSynonym		Auriculocondylar syndrome				Auriculocondylar syndrome			Orphanet:137888	Auriculocondylar syndrome					Auriculocondylar syndrome	Orphanet:137888										
MONDO:0000110	bifid nose	oio:hasExactSynonym		Bifid nose				Bifid nose			Orphanet:2695	Bifid nose					Bifid nose	Orphanet:2695										
MONDO:0000127	geleophysic dysplasia	oio:hasExactSynonym		Geleophysic dysplasia				Geleophysic dysplasia			Orphanet:2623	Geleophysic dysplasia					Geleophysic dysplasia	Orphanet:2623										
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oio:hasExactSynonym		Immunodeficiency-centromeric instability-facial dysmorphism syndrome				Immunodeficiency-centromeric instability-facial dysmorphism syndrome			Orphanet:2268	ICF syndrome					Immunodeficiency-centromeric instability-facial dysmorphism syndrome	Orphanet:2268										
MONDO:0000136	keratosis follicularis spinulosa decalvans	oio:hasExactSynonym		Keratosis follicularis spinulosa decalvans				Keratosis follicularis spinulosa decalvans			Orphanet:2340	Keratosis follicularis spinulosa decalvans					Keratosis follicularis spinulosa decalvans	Orphanet:2340										
MONDO:0000141	mosaic variegated aneuploidy syndrome	oio:hasExactSynonym		Mosaic variegated aneuploidy syndrome				Mosaic variegated aneuploidy syndrome			Orphanet:1052	Mosaic variegated aneuploidy syndrome					Mosaic variegated aneuploidy syndrome	Orphanet:1052										
