mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_diff_mondo	synonym_case_diff_source	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID													A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000001	disease	oio:hasExactSynonym		disease			DOID:4	disease					disease	DOID:4										
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal cortical hypofunction			DOID:10493	adrenal cortical hypofunction					adrenal cortical hypofunction	DOID:10493										
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal cortical insufficiency	adrenal cortical insufficiency	Adrenal Cortical Insufficiency	DOID:10493	adrenal cortical hypofunction					adrenal cortical insufficiency	DOID:10493										
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		corticoadrenal insufficiency	corticoadrenal insufficiency	Corticoadrenal insufficiency	DOID:10493	adrenal cortical hypofunction					corticoadrenal insufficiency	DOID:10493										
MONDO:0000023	infantile liver failure	oio:hasExactSynonym		infantile liver failure syndrome			DOID:0080716	infantile liver failure syndrome					infantile liver failure syndrome	DOID:0080716										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital IGHD			DOID:0060870	isolated growth hormone deficiency					congenital IGHD	DOID:0060870										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital isolated GH deficiency			DOID:0060870	isolated growth hormone deficiency					congenital isolated GH deficiency	DOID:0060870										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital isolated growth hormone deficiency			DOID:0060870	isolated growth hormone deficiency					congenital isolated growth hormone deficiency	DOID:0060870										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		familial isolated growth hormone deficiency			DOID:0060870	isolated growth hormone deficiency					familial isolated growth hormone deficiency	DOID:0060870										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		isolated growth hormone deficiency			DOID:0060870	isolated growth hormone deficiency					isolated growth hormone deficiency	DOID:0060870										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		IGHD			DOID:0060870	isolated growth hormone deficiency	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	http://purl.obolibrary.org/obo/mondo#ABBREVIATION			IGHD	DOID:0060870	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000127	geleophysic dysplasia	oio:hasExactSynonym		geleophysic dwarfism			DOID:0111724	geleophysic dysplasia					geleophysic dwarfism	DOID:0111724										
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oio:hasExactSynonym		immunodeficiency-centromeric instability-facial anomalies syndrome			DOID:0090007	immunodeficiency-centromeric instability-facial anomalies syndrome					immunodeficiency-centromeric instability-facial anomalies syndrome	DOID:0090007										
