mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_internal	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																		A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000009	inherited bleeding disorder, platelet-type	oio:hasExactSynonym	oio:hasBroadSynonym	blood platelet disease	blood platelet disease		False	blood platelet disease		False	DOID:2218	blood platelet disease		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				blood platelet disease	DOID:2218										
MONDO:0000009	inherited bleeding disorder, platelet-type	oio:hasExactSynonym	oio:hasBroadSynonym	platelet disorder	platelet disorder		False	platelet disorder		False	DOID:2218	blood platelet disease						platelet disorder	DOID:2218										
MONDO:0000261	adenoiditis	oio:hasExactSynonym	oio:hasNarrowSynonym	chronic adenoiditis	chronic adenoiditis		False	chronic adenoiditis		False	DOID:0050145	adenoiditis						chronic adenoiditis	DOID:0050145										
MONDO:0000332	sennetsu fever	oio:hasExactSynonym	oio:hasRelatedSynonym	sennetsu ehrlichiosis	sennetsu ehrlichiosis	sennetsu ehrlichiosis	False	Sennetsu ehrlichiosis	Sennetsu ehrlichiosis	False	DOID:0050485	sennetsu fever				Wikipedia:Neorickettsia_sennetsu		sennetsu ehrlichiosis	DOID:0050485										
MONDO:0000338	variola major infectious disease	oio:hasExactSynonym	oio:hasBroadSynonym	variola major	variola major		False	variola major		False	DOID:0050508	variola major		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				variola major	DOID:0050508										
MONDO:0000355	Ullrich congenital muscular dystrophy	oio:hasExactSynonym	oio:hasRelatedSynonym	Ullrich disease	Ullrich disease	Ullrich disease	False	ULLRICH DISEASE	ULLRICH DISEASE	False	DOID:0050558	Ullrich congenital muscular dystrophy				https://www.ncbi.nlm.nih.gov/gtr/conditions/C0410179/		Ullrich disease	DOID:0050558										
MONDO:0000359	spondylocostal dysostosis	oio:hasExactSynonym	oio:hasRelatedSynonym	Jarcho-Levin syndrome	Jarcho-Levin syndrome		False	Jarcho-Levin syndrome		False	DOID:0050568	spondylocostal dysostosis			http://purl.obolibrary.org/obo/mondo#DEPRECATED	https://rarediseases.org/rare-diseases/jarcho-levin-syndrome/		Jarcho-Levin syndrome	DOID:0050568										
MONDO:0000380	paranasal sinus carcinoma	oio:hasExactSynonym	oio:hasBroadSynonym	paranasal sinus cancer	paranasal sinus cancer		False	paranasal sinus cancer		False	DOID:0050619	paranasal sinus cancer		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL		MONDO:patterns/location		paranasal sinus cancer	DOID:0050619										
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	oio:hasExactSynonym	oio:hasBroadSynonym	gastrointestinal neuroendocrine tumor	gastrointestinal neuroendocrine tumor		False	gastrointestinal neuroendocrine tumor		False	DOID:0050626	gastrointestinal neuroendocrine tumor		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				gastrointestinal neuroendocrine tumor	DOID:0050626										
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	oio:hasExactSynonym	oio:hasNarrowSynonym	malignant gastrointestinal neuroendocrine tumor	malignant gastrointestinal neuroendocrine tumor		False	malignant gastrointestinal neuroendocrine tumor		False	DOID:0050626	gastrointestinal neuroendocrine tumor						malignant gastrointestinal neuroendocrine tumor	DOID:0050626										
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	oio:hasExactSynonym	oio:hasBroadSynonym	gastrointestinal neuroendocrine tumour	gastrointestinal neuroendocrine tumour		False	gastrointestinal neuroendocrine tumour		False	DOID:0050626	gastrointestinal neuroendocrine tumor			http://purl.obolibrary.org/obo/OMO_0003005			gastrointestinal neuroendocrine tumour	DOID:0050626										
