mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_internal	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																		A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000001	disease			Diagnosis				Diagnosis			NCIT:C2991	Disease or Disorder					added	Diagnosis	NCIT:C2991										
MONDO:0000004	adrenocortical insufficiency			Hypoadrenocorticism				Hypoadrenocorticism			icd11.foundation:733056203	Adrenocortical insufficiency					added	Hypoadrenocorticism	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			adrenal cortex deficiency				adrenal cortex deficiency			icd11.foundation:733056203	Adrenocortical insufficiency					added	adrenal cortex deficiency	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			adrenal cortex hypofunction				adrenal cortex hypofunction			icd11.foundation:733056203	Adrenocortical insufficiency					added	adrenal cortex hypofunction	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			adrenal failure NOS				adrenal failure NOS			icd11.foundation:733056203	Adrenocortical insufficiency					added	adrenal failure NOS	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			adrenal hypofunction				adrenal hypofunction			icd11.foundation:733056203	Adrenocortical insufficiency					added	adrenal hypofunction	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			adrenocortical hypofunction				adrenocortical hypofunction			icd11.foundation:733056203	Adrenocortical insufficiency					added	adrenocortical hypofunction	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			aldosterone deficiency				aldosterone deficiency			icd11.foundation:733056203	Adrenocortical insufficiency					added	aldosterone deficiency	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			corticoadrenal deficiency				corticoadrenal deficiency			icd11.foundation:733056203	Adrenocortical insufficiency					added	corticoadrenal deficiency	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			corticoadrenal hypofunction				corticoadrenal hypofunction			icd11.foundation:733056203	Adrenocortical insufficiency					added	corticoadrenal hypofunction	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			corticoadrenal insufficiency nos				corticoadrenal insufficiency nos			icd11.foundation:733056203	Adrenocortical insufficiency					added	corticoadrenal insufficiency nos	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			hypoadrenia				hypoadrenia			icd11.foundation:733056203	Adrenocortical insufficiency					added	hypoadrenia	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency			suprarenal insufficiency				suprarenal insufficiency			icd11.foundation:733056203	Adrenocortical insufficiency					added	suprarenal insufficiency	icd11.foundation:733056203										
MONDO:0000005	alopecia, isolated			Alopecia, isolated				Alopecia, isolated			OMIMPS:203655	Alopecia, isolated		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Alopecia, isolated	OMIMPS:203655										
MONDO:0000022	nocturnal enuresis			Nocturnal Enuresis				Nocturnal Enuresis			NCIT:C118172	Nocturnal Enuresis					added	Nocturnal Enuresis	NCIT:C118172										
MONDO:0000022	nocturnal enuresis			Nocturnal enuresis				Nocturnal enuresis			icd11.foundation:1048673005	Nocturnal enuresis		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Nocturnal enuresis	icd11.foundation:1048673005										
MONDO:0000030	familial sleep-related hypermotor epilepsy			Epilepsy, nocturnal frontal lobe				Epilepsy, nocturnal frontal lobe			OMIMPS:600513	Epilepsy, nocturnal frontal lobe		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Epilepsy, nocturnal frontal lobe	OMIMPS:600513										
MONDO:0000030	familial sleep-related hypermotor epilepsy			Autosomal dominant sleep-related hypermotor epilepsy				Autosomal dominant sleep-related hypermotor epilepsy			Orphanet:98784	Sleep-related hypermotor epilepsy					added	Autosomal dominant sleep-related hypermotor epilepsy	Orphanet:98784										
MONDO:0000030	familial sleep-related hypermotor epilepsy			Sleep-related hypermotor epilepsy				Sleep-related hypermotor epilepsy			Orphanet:98784	Sleep-related hypermotor epilepsy		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Sleep-related hypermotor epilepsy	Orphanet:98784										
MONDO:0000030	familial sleep-related hypermotor epilepsy			SHE				SHE			Orphanet:98784	Sleep-related hypermotor epilepsy	MONDO:ABBREVIATION				added	SHE	Orphanet:98784	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000032	febrile seizures, familial			familial febrile seizures				familial febrile seizures			DOID:0111297	familial febrile seizures		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	familial febrile seizures	DOID:0111297										
MONDO:0000044	hereditary hypophosphatemic rickets			Hypophosphatemic rickets				Hypophosphatemic rickets			OMIMPS:193100	Hypophosphatemic rickets		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Hypophosphatemic rickets	OMIMPS:193100										
MONDO:0000044	hereditary hypophosphatemic rickets			Hypophosphatemic rickets				Hypophosphatemic rickets			Orphanet:437	Hypophosphatemic rickets		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Hypophosphatemic rickets	Orphanet:437										
MONDO:0000044	hereditary hypophosphatemic rickets			HPDR - [hypophosphatemic vitamin d-resistant rickets]				HPDR - [hypophosphatemic vitamin d-resistant rickets]			icd11.foundation:1010293846	Hypophosphataemic rickets					added	HPDR - [hypophosphatemic vitamin d-resistant rickets]	icd11.foundation:1010293846										
MONDO:0000044	hereditary hypophosphatemic rickets			Hypophosphataemic rickets				Hypophosphataemic rickets			icd11.foundation:1010293846	Hypophosphataemic rickets		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Hypophosphataemic rickets	icd11.foundation:1010293846										
MONDO:0000044	hereditary hypophosphatemic rickets			VDRR - [vitamin-D-resistant rickets]				VDRR - [vitamin-D-resistant rickets]			icd11.foundation:1010293846	Hypophosphataemic rickets					added	VDRR - [vitamin-D-resistant rickets]	icd11.foundation:1010293846										
MONDO:0000044	hereditary hypophosphatemic rickets			Vitamin-D-resistant rickets				Vitamin-D-resistant rickets			icd11.foundation:1010293846	Hypophosphataemic rickets					added	Vitamin-D-resistant rickets	icd11.foundation:1010293846										
MONDO:0000045	hypothyroidism, congenital, nongoitrous			Hypothyroidism, congenital, nongoitrous				Hypothyroidism, congenital, nongoitrous			OMIMPS:275200	Hypothyroidism, congenital, nongoitrous		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Hypothyroidism, congenital, nongoitrous	OMIMPS:275200										
MONDO:0000050	isolated congenital growth hormone deficiency			Non-acquired isolated growth hormone deficiency				Non-acquired isolated growth hormone deficiency			Orphanet:631	Non-acquired isolated growth hormone deficiency		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Non-acquired isolated growth hormone deficiency	Orphanet:631										
MONDO:0000050	isolated congenital growth hormone deficiency			Congenital IGHD - [isolated growth hormone deficiency]				Congenital IGHD - [isolated growth hormone deficiency]			icd11.foundation:936501166	Nonacquired isolated growth hormone deficiency					added	Congenital IGHD - [isolated growth hormone deficiency]	icd11.foundation:936501166										
MONDO:0000050	isolated congenital growth hormone deficiency			Nonacquired isolated growth hormone deficiency				Nonacquired isolated growth hormone deficiency			icd11.foundation:936501166	Nonacquired isolated growth hormone deficiency		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Nonacquired isolated growth hormone deficiency	icd11.foundation:936501166										
MONDO:0000050	isolated congenital growth hormone deficiency			Pituitary nanism				Pituitary nanism			icd11.foundation:936501166	Nonacquired isolated growth hormone deficiency					added	Pituitary nanism	icd11.foundation:936501166										
MONDO:0000062	isolated microphthalmia			isolated microphthalmia				isolated microphthalmia			DOID:0080637	isolated microphthalmia		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	isolated microphthalmia	DOID:0080637										
MONDO:0000066	mitochondrial respiratory chain complex deficiency			Isolated respiratory chain complex disorder				Isolated respiratory chain complex disorder			Orphanet:254846	Isolated oxidative phosphorylation complex disorder					added	Isolated respiratory chain complex disorder	Orphanet:254846										
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic			hypophosphatemic nephrolithiasis/osteoporosis				hypophosphatemic nephrolithiasis/osteoporosis			DOID:0080655	hypophosphatemic nephrolithiasis/osteoporosis		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	hypophosphatemic nephrolithiasis/osteoporosis	DOID:0080655										
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic			Nephrolithiasis/osteoporosis, hypophosphatemic				Nephrolithiasis/osteoporosis, hypophosphatemic			OMIMPS:612286	Nephrolithiasis/osteoporosis, hypophosphatemic		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Nephrolithiasis/osteoporosis, hypophosphatemic	OMIMPS:612286										
MONDO:0000082	pelvic organ prolapse			Pelvic organ prolapse				Pelvic organ prolapse			icd11.foundation:148580117	Pelvic organ prolapse		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Pelvic organ prolapse	icd11.foundation:148580117										
MONDO:0000082	pelvic organ prolapse			deficiency of perineum				deficiency of perineum			icd11.foundation:148580117	Pelvic organ prolapse					added	deficiency of perineum	icd11.foundation:148580117										
MONDO:0000082	pelvic organ prolapse			female genital prolapse				female genital prolapse			icd11.foundation:148580117	Pelvic organ prolapse					added	female genital prolapse	icd11.foundation:148580117										
MONDO:0000082	pelvic organ prolapse			female prolapse				female prolapse			icd11.foundation:148580117	Pelvic organ prolapse					added	female prolapse	icd11.foundation:148580117										
MONDO:0000082	pelvic organ prolapse			incompetence of pelvic fundus				incompetence of pelvic fundus			icd11.foundation:148580117	Pelvic organ prolapse					added	incompetence of pelvic fundus	icd11.foundation:148580117										
MONDO:0000082	pelvic organ prolapse			relaxation of perineum				relaxation of perineum			icd11.foundation:148580117	Pelvic organ prolapse					added	relaxation of perineum	icd11.foundation:148580117										
MONDO:0000087	polymicrogyria			polymicrogyria				polymicrogyria			DOID:0080918	polymicrogyria		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	polymicrogyria	DOID:0080918										
MONDO:0000087	polymicrogyria			Polymicrogyria				Polymicrogyria			NCIT:C116936	Polymicrogyria					added	Polymicrogyria	NCIT:C116936										
MONDO:0000087	polymicrogyria			Polymicrogyria				Polymicrogyria			Orphanet:35981	Polymicrogyria		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Polymicrogyria	Orphanet:35981										
MONDO:0000087	polymicrogyria			Polymicrogyria				Polymicrogyria			icd11.foundation:2081858551	Polymicrogyria		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Polymicrogyria	icd11.foundation:2081858551										
MONDO:0000088	precocious puberty			Precocious Puberty				Precocious Puberty			NCIT:C79704	Precocious Puberty					added	Precocious Puberty	NCIT:C79704										
MONDO:0000088	precocious puberty			Rare precocious puberty				Rare precocious puberty			Orphanet:95708	Rare precocious puberty		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL			added	Rare precocious puberty	Orphanet:95708										
