mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000005	alopecia, isolated	oio:hasExactSynonym		Alopecia, isolated				Alopecia, isolated			OMIMPS:203655	Alopecia, isolated					Alopecia, isolated	OMIMPS:203655										
MONDO:0000044	hereditary hypophosphatemic rickets	oio:hasExactSynonym		Hypophosphatemic rickets				Hypophosphatemic rickets			OMIMPS:193100	Hypophosphatemic rickets					Hypophosphatemic rickets	OMIMPS:193100										
MONDO:0000045	hypothyroidism, congenital, nongoitrous	oio:hasExactSynonym		Hypothyroidism, congenital, nongoitrous				Hypothyroidism, congenital, nongoitrous			OMIMPS:275200	Hypothyroidism, congenital, nongoitrous					Hypothyroidism, congenital, nongoitrous	OMIMPS:275200										
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic	oio:hasExactSynonym		Nephrolithiasis/osteoporosis, hypophosphatemic				Nephrolithiasis/osteoporosis, hypophosphatemic			OMIMPS:612286	Nephrolithiasis/osteoporosis, hypophosphatemic					Nephrolithiasis/osteoporosis, hypophosphatemic	OMIMPS:612286										
MONDO:0000107	auriculocondylar syndrome	oio:hasExactSynonym		Auriculocondylar syndrome				Auriculocondylar syndrome			OMIMPS:602483	Auriculocondylar syndrome					Auriculocondylar syndrome	OMIMPS:602483										
MONDO:0000127	geleophysic dysplasia	oio:hasExactSynonym		Geleophysic dysplasia				Geleophysic dysplasia			OMIMPS:231050	Geleophysic dysplasia					Geleophysic dysplasia	OMIMPS:231050										
MONDO:0000128	giant axonal neuropathy	oio:hasExactSynonym		Giant axonal neuropathy				Giant axonal neuropathy			OMIMPS:256850	Giant axonal neuropathy					Giant axonal neuropathy	OMIMPS:256850										
MONDO:0000137	leukoencephalopathy, megalencephalic	oio:hasExactSynonym		Leukoencephalopathy, megalencephalic				Leukoencephalopathy, megalencephalic			OMIMPS:604004	Leukoencephalopathy, megalencephalic					Leukoencephalopathy, megalencephalic	OMIMPS:604004										
MONDO:0000141	mosaic variegated aneuploidy syndrome	oio:hasExactSynonym		Mosaic variegated aneuploidy syndrome				Mosaic variegated aneuploidy syndrome			OMIMPS:257300	Mosaic variegated aneuploidy syndrome					Mosaic variegated aneuploidy syndrome	OMIMPS:257300										
MONDO:0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related	oio:hasExactSynonym		Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related				Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related			OMIMPS:614742	Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related					Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related	OMIMPS:614742										
MONDO:0000158	developmental dysplasia of the hip	oio:hasExactSynonym		Developmental dysplasia of the hip				Developmental dysplasia of the hip			OMIMPS:142700	Developmental dysplasia of the hip					Developmental dysplasia of the hip	OMIMPS:142700										
MONDO:0000159	bone marrow failure syndrome	oio:hasExactSynonym		Bone marrow failure syndrome				Bone marrow failure syndrome			OMIMPS:614675	Bone marrow failure syndrome					Bone marrow failure syndrome	OMIMPS:614675										
MONDO:0000160	epilepsy, familial adult myoclonic	oio:hasExactSynonym		Epilepsy, familial adult myoclonic				Epilepsy, familial adult myoclonic			OMIMPS:601068	Epilepsy, familial adult myoclonic					Epilepsy, familial adult myoclonic	OMIMPS:601068										
MONDO:0000166	encephalopathy, acute, infection-induced	oio:hasExactSynonym		Encephalopathy/encephalitis, acute, infection-induced				Encephalopathy/encephalitis, acute, infection-induced			OMIMPS:610551	Encephalopathy/encephalitis, acute, infection-induced					Encephalopathy/encephalitis, acute, infection-induced	OMIMPS:610551										
MONDO:0000170	microphthalmia, isolated, with coloboma	oio:hasExactSynonym		Microphthalmia, isolated, with coloboma				Microphthalmia, isolated, with coloboma			OMIMPS:300345	Microphthalmia, isolated, with coloboma					Microphthalmia, isolated, with coloboma	OMIMPS:300345										
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	oio:hasExactSynonym		Muscular dystrophy-dystroglycanopathy, type A				Muscular dystrophy-dystroglycanopathy, type A			OMIMPS:236670	Muscular dystrophy-dystroglycanopathy, type A					Muscular dystrophy-dystroglycanopathy, type A	OMIMPS:236670										
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	oio:hasExactSynonym		Muscular dystrophy-dystroglycanopathy, type B				Muscular dystrophy-dystroglycanopathy, type B			OMIMPS:613155	Muscular dystrophy-dystroglycanopathy, type B					Muscular dystrophy-dystroglycanopathy, type B	OMIMPS:613155										
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C	oio:hasExactSynonym		Muscular dystrophy-dystroglycanopathy, type C				Muscular dystrophy-dystroglycanopathy, type C			OMIMPS:609308	Muscular dystrophy-dystroglycanopathy, type C					Muscular dystrophy-dystroglycanopathy, type C	OMIMPS:609308										
MONDO:0000179	Neu-Laxova syndrome	oio:hasExactSynonym		Neu-Laxova syndrome				Neu-Laxova syndrome			OMIMPS:256520	Neu-Laxova syndrome					Neu-Laxova syndrome	OMIMPS:256520										
MONDO:0000181	microcephaly and chorioretinopathy	oio:hasExactSynonym		Microcephaly and chorioretinopathy				Microcephaly and chorioretinopathy			OMIMPS:251270	Microcephaly and chorioretinopathy					Microcephaly and chorioretinopathy	OMIMPS:251270										
MONDO:0000192	polyglucosan body myopathy	oio:hasExactSynonym		Polyglucosan body myopathy				Polyglucosan body myopathy			OMIMPS:615895	Polyglucosan body myopathy					Polyglucosan body myopathy	OMIMPS:615895										
MONDO:0000193	cortisone reductase deficiency	oio:hasExactSynonym		Cortisone reductase deficiency				Cortisone reductase deficiency			OMIMPS:604931	Cortisone reductase deficiency					Cortisone reductase deficiency	OMIMPS:604931										
