mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym	oio:hasRelatedSynonym	non-acquired isolated growth hormone deficiency	non-acquired isolated growth hormone deficiency	non-acquired isolated growth hormone deficiency	False	Non-acquired isolated growth hormone deficiency	Non-acquired isolated growth hormone deficiency	False	Orphanet:631	Non-acquired isolated growth hormone deficiency					non-acquired isolated growth hormone deficiency	Orphanet:631										
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	ICF syndrome	ICF syndrome		False	ICF syndrome		False	Orphanet:2268	ICF syndrome					ICF syndrome	Orphanet:2268										
MONDO:0000437	cerebellar ataxia	oio:hasExactSynonym	oio:hasRelatedSynonym	rare ataxia	rare ataxia	rare ataxia	False	Rare ataxia	Rare ataxia	False	Orphanet:102002	Rare ataxia					rare ataxia	Orphanet:102002										
MONDO:0000453	short QT syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	familial short QT syndrome	familial short QT syndrome	familial short QT syndrome	False	Familial short QT syndrome	Familial short QT syndrome	False	Orphanet:51083	Familial short QT syndrome					familial short QT syndrome	Orphanet:51083										
MONDO:0000455	cone dystrophy	oio:hasExactSynonym	oio:hasNarrowSynonym	progressive cone dystrophy	progressive cone dystrophy	progressive cone dystrophy	False	Progressive cone dystrophy	Progressive cone dystrophy	False	Orphanet:1871	Progressive cone dystrophy			https://rarediseases.org/rare-diseases/cone-dystrophy/		progressive cone dystrophy	Orphanet:1871										
MONDO:0000903	myoclonus-dystonia syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Hereditary essential myoclonus	Hereditary essential myoclonus	Hereditary essential myoclonus|hereditary essential myoclonus	True	Hereditary essential myoclonus		False	Orphanet:36899	Myoclonus-dystonia syndrome			MESH:C536096		Hereditary essential myoclonus	Orphanet:36899										
MONDO:0000903	myoclonus-dystonia syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	alcohol-responsive dystonia	alcohol-responsive dystonia	alcohol-responsive dystonia	False	Alcohol-responsive dystonia	Alcohol-responsive dystonia	False	Orphanet:36899	Myoclonus-dystonia syndrome			MESH:C536096		alcohol-responsive dystonia	Orphanet:36899										
MONDO:0000995	familial periodic paralysis	oio:hasExactSynonym	oio:hasRelatedSynonym	genetic periodic paralysis	genetic periodic paralysis	genetic periodic paralysis	False	Genetic periodic paralysis	Genetic periodic paralysis	False	Orphanet:371433	Genetic periodic paralysis			GARD:0006422		genetic periodic paralysis	Orphanet:371433										
MONDO:0001280	choroiditis	oio:hasExactSynonym	oio:hasRelatedSynonym	Posterior Uveitis	Posterior Uveitis	Posterior Uveitis|posterior uveitis	True	Posterior uveitis	Posterior uveitis	False	Orphanet:280892	Posterior uveitis			NORD:1601		Posterior Uveitis	Orphanet:280892										
