mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID											A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000170	microphthalmia, isolated, with coloboma	oio:hasExactSynonym	oio:hasRelatedSynonym	MCOPCB1	OMIM:300345	microphthalmia/coloboma 1	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	OMIM:300345, MONDO:Lexical		MCOPCB1	OMIM:300345	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000200	Zimmermann-Laband syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Zimmermann-Laband syndrome 1	OMIM:135500	zimmermann-laband syndrome 1			OMIM:135500, MONDO:Lexical		Zimmermann-Laband syndrome 1	OMIM:135500										
MONDO:0000200	Zimmermann-Laband syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	ZLS1	OMIM:135500	zimmermann-laband syndrome 1	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	OMIM:135500, MONDO:Lexical		ZLS1	OMIM:135500	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	oio:hasExactSynonym	oio:hasRelatedSynonym	MSSGM	OMIM:616033	microcephaly, short stature, and impaired glucose metabolism 1		http://purl.obolibrary.org/obo/mondo#ABBREVIATION	OMIM:616033, MONDO:Lexical		MSSGM	OMIM:616033										
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	oio:hasExactSynonym	oio:hasRelatedSynonym	microcephaly, short stature, and impaired glucose metabolism	OMIMPS:616033	Microcephaly, short stature, and impaired glucose metabolism			OMIM:616033, MONDO:Lexical		microcephaly, short stature, and impaired glucose metabolism	OMIMPS:616033										
MONDO:0000355	Ullrich congenital muscular dystrophy	oio:hasExactSynonym	oio:hasRelatedSynonym	Ullrich disease	OMIM:254090	ullrich congenital muscular dystrophy 1a			https://www.ncbi.nlm.nih.gov/gtr/conditions/C0410179/, DOID:0050558		Ullrich disease	OMIM:254090										
MONDO:0000359	spondylocostal dysostosis	oio:hasExactSynonym	oio:hasRelatedSynonym	Jarcho-Levin syndrome	OMIM:277300	spondylocostal dysostosis 1, autosomal recessive		http://purl.obolibrary.org/obo/mondo#DEPRECATED	https://rarediseases.org/rare-diseases/jarcho-levin-syndrome/, DOID:0050568		Jarcho-Levin syndrome	OMIM:277300										
MONDO:0000463	Ochoa syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	inverted smile and occult neuropathic bladder	OMIM:236730	urofacial syndrome 1			GARD:0000104		inverted smile and occult neuropathic bladder	OMIM:236730										
MONDO:0000723	stutter disorder	oio:hasExactSynonym	oio:hasNarrowSynonym	stuttering, familial persistent	OMIMPS:184450	Stuttering, familial persistent			OMIMPS:184450		stuttering, familial persistent	OMIMPS:184450										
