mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID											A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000001	disease	oio:hasExactSynonym		condition	NCIT:C2991	Disease or Disorder					condition	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		disease	NCIT:C2991	Disease or Disorder					disease	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		disease	NCIT:C2991	Disease or Disorder					disease	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		disease or disorder	NCIT:C2991	Disease or Disorder					disease or disorder	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		disease or disorder, non-neoplastic	NCIT:C2991	Disease or Disorder					disease or disorder, non-neoplastic	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		diseases	NCIT:C2991	Disease or Disorder					diseases	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		diseases and disorders	NCIT:C2991	Disease or Disorder					diseases and disorders	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		disorder	NCIT:C2991	Disease or Disorder					disorder	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		disorders	NCIT:C2991	Disease or Disorder					disorders	NCIT:C2991										
MONDO:0000001	disease	oio:hasExactSynonym		other disease	NCIT:C2991	Disease or Disorder					other disease	NCIT:C2991										
