mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_diff_mondo	synonym_case_diff_source	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID													A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym	oio:hasRelatedSynonym	hypoadrenalism			icd11.foundation:733056203	Adrenocortical insufficiency			GARD:0006722		hypoadrenalism	icd11.foundation:733056203										
MONDO:0000299	thelaziasis	oio:hasExactSynonym	oio:hasRelatedSynonym	conjunctival spirurosis			icd11.foundation:1803398353	Thelaziasis					conjunctival spirurosis	icd11.foundation:1803398353										
MONDO:0000299	thelaziasis	oio:hasExactSynonym	oio:hasRelatedSynonym	thelaziosis			icd11.foundation:1803398353	Thelaziasis					thelaziosis	icd11.foundation:1803398353										
MONDO:0000299	thelaziasis	oio:hasExactSynonym	oio:hasRelatedSynonym	verminous ophthalmia			icd11.foundation:1803398353	Thelaziasis					verminous ophthalmia	icd11.foundation:1803398353										
MONDO:0000303	conidiobolomycosis	oio:hasExactSynonym	oio:hasRelatedSynonym	rhinoentomophthoromycosis	rhinoentomophthoromycosis	Rhinoentomophthoromycosis	icd11.foundation:1326582778	Conidiobolomycosis					rhinoentomophthoromycosis	icd11.foundation:1326582778										
MONDO:0000330	endemic typhus	oio:hasExactSynonym	oio:hasRelatedSynonym	shop typhus			icd11.foundation:4659958	Typhus fever due to Rickettsia typhi			DOID:0050481		shop typhus	icd11.foundation:4659958										
MONDO:0000453	short QT syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	familial short QT syndrome	familial short QT syndrome	Familial short QT syndrome	icd11.foundation:553392015	Short QT syndrome					familial short QT syndrome	icd11.foundation:553392015										
MONDO:0001024	pneumonic plague	oio:hasExactSynonym	oio:hasNarrowSynonym	primary pneumonic plague			icd11.foundation:1983098110	Pneumonic plague					primary pneumonic plague	icd11.foundation:1983098110										
MONDO:0001078	tropical sprue	oio:hasExactSynonym	oio:hasRelatedSynonym	tropical enteropathy			icd11.foundation:316377284	Tropical sprue			GARD:0007824		tropical enteropathy	icd11.foundation:316377284										
MONDO:0001099	lactocele	oio:hasExactSynonym	oio:hasRelatedSynonym	lacteal cyst			icd11.foundation:1987155556	Lactocele			GARD:0008401		lacteal cyst	icd11.foundation:1987155556										
MONDO:0001103	giardiasis	oio:hasExactSynonym	oio:hasRelatedSynonym	lambliasis			icd11.foundation:433310499	Giardiasis			MESH:D005873		lambliasis	icd11.foundation:433310499										
