mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000009	inherited bleeding disorder, platelet-type	oio:hasExactSynonym		bleeding disorder, platelet-type	bleeding disorder, platelet-type	bleeding disorder, platelet-type	False	Bleeding disorder, platelet-type	Bleeding disorder, platelet-type	False	OMIMPS:231200	Bleeding disorder, platelet-type					bleeding disorder, platelet-type	OMIMPS:231200										
MONDO:0000023	infantile liver failure	oio:hasExactSynonym		infantile liver failure syndrome	infantile liver failure syndrome	infantile liver failure syndrome	False	Infantile liver failure syndrome	Infantile liver failure syndrome	False	OMIMPS:615438	Infantile liver failure syndrome					infantile liver failure syndrome	OMIMPS:615438										
MONDO:0000030	sleep-related hypermotor epilepsy	oio:hasExactSynonym		epilepsy, nocturnal frontal lobe	epilepsy, nocturnal frontal lobe	epilepsy, nocturnal frontal lobe	False	Epilepsy, nocturnal frontal lobe	Epilepsy, nocturnal frontal lobe	False	OMIMPS:600513	Epilepsy, nocturnal frontal lobe					epilepsy, nocturnal frontal lobe	OMIMPS:600513										
MONDO:0000032	febrile seizures, familial	oio:hasExactSynonym		seizures, familial febrile	seizures, familial febrile	seizures, familial febrile	False	Seizures, familial febrile	Seizures, familial febrile	False	OMIMPS:121210	Seizures, familial febrile					seizures, familial febrile	OMIMPS:121210										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		isolated growth hormone deficiency	isolated growth hormone deficiency	isolated growth hormone deficiency	False	Isolated growth hormone deficiency	Isolated growth hormone deficiency	False	OMIMPS:262400	Isolated growth hormone deficiency					isolated growth hormone deficiency	OMIMPS:262400										
MONDO:0000062	isolated microphthalmia	oio:hasExactSynonym		microphthalmia, isolated	microphthalmia, isolated	microphthalmia, isolated	False	Microphthalmia, isolated	Microphthalmia, isolated	False	OMIMPS:251600	Microphthalmia, isolated					microphthalmia, isolated	OMIMPS:251600										
MONDO:0000065	microvascular complications of diabetes, susceptibility	oio:hasExactSynonym		microvascular complications of diabetes	microvascular complications of diabetes	microvascular complications of diabetes	False	Microvascular complications of diabetes	Microvascular complications of diabetes	False	OMIMPS:603933	Microvascular complications of diabetes					microvascular complications of diabetes	OMIMPS:603933										
MONDO:0000070	Mycobacterium tuberculosis, susceptibility	oio:hasExactSynonym		Mycobacterium tuberculosis, susceptibility to	Mycobacterium tuberculosis, susceptibility to	Mycobacterium tuberculosis, susceptibility to	False	mycobacterium tuberculosis, susceptibility to	mycobacterium tuberculosis, susceptibility to	False	OMIM:607948	mycobacterium tuberculosis, susceptibility to					Mycobacterium tuberculosis, susceptibility to	OMIM:607948										
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	oio:hasExactSynonym		progressive external ophthalmoplegia with mtDNA deletions	progressive external ophthalmoplegia with mtDNA deletions	progressive external ophthalmoplegia with mtDNA deletions	False	Progressive external ophthalmoplegia with mtDNA deletions	Progressive external ophthalmoplegia with mtDNA deletions	False	OMIMPS:157640	Progressive external ophthalmoplegia with mtDNA deletions					progressive external ophthalmoplegia with mtDNA deletions	OMIMPS:157640										
