mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000088	precocious puberty	oio:hasExactSynonym		Precocious menstruation				Precocious menstruation			ICD10CM:E30.1	Precocious puberty					Precocious menstruation	ICD10CM:E30.1										
MONDO:0000088	precocious puberty	oio:hasExactSynonym		Precocious puberty				Precocious puberty			ICD10CM:E30.1	Precocious puberty	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Precocious puberty	ICD10CM:E30.1	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000226	mineral metabolism disease	oio:hasExactSynonym		Disorders of mineral metabolism				Disorders of mineral metabolism			ICD10CM:E83	Disorders of mineral metabolism	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Disorders of mineral metabolism	ICD10CM:E83	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000245	tinea imbricata	oio:hasExactSynonym		Tokelau				Tokelau			ICD10CM:B35.5	Tinea imbricata					Tokelau	ICD10CM:B35.5										
MONDO:0000245	tinea imbricata	oio:hasExactSynonym		Tinea imbricata				Tinea imbricata			ICD10CM:B35.5	Tinea imbricata	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Tinea imbricata	ICD10CM:B35.5	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000309	aniseikonia	oio:hasExactSynonym		Aniseikonia				Aniseikonia			ICD10CM:H52.32	Aniseikonia	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Aniseikonia	ICD10CM:H52.32	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000342	O'nyong'nyong fever	oio:hasExactSynonym		O'nyong-nyong fever				O'nyong-nyong fever			ICD10CM:A92.1	O'nyong-nyong fever	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				O'nyong-nyong fever	ICD10CM:A92.1	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000367	taeniasis	oio:hasExactSynonym		Taeniasis				Taeniasis			ICD10CM:B68	Taeniasis	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Taeniasis	ICD10CM:B68	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000384	bladder benign neoplasm	oio:hasExactSynonym		Benign neoplasm of ureteric orifice of bladder				Benign neoplasm of ureteric orifice of bladder			ICD10CM:D30.3	Benign neoplasm of bladder					Benign neoplasm of ureteric orifice of bladder	ICD10CM:D30.3										
MONDO:0000384	bladder benign neoplasm	oio:hasExactSynonym		Benign neoplasm of urethral orifice of bladder				Benign neoplasm of urethral orifice of bladder			ICD10CM:D30.3	Benign neoplasm of bladder					Benign neoplasm of urethral orifice of bladder	ICD10CM:D30.3										
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	oio:hasExactSynonym		Lennert's lymphoma				Lennert's lymphoma			ICD10CM:C84.4	Peripheral T-cell lymphoma, not classified					Lennert's lymphoma	ICD10CM:C84.4										
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	oio:hasExactSynonym		Lymphoepithelioid lymphoma				Lymphoepithelioid lymphoma			ICD10CM:C84.4	Peripheral T-cell lymphoma, not classified					Lymphoepithelioid lymphoma	ICD10CM:C84.4										
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	oio:hasExactSynonym		Mature T-cell lymphoma, not elsewhere classified				Mature T-cell lymphoma, not elsewhere classified			ICD10CM:C84.4	Peripheral T-cell lymphoma, not classified					Mature T-cell lymphoma, not elsewhere classified	ICD10CM:C84.4										
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	oio:hasExactSynonym		Peripheral T-cell lymphoma, not classified				Peripheral T-cell lymphoma, not classified			ICD10CM:C84.4	Peripheral T-cell lymphoma, not classified	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Peripheral T-cell lymphoma, not classified	ICD10CM:C84.4	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000447	autosomal dominant polycystic liver disease	oio:hasExactSynonym		Fibrocystic disease of liver				Fibrocystic disease of liver			ICD10CM:Q44.6	Cystic disease of liver					Fibrocystic disease of liver	ICD10CM:Q44.6										
MONDO:0000447	autosomal dominant polycystic liver disease	oio:hasExactSynonym		Cystic disease of liver				Cystic disease of liver			ICD10CM:Q44.6	Cystic disease of liver	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Cystic disease of liver	ICD10CM:Q44.6	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000598	aphasia	oio:hasExactSynonym		Aphasia				Aphasia			ICD10CM:R47.01	Aphasia	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Aphasia	ICD10CM:R47.01	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000665	apraxia	oio:hasExactSynonym		Apraxia				Apraxia			ICD10CM:R48.2	Apraxia	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Apraxia	ICD10CM:R48.2	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000690	body dysmorphic disorder	oio:hasExactSynonym		Dysmorphophobia (nondelusional)				Dysmorphophobia (nondelusional)			ICD10CM:F45.22	Body dysmorphic disorder					Dysmorphophobia (nondelusional)	ICD10CM:F45.22										
MONDO:0000690	body dysmorphic disorder	oio:hasExactSynonym		Nosophobia				Nosophobia			ICD10CM:F45.22	Body dysmorphic disorder					Nosophobia	ICD10CM:F45.22										
MONDO:0000690	body dysmorphic disorder	oio:hasExactSynonym		Body dysmorphic disorder				Body dysmorphic disorder			ICD10CM:F45.22	Body dysmorphic disorder	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Body dysmorphic disorder	ICD10CM:F45.22	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000703	collagenous colitis	oio:hasExactSynonym		Collagenous colitis				Collagenous colitis			ICD10CM:K52.831	Collagenous colitis	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Collagenous colitis	ICD10CM:K52.831	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000704	lymphocytic colitis	oio:hasExactSynonym		Lymphocytic colitis				Lymphocytic colitis			ICD10CM:K52.832	Lymphocytic colitis	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Lymphocytic colitis	ICD10CM:K52.832	http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL									
MONDO:0000733	cornea plana	oio:hasExactSynonym		Congenital malformation of cornea NOS				Congenital malformation of cornea NOS			ICD10CM:Q13.4	Other congenital corneal malformations					Congenital malformation of cornea NOS	ICD10CM:Q13.4										
MONDO:0000733	cornea plana	oio:hasExactSynonym		Microcornea				Microcornea			ICD10CM:Q13.4	Other congenital corneal malformations					Microcornea	ICD10CM:Q13.4										
MONDO:0000733	cornea plana	oio:hasExactSynonym		Peter's anomaly				Peter's anomaly			ICD10CM:Q13.4	Other congenital corneal malformations					Peter's anomaly	ICD10CM:Q13.4										
