mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_diff_mondo	synonym_case_diff_source	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID													A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000001	disease	oio:hasExactSynonym		Diagnosis			NCIT:C2991	Disease or Disorder					Diagnosis	NCIT:C2991										
MONDO:0000022	nocturnal enuresis	oio:hasExactSynonym		Nocturnal Enuresis			NCIT:C118172	Nocturnal Enuresis					Nocturnal Enuresis	NCIT:C118172										
MONDO:0000087	polymicrogyria	oio:hasExactSynonym		Polymicrogyria			NCIT:C116936	Polymicrogyria					Polymicrogyria	NCIT:C116936										
MONDO:0000088	precocious puberty	oio:hasExactSynonym		Precocious Puberty			NCIT:C79704	Precocious Puberty					Precocious Puberty	NCIT:C79704										
MONDO:0000128	giant axonal neuropathy	oio:hasExactSynonym		Giant Axonal Neuropathy			NCIT:C84728	Giant Axonal Neuropathy					Giant Axonal Neuropathy	NCIT:C84728										
MONDO:0000159	bone marrow failure syndrome	oio:hasExactSynonym		Bone Marrow Failure Syndrome			NCIT:C165614	Bone Marrow Failure Syndrome					Bone Marrow Failure Syndrome	NCIT:C165614										
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	oio:hasExactSynonym		Muscular Dystrophy-Dystroglycanopathy (Congenital with Brain and Eye Anomalies) Type A			NCIT:C99109	Walker-Warburg Syndrome					Muscular Dystrophy-Dystroglycanopathy (Congenital with Brain and Eye Anomalies) Type A	NCIT:C99109										
MONDO:0000297	baylisascariasis	oio:hasExactSynonym		Baylisascariasis			NCIT:C128397	Baylisascariasis					Baylisascariasis	NCIT:C128397										
MONDO:0000330	endemic typhus	oio:hasExactSynonym		Endemic Typhus			NCIT:C84688	Endemic Typhus Fever					Endemic Typhus	NCIT:C84688										
MONDO:0000334	multinodular goiter	oio:hasExactSynonym		Multinodular Goiter			NCIT:C131438	Multinodular Goiter					Multinodular Goiter	NCIT:C131438										
MONDO:0000355	Ullrich congenital muscular dystrophy	oio:hasExactSynonym		Ullrich Congenital Muscular Dystrophy			NCIT:C123438	Ullrich Congenital Muscular Dystrophy					Ullrich Congenital Muscular Dystrophy	NCIT:C123438										
MONDO:0000367	taeniasis	oio:hasExactSynonym		Taeniasis			NCIT:C85180	Taeniasis					Taeniasis	NCIT:C85180										
MONDO:0000371	oral cavity carcinoma in situ	oio:hasExactSynonym		Oral Cavity Carcinoma in situ			NCIT:C4587	Stage 0 Oral Cavity Cancer AJCC v6 and v7					Oral Cavity Carcinoma in situ	NCIT:C4587										
MONDO:0000377	malignant Leydig cell tumor	oio:hasExactSynonym		Carcinoma, Leydig Cell			NCIT:C4213	Malignant Leydig Cell Tumor					Carcinoma, Leydig Cell	NCIT:C4213										
MONDO:0000377	malignant Leydig cell tumor	oio:hasExactSynonym		Interstitial cell tumor, malignant			NCIT:C4213	Malignant Leydig Cell Tumor					Interstitial cell tumor, malignant	NCIT:C4213										
MONDO:0000377	malignant Leydig cell tumor	oio:hasExactSynonym		Malignant Leydig Cell Tumor			NCIT:C4213	Malignant Leydig Cell Tumor					Malignant Leydig Cell Tumor	NCIT:C4213										
MONDO:0000378	malignant Sertoli cell tumor	oio:hasExactSynonym		Malignant Sertoli Cell Tumor			NCIT:C67006	Malignant Sertoli Cell Tumor					Malignant Sertoli Cell Tumor	NCIT:C67006										
MONDO:0000378	malignant Sertoli cell tumor	oio:hasExactSynonym		Sertoli cell carcinoma			NCIT:C67006	Malignant Sertoli Cell Tumor					Sertoli cell carcinoma	NCIT:C67006										
MONDO:0000385	benign digestive system neoplasm	oio:hasExactSynonym		Benign Digestive System Neoplasm			NCIT:C4787	Benign Digestive System Neoplasm					Benign Digestive System Neoplasm	NCIT:C4787										
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	oio:hasExactSynonym		GEP-NET			NCIT:C95404	Digestive System Neuroendocrine Tumor	http://purl.obolibrary.org/obo/mondo#ABBREVIATION				GEP-NET	NCIT:C95404	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000396	spastic cerebral palsy	oio:hasExactSynonym		Spastic Cerebral Palsy			NCIT:C116903	Spastic Cerebral Palsy					Spastic Cerebral Palsy	NCIT:C116903										
MONDO:0000397	ataxic cerebral palsy	oio:hasExactSynonym		Ataxic Cerebral Palsy			NCIT:C97168	Ataxic Cerebral Palsy					Ataxic Cerebral Palsy	NCIT:C97168										
MONDO:0000400	mixed cerebral palsy	oio:hasExactSynonym		Mixed Cerebral Palsy			NCIT:C97177	Mixed Cerebral Palsy					Mixed Cerebral Palsy	NCIT:C97177										
MONDO:0000402	small cell carcinoma	oio:hasExactSynonym		Small cell carcinoma, NOS			NCIT:C3915	Small Cell Neuroendocrine Carcinoma					Small cell carcinoma, NOS	NCIT:C3915										
MONDO:0000402	small cell carcinoma	oio:hasExactSynonym		SCNEC			NCIT:C3915	Small Cell Neuroendocrine Carcinoma	http://purl.obolibrary.org/obo/mondo#ABBREVIATION				SCNEC	NCIT:C3915	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000408	fetal alcohol spectrum disorder	oio:hasExactSynonym		Fetal Alcohol Spectrum Disorder			NCIT:C92780	Fetal Alcohol Spectrum Disorder					Fetal Alcohol Spectrum Disorder	NCIT:C92780										
MONDO:0000409	chorioamnionitis	oio:hasExactSynonym		Chorioamnionitis			NCIT:C26720	Chorioamnionitis					Chorioamnionitis	NCIT:C26720										
MONDO:0000410	funisitis	oio:hasExactSynonym		Funisitis			NCIT:C97077	Funisitis					Funisitis	NCIT:C97077										
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	oio:hasExactSynonym		Mature T- and NK-Cell Lymphomas			NCIT:C3468	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma					Mature T- and NK-Cell Lymphomas	NCIT:C3468										
MONDO:0000448	paraganglioma	oio:hasExactSynonym		Paraganglioma, NOS			NCIT:C3308	Paraganglioma					Paraganglioma, NOS	NCIT:C3308										
MONDO:0000473	arterial disorder	oio:hasExactSynonym		Disease of Arteries, Arterioles and Capillaries			NCIT:C35317	Arterial Disorder					Disease of Arteries, Arterioles and Capillaries	NCIT:C35317										
MONDO:0000481	cervical dystonia	oio:hasExactSynonym		Cervical Dystonia			NCIT:C85072	Spasmodic Torticollis					Cervical Dystonia	NCIT:C85072										
MONDO:0000490	glomerulosclerosis	oio:hasExactSynonym		GLOMERULOSCLEROSIS			NCIT:C120888	Glomerulosclerosis					GLOMERULOSCLEROSIS	NCIT:C120888										
MONDO:0000490	glomerulosclerosis	oio:hasExactSynonym		Glomerulosclerosis			NCIT:C120888	Glomerulosclerosis					Glomerulosclerosis	NCIT:C120888										
MONDO:0000496	hemorrhagic cystitis	oio:hasExactSynonym		Hemorrhagic Cystitis			NCIT:C114666	Hemorrhagic Cystitis					Hemorrhagic Cystitis	NCIT:C114666										
MONDO:0000502	villous adenoma	oio:hasExactSynonym		GI Tract Villous Adenoma			NCIT:C7399	Villous Adenoma					GI Tract Villous Adenoma	NCIT:C7399										
MONDO:0000502	villous adenoma	oio:hasExactSynonym		Gastrointestinal Tract Villous Adenoma			NCIT:C7399	Villous Adenoma					Gastrointestinal Tract Villous Adenoma	NCIT:C7399										
MONDO:0000502	villous adenoma	oio:hasExactSynonym		Villous adenoma, NOS			NCIT:C7399	Villous Adenoma					Villous adenoma, NOS	NCIT:C7399										
MONDO:0000543	ovarian melanoma	oio:hasExactSynonym		Ovarian Melanoma			NCIT:C178441	Ovarian Melanoma					Ovarian Melanoma	NCIT:C178441										
MONDO:0000548	ovarian clear cell cancer	oio:hasExactSynonym		Malignant tumor, clear cell type			NCIT:C40077	Malignant Ovarian Clear Cell Tumor					Malignant tumor, clear cell type	NCIT:C40077										
MONDO:0000552	breast lobular carcinoma	oio:hasExactSynonym		Breast Lobular Carcinoma			NCIT:C3771	Breast Lobular Carcinoma					Breast Lobular Carcinoma	NCIT:C3771										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Adenocarcinoma, Endocervical Type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Adenocarcinoma, Endocervical Type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Adenocarcinoma, endocervical type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Adenocarcinoma, endocervical type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Cervical Adenocarcinoma, Usual Type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Cervical Adenocarcinoma, Usual Type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Cervical Adenocarcinoma, Usual-Type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Cervical Adenocarcinoma, Usual-Type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Cervical Mucinous Adenocarcinoma, Endocervical Type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Cervical Mucinous Adenocarcinoma, Endocervical Type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Cervical Mucinous Adenocarcinoma, Endocervical-Type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Cervical Mucinous Adenocarcinoma, Endocervical-Type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Endocervical Adenocarcinoma, Usual-Type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Endocervical Adenocarcinoma, Usual-Type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Endocervical adenocarcinoma usual type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Endocervical adenocarcinoma usual type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		Mucinous adenocarcinoma, endocervical type			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type					Mucinous adenocarcinoma, endocervical type	NCIT:C127907										
MONDO:0000554	endocervical adenocarcinoma	oio:hasExactSynonym		UEA			NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type	http://purl.obolibrary.org/obo/mondo#ABBREVIATION				UEA	NCIT:C127907	http://purl.obolibrary.org/obo/mondo#ABBREVIATION									
MONDO:0000565	infective endocarditis	oio:hasExactSynonym		Infective Endocarditis			NCIT:C78265	Infective Endocarditis					Infective Endocarditis	NCIT:C78265										
MONDO:0000594	pervasive developmental disorder	oio:hasExactSynonym		Pervasive Developmental Disorder			NCIT:C97179	Pervasive Developmental Disorder					Pervasive Developmental Disorder	NCIT:C97179										
