subject	subject_value	predicate	object	object_value	levenshtein_dist	jaccard_index	monge_elkan
MONDO:0000087	polymicrogyria	skos:narrowMatch	<https://icd.codes/icd10cm/Q04.3>		14	1.0	2.0
MONDO:0000088	precocious puberty	skos:exactMatch	<https://icd.codes/icd10cm/E30.1>		18	1.0	2.0
MONDO:0000088	precocious puberty	skos:exactMatch	ICD10CM:E30.1	Precocious puberty	0	0.0	0.0
MONDO:0000107	auriculocondylar syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q75.8>		25	1.0	2.0
MONDO:0000110	bifid nose	skos:narrowMatch	<https://icd.codes/icd10cm/Q30.2>		10	1.0	2.0
MONDO:0000127	geleophysic dysplasia	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.1>		21	1.0	2.0
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/D84.8>		66	1.0	2.0
MONDO:0000136	keratosis follicularis spinulosa decalvans	skos:narrowMatch	<https://icd.codes/icd10cm/Q82.8>		42	1.0	2.0
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q99.8>		37	1.0	2.0
MONDO:0000153	transposition of the great arteries	skos:broadMatch	<https://icd.codes/icd10cm/Q20.5>		35	1.0	2.0
MONDO:0000153	transposition of the great arteries	skos:broadMatch	<https://icd.codes/icd10cm/Q20.3>		35	1.0	2.0
MONDO:0000153	transposition of the great arteries	skos:broadMatch	ICD10CM:Q20.5	Discordant atrioventricular connection	32	0.5102040816326531	1.9746938775510203
MONDO:0000153	transposition of the great arteries	skos:broadMatch	ICD10CM:Q20.3	Discordant ventriculoarterial connection	30	0.5	1.9746938775510203
MONDO:0000170	microphthalmia, isolated, with coloboma	skos:narrowMatch	<https://icd.codes/icd10cm/Q11.2>		39	1.0	2.0
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:narrowMatch	<https://icd.codes/icd10cm/Q04.3>		45	1.0	2.0
MONDO:0000179	Neu-Laxova syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.8>		19	1.0	2.0
MONDO:0000193	cortisone reductase deficiency	skos:narrowMatch	<https://icd.codes/icd10cm/E25.8>		30	1.0	2.0
MONDO:0000200	Zimmermann-Laband syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.8>		26	1.0	2.0
MONDO:0000212	hypercalcemia, infantile	skos:narrowMatch	<https://icd.codes/icd10cm/E83.5>		24	1.0	2.0
MONDO:0000226	mineral metabolism disease	skos:exactMatch	<https://icd.codes/icd10cm/E83>		26	1.0	2.0
MONDO:0000226	mineral metabolism disease	skos:exactMatch	ICD10CM:E83	Disorders of mineral metabolism	21	0.2727272727272727	1.9615384615384615
MONDO:0000237	erysipeloid	skos:exactMatch	<https://icd.codes/icd10cm/A26>		11	1.0	2.0
MONDO:0000237	erysipeloid	skos:exactMatch	ICD10CM:A26	Erysipeloid	0	0.0	0.0
MONDO:0000245	tinea imbricata	skos:exactMatch	<https://icd.codes/icd10cm/B35.5>		15	1.0	2.0
MONDO:0000245	tinea imbricata	skos:exactMatch	ICD10CM:B35.5	Tinea imbricata	0	0.0	0.0
MONDO:0000261	adenoiditis	skos:exactMatch	<https://icd.codes/icd10cm/J35.02>		11	1.0	2.0
MONDO:0000261	adenoiditis	skos:exactMatch	ICD10CM:J35.02	Chronic adenoiditis	8	0.42105263157894735	1.9090909090909092
MONDO:0000309	aniseikonia	skos:exactMatch	<https://icd.codes/icd10cm/H52.32>		11	1.0	2.0
MONDO:0000309	aniseikonia	skos:exactMatch	ICD10CM:H52.32	Aniseikonia	0	0.0	0.0
MONDO:0000342	O'nyong'nyong fever	skos:exactMatch	<https://icd.codes/icd10cm/A92.1>		19	1.0	2.0
MONDO:0000342	O'nyong'nyong fever	skos:exactMatch	ICD10CM:A92.1	O'nyong-nyong fever	1	0.09999999999999998	1.9473684210526316
MONDO:0000355	Ullrich congenital muscular dystrophy	skos:narrowMatch	<https://icd.codes/icd10cm/G71.2>		37	1.0	2.0
MONDO:0000367	taeniasis	skos:exactMatch	<https://icd.codes/icd10cm/B68>		9	1.0	2.0
MONDO:0000367	taeniasis	skos:exactMatch	ICD10CM:B68	Taeniasis	0	0.0	0.0
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	skos:exactMatch	<https://icd.codes/icd10cm/C84.4>		46	1.0	2.0
