subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing
ID		A oboInOwl:hasDbXref	>A oboInOwl:source		>A sssom:object_label								
MONDO:0004637	aryepiglottic fold cancer	MONDO:equivalentTo	ICD10CM:C13.1	semapv:UnspecifiedMatching	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect	MONDO_MAPPINGS							
MONDO:0006731	drug-induced akathisia	MONDO:equivalentTo	ICD10CM:G25.71	semapv:UnspecifiedMatching	Drug induced akathisia	MONDO_MAPPINGS							
MONDO:0007656	Gerstmann-Straussler-Scheinker syndrome	MONDO:equivalentTo	ICD10CM:A81.82	semapv:UnspecifiedMatching	Gerstmann-StrÃ¤ussler-Scheinker syndrome	MONDO_MAPPINGS							
MONDO:0018623	postpartum psychosis	MONDO:equivalentTo	ICD10CM:F53	semapv:UnspecifiedMatching	Mental and behavioral disorders associated with the puerperium, not elsewhere classified	MONDO_MAPPINGS							
MONDO:0004607	vallecula cancer	MONDO:equivalentTo	ICD10CM:C10.0	semapv:UnspecifiedMatching	Malignant neoplasm of vallecula	MONDO_MAPPINGS							
MONDO:0001885	lateral cystocele	MONDO:equivalentTo	ICD10CM:N81.12	semapv:UnspecifiedMatching	Cystocele, lateral	MONDO_MAPPINGS							
MONDO:0003754	Brown-Sequard syndrome	MONDO:equivalentTo	ICD10CM:G83.81	semapv:UnspecifiedMatching	Brown-SÃ©quard syndrome	MONDO_MAPPINGS							
MONDO:0000952	cancer of long bone of lower limb	MONDO:equivalentTo	ICD10CM:C40.2	semapv:UnspecifiedMatching	Malignant neoplasm of long bones of lower limb	MONDO_MAPPINGS							
MONDO:0009010	aortic arch interruption	MONDO:equivalentTo	ICD10CM:Q25.21	semapv:UnspecifiedMatching	Interruption of aortic arch	MONDO_MAPPINGS							
MONDO:0006977	spermatocele	MONDO:equivalentTo	ICD10CM:N43.4	semapv:UnspecifiedMatching	Spermatocele of epididymis	MONDO_MAPPINGS							
MONDO:0024361	circadian rhythm sleep disorder	MONDO:equivalentTo	ICD10CM:G47.2	semapv:UnspecifiedMatching	Circadian rhythm sleep disorders	MONDO_MAPPINGS							
MONDO:0005251	obsolete pauciarticular juvenile rheumatoid arthritis	MONDO:equivalentTo	ICD10CM:M08.4	semapv:UnspecifiedMatching	Pauciarticular juvenile rheumatoid arthritis	MONDO_MAPPINGS							
MONDO:0021187	hyperlipidemia	MONDO:equivalentTo	ICD10CM:E78.5	semapv:UnspecifiedMatching	Hyperlipidemia, unspecified	MONDO_MAPPINGS							
MONDO:0002494	substance-related disorder	MONDO:equivalentTo	ICD10CM:F10-F19	semapv:UnspecifiedMatching	Mental and behavioral disorders due to psychoactive substance use (F10-F19)	MONDO_MAPPINGS							
MONDO:0024297	obsolete nutritional or metabolic disease	MONDO:equivalentTo	ICD10CM:E00-E90	semapv:UnspecifiedMatching		MONDO_MAPPINGS							
MONDO:0001886	midline cystocele	MONDO:equivalentTo	ICD10CM:N81.11	semapv:UnspecifiedMatching	Cystocele, midline	MONDO_MAPPINGS							
MONDO:0005085	pterygium	MONDO:equivalentTo	ICD10CM:H11.0	semapv:UnspecifiedMatching	Pterygium of eye	MONDO_MAPPINGS							
