subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing	comment
MONDO:0000001	disease or disorder	skos:exactMatch	NCIT:C2991	Disease or Disorder	Unspecified								MONDO_MAPPINGS
MONDO:0000147	polyposis	skos:exactMatch	NCIT:C4089	Polyposis	Unspecified								MONDO_MAPPINGS
MONDO:0000159	bone marrow failure syndrome	skos:exactMatch	NCIT:C165614	Bone Marrow Failure Syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bone marrow failure syndrome			LEXMATCH
MONDO:0000371	oral cavity carcinoma in situ	skos:exactMatch	NCIT:C4587	Stage 0 Oral Cavity Cancer AJCC v6 and v7	Unspecified								MONDO_MAPPINGS
MONDO:0000372	pharynx carcinoma in situ	skos:exactMatch	NCIT:C4942	Stage 0 Pharyngeal Cancer	Unspecified								MONDO_MAPPINGS
MONDO:0000376	respiratory system cancer	skos:exactMatch	NCIT:C4571	Malignant Respiratory System Neoplasm	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	malignant respiratory system neoplasm			LEXMATCH
MONDO:0000377	malignant Leydig cell tumor	skos:exactMatch	NCIT:C4213	Malignant Leydig Cell Tumor	Unspecified								MONDO_MAPPINGS
MONDO:0000378	malignant Sertoli cell tumor	skos:exactMatch	NCIT:C67006	Malignant Sertoli Cell Tumor	Unspecified								MONDO_MAPPINGS
MONDO:0000380	paranasal sinus carcinoma	skos:exactMatch	NCIT:C6014	Paranasal Sinus Carcinoma	Unspecified								MONDO_MAPPINGS
MONDO:0000383	benign reproductive system neoplasm	skos:exactMatch	NCIT:C7617	Benign Reproductive System Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000384	bladder benign neoplasm	skos:exactMatch	NCIT:C3618	Benign Bladder Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000385	benign digestive system neoplasm	skos:exactMatch	NCIT:C4787	Benign Digestive System Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000395	alcohol-related birth defect	skos:exactMatch	NCIT:C92727	Alcohol Related Birth Defect	Unspecified								MONDO_MAPPINGS
MONDO:0000402	small cell carcinoma	skos:exactMatch	NCIT:C3915	Small Cell Neuroendocrine Carcinoma	Unspecified								MONDO_MAPPINGS
MONDO:0000425	X-linked disease	skos:exactMatch	NCIT:C85865	X-Linked Inherited Disorder	Unspecified								MONDO_MAPPINGS
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	skos:exactMatch	NCIT:C3468	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	Unspecified								MONDO_MAPPINGS
MONDO:0000437	cerebellar ataxia	skos:exactMatch	NCIT:C26702	Ataxia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	ataxia			LEXMATCH
MONDO:0000453	short QT syndrome	skos:exactMatch	NCIT:C71060	Short QT Syndrome	Unspecified								MONDO_MAPPINGS
MONDO:0000457	classical glioblastoma	skos:exactMatch	NCIT:C111694	Classical Glioblastoma	Unspecified								MONDO_MAPPINGS
MONDO:0000458	proneural glioblastoma	skos:exactMatch	NCIT:C111692	Proneural Glioblastoma	Unspecified								MONDO_MAPPINGS
MONDO:0000459	mesenchymal glioblastoma	skos:exactMatch	NCIT:C111695	Mesenchymal Glioblastoma	Unspecified								MONDO_MAPPINGS
MONDO:0000460	neural glioblastoma	skos:exactMatch	NCIT:C111693	Neural Glioblastoma	Unspecified								MONDO_MAPPINGS
MONDO:0000466	first-degree atrioventricular block	skos:exactMatch	NCIT:C62015	AV Block First Degree	Unspecified								MONDO_MAPPINGS
MONDO:0000467	second-degree atrioventricular block	skos:exactMatch	NCIT:C111119	AV Block Second Degree	Unspecified								MONDO_MAPPINGS
MONDO:0000468	third-degree atrioventricular block	skos:exactMatch	NCIT:C50501	Complete Atrioventricular Block	Unspecified								MONDO_MAPPINGS
MONDO:0000471	tricuspid valve disorder	skos:exactMatch	NCIT:C78649	Tricuspid Valve Disorder	Unspecified								MONDO_MAPPINGS
MONDO:0000473	arterial disorder	skos:exactMatch	NCIT:C35317	Arterial Disorder	Unspecified								MONDO_MAPPINGS
MONDO:0000503	lung adenocarcinoma in situ	skos:exactMatch	NCIT:C136486	Lung Adenocarcinoma In Situ	Unspecified								MONDO_MAPPINGS
MONDO:0000525	cecum villous adenoma	skos:exactMatch	NCIT:C5520	Cecum Villous Adenoma	Unspecified								MONDO_MAPPINGS
MONDO:0000530	rectum adenoma	skos:exactMatch	NCIT:C5546	Rectal Adenoma	Unspecified								MONDO_MAPPINGS
MONDO:0000536	pharyngeal squamous cell carcinoma	skos:exactMatch	NCIT:C102872	Pharyngeal Squamous Cell Carcinoma	Unspecified								MONDO_MAPPINGS
MONDO:0000540	small intestinal neuroendocrine tumor G1	skos:exactMatch	NCIT:C4638	Small Intestinal Neuroendocrine Tumor G1	Unspecified								MONDO_MAPPINGS
MONDO:0000541	jejunal adenocarcinoma	skos:exactMatch	NCIT:C181158	Jejunal Adenocarcinoma	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	jejunal adenocarcinoma			LEXMATCH
MONDO:0000541	jejunal adenocarcinoma	skos:exactMatch	NCIT:C181158	Jejunal Adenocarcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	jejunal adenocarcinoma	semapv:RegularExpressionReplacement		LEXMATCH
MONDO:0000541	jejunal adenocarcinoma	skos:exactMatch	NCIT:C181158	Jejunal Adenocarcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	jejunal adenocarcinoma			LEXMATCH
MONDO:0000543	ovarian melanoma	skos:exactMatch	NCIT:C178441	Ovarian Melanoma	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	ovarian melanoma			LEXMATCH
MONDO:0000548	ovarian clear cell cancer	skos:exactMatch	NCIT:C40077	Malignant Ovarian Clear Cell Tumor	Unspecified								MONDO_MAPPINGS
MONDO:0000550	extra-adrenal sympathetic paraganglioma	skos:exactMatch	NCIT:C48576	Extra-Adrenal Sympathetic Paraganglioma	Unspecified								MONDO_MAPPINGS
MONDO:0000554	endocervical adenocarcinoma	skos:exactMatch	NCIT:C127907	Endocervical Adenocarcinoma, Usual-Type	Unspecified								MONDO_MAPPINGS
MONDO:0000577	congenital anemia	skos:exactMatch	NCIT:C35228	Congenital Anemia	Unspecified								MONDO_MAPPINGS
MONDO:0000595	sexual and gender identity disorders	skos:exactMatch	NCIT:C92202	Sexual and Gender Identity Disorders	Unspecified								MONDO_MAPPINGS
MONDO:0000618	Her2-receptor negative breast cancer	skos:exactMatch	NCIT:C168519	HER2-Negative Breast Carcinoma	Unspecified								MONDO_MAPPINGS
MONDO:0000620	breast benign neoplasm	skos:exactMatch	NCIT:C4505	Benign Breast Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000624	benign female reproductive system neoplasm	skos:exactMatch	NCIT:C4934	Benign Female Reproductive System Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000625	benign male reproductive system neoplasm	skos:exactMatch	NCIT:C4777	Benign Male Reproductive System Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000627	benign endocrine neoplasm	skos:exactMatch	NCIT:C4621	Benign Endocrine Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000631	bone benign neoplasm	skos:exactMatch	NCIT:C4880	Benign Bone Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000632	uterine benign neoplasm	skos:exactMatch	NCIT:C3609	Benign Uterine Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000634	thoracic benign neoplasm	skos:exactMatch	NCIT:C4565	Benign Thoracic Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000640	central nervous system primitive neuroectodermal neoplasm	skos:exactMatch	NCIT:C5398	Central Nervous System Embryonal Tumor, Not Otherwise Specified	Unspecified								MONDO_MAPPINGS
MONDO:0000643	vulvar benign neoplasm	skos:exactMatch	NCIT:C3611	Benign Vulvar Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000644	cervical benign neoplasm	skos:exactMatch	NCIT:C3607	Benign Cervical Neoplasm	Unspecified								MONDO_MAPPINGS
MONDO:0000645	fallopian tube benign neoplasm	skos:exactMatch	NCIT:C4517	Benign Fallopian Tube Neoplasm	Unspecified								MONDO_MAPPINGS
