subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source	>A sssom:object_label							
MONDO:0005619	typhoid fever	MONDO:equivalentTo	ICD10CM:A01.0	semapv:LexicalMatching	Typhoid fever	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	typhoid fever
MONDO:0005619	typhoid fever	MONDO:equivalentTo	ICD10CM:A01.0	semapv:LexicalMatching	Typhoid fever	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	typhoid fever
MONDO:0005644	amebiasis	MONDO:equivalentTo	ICD10CM:A06	semapv:LexicalMatching	Amebiasis	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	amebiasis
MONDO:0001103	giardiasis	MONDO:equivalentTo	ICD10CM:A07.1	semapv:RegularExpressionReplacement	Giardiasis [lambliasis]	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	giardiasis
MONDO:0018903	sarcocystosis	MONDO:equivalentTo	ICD10CM:A07.8	semapv:LexicalMatching	Other specified protozoal intestinal diseases	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	sarcocystosis
MONDO:0018903	sarcocystosis	MONDO:equivalentTo	ICD10CM:A07.8	semapv:LexicalMatching	Other specified protozoal intestinal diseases	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	sarcosporidiosis
MONDO:0024608	dientamoebiasis	MONDO:equivalentTo	ICD10CM:A07.8	semapv:LexicalMatching	Other specified protozoal intestinal diseases	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	intestinal trichomoniasis
MONDO:0001955	protozoal dysentery	MONDO:equivalentTo	ICD10CM:A07.9	semapv:LexicalMatching	Protozoal intestinal disease, unspecified	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	protozoal dysentery
MONDO:0004813	tuberculous pneumothorax	MONDO:equivalentTo	ICD10CM:A15.0	semapv:LexicalMatching	Tuberculosis of lung	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	tuberculous pneumothorax
MONDO:0021953	tuberculous fibrosis of lung	MONDO:equivalentTo	ICD10CM:A15.0	semapv:LexicalMatching	Tuberculosis of lung	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	tuberculous fibrosis of lung
MONDO:0021953	tuberculous fibrosis of lung	MONDO:equivalentTo	ICD10CM:A15.0	semapv:LexicalMatching	Tuberculosis of lung	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	tuberculous fibrosis of lung
MONDO:0006042	meningeal tuberculosis	MONDO:equivalentTo	ICD10CM:A17.0	semapv:LexicalMatching	Tuberculous meningitis	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	tuberculous meningitis
MONDO:0004272	urinary bladder tuberculosis	MONDO:equivalentTo	ICD10CM:A18.12	semapv:LexicalMatching	Tuberculosis of bladder	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	tuberculosis of bladder
