subject_id	subject_label	predicate_id	object_id	mapping_justification	comment
MONDO:0000462	eye adnexa disorder	skos:exactMatch	ICD10WHO:H00-H06	Unspecified	UNIQUE_1
MONDO:0001609	agranulocytosis	skos:exactMatch	ICD10WHO:D70	Unspecified	UNIQUE_1
MONDO:0001946	obsolete hyperestrogenism	skos:exactMatch	ICD10WHO:E28.0	Unspecified	UNIQUE_1
MONDO:0002264	obsolete atrophy of prostate	skos:exactMatch	ICD10WHO:N42.2	Unspecified	UNIQUE_1
MONDO:0003150	male reproductive system disorder	skos:exactMatch	ICD10WHO:N40-N51	Unspecified	UNIQUE_1
MONDO:0004359	delusional disorder	skos:exactMatch	ICD10WHO:F22.0	Unspecified	UNIQUE_1
MONDO:0004985	bipolar disorder	skos:exactMatch	ICD10WHO:F31	Unspecified	UNIQUE_1
MONDO:0005027	epilepsy	skos:exactMatch	ICD10WHO:G40	Unspecified	UNIQUE_1
MONDO:0005066	metabolic disease	skos:exactMatch	ICD10WHO:E70-E90	Unspecified	UNIQUE_1
MONDO:0005165	benign neoplasm	skos:exactMatch	ICD10WHO:D10-D36	Unspecified	UNIQUE_1
MONDO:0006672	balanitis	skos:exactMatch	ICD10WHO:N48.1	Unspecified	UNIQUE_1
MONDO:0007028	rotator cuff syndrome	skos:exactMatch	ICD10WHO:M75.1	Unspecified	UNIQUE_1
MONDO:0007950	mastocytosis	skos:exactMatch	ICD10WHO:Q82.2	Unspecified	UNIQUE_1
MONDO:0010086	obsolete sudden infant death syndrome	skos:exactMatch	ICD10WHO:R95	Unspecified	UNIQUE_1
MONDO:0013600	insomnia	skos:exactMatch	ICD10WHO:G47.0	Unspecified	UNIQUE_1
MONDO:0015079	multiple polyglandular tumor	skos:exactMatch	ICD10WHO:D44.8	Unspecified	UNIQUE_1
MONDO:0021645	esophageal varices with bleeding	skos:exactMatch	ICD10WHO:I85.0	Unspecified	UNIQUE_1
MONDO:0024318	viral infection of central nervous system	skos:exactMatch	ICD10WHO:A80-A89	Unspecified	UNIQUE_1
