subject	subject_value	predicate	object	object_value
MONDO:0000087	polymicrogyria	skos:narrowMatch	<https://icd.codes/icd10cm/Q04.3>	
MONDO:0000088	precocious puberty	skos:exactMatch	<https://icd.codes/icd10cm/E30.1>	
MONDO:0000088	precocious puberty	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E30.1>	Precocious puberty
MONDO:0000107	auriculocondylar syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q75.8>	
MONDO:0000110	bifid nose	skos:narrowMatch	<https://icd.codes/icd10cm/Q30.2>	
MONDO:0000127	geleophysic dysplasia	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.1>	
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/D84.8>	
MONDO:0000136	keratosis follicularis spinulosa decalvans	skos:narrowMatch	<https://icd.codes/icd10cm/Q82.8>	
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q99.8>	
MONDO:0000153	transposition of the great arteries	skos:broadMatch	<https://icd.codes/icd10cm/Q20.5>	
MONDO:0000153	transposition of the great arteries	skos:broadMatch	<https://icd.codes/icd10cm/Q20.3>	
MONDO:0000153	transposition of the great arteries	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q20.5>	Discordant atrioventricular connection
MONDO:0000153	transposition of the great arteries	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q20.3>	Discordant ventriculoarterial connection
MONDO:0000170	microphthalmia, isolated, with coloboma	skos:narrowMatch	<https://icd.codes/icd10cm/Q11.2>	
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:narrowMatch	<https://icd.codes/icd10cm/Q04.3>	
MONDO:0000179	Neu-Laxova syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.8>	
MONDO:0000193	cortisone reductase deficiency	skos:narrowMatch	<https://icd.codes/icd10cm/E25.8>	
MONDO:0000200	Zimmermann-Laband syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.8>	
MONDO:0000212	hypercalcemia, infantile	skos:narrowMatch	<https://icd.codes/icd10cm/E83.5>	
MONDO:0000226	mineral metabolism disease	skos:exactMatch	<https://icd.codes/icd10cm/E83>	
MONDO:0000226	mineral metabolism disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E83>	Disorders of mineral metabolism
MONDO:0000237	erysipeloid	skos:exactMatch	<https://icd.codes/icd10cm/A26>	
MONDO:0000237	erysipeloid	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A26>	Erysipeloid
MONDO:0000245	tinea imbricata	skos:exactMatch	<https://icd.codes/icd10cm/B35.5>	
MONDO:0000245	tinea imbricata	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B35.5>	Tinea imbricata
MONDO:0000261	adenoiditis	skos:exactMatch	<https://icd.codes/icd10cm/J35.02>	
MONDO:0000261	adenoiditis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J35.02>	Chronic adenoiditis
MONDO:0000309	aniseikonia	skos:exactMatch	<https://icd.codes/icd10cm/H52.32>	
MONDO:0000309	aniseikonia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H52.32>	Aniseikonia
MONDO:0000342	O'nyong'nyong fever	skos:exactMatch	<https://icd.codes/icd10cm/A92.1>	
MONDO:0000342	O'nyong'nyong fever	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A92.1>	O'nyong-nyong fever
MONDO:0000355	Ullrich congenital muscular dystrophy	skos:narrowMatch	<https://icd.codes/icd10cm/G71.2>	
MONDO:0000367	taeniasis	skos:exactMatch	<https://icd.codes/icd10cm/B68>	
MONDO:0000367	taeniasis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B68>	Taeniasis
