subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment
ID		A oboInOwl:hasDbXref	>A oboInOwl:source		>A sssom:object_label	
MONDO:0005736	eastern equine encephalitis	MONDO:equivalentTo	Orphanet:83594	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018051	Jessner lymphocytic infiltration of the skin	MONDO:equivalentTo	Orphanet:33314	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0020161	congenital ectropion	MONDO:equivalentTo	Orphanet:98570	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0011085	Charcot-Marie-Tooth disease type 4D	MONDO:equivalentTo	Orphanet:99950	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018812	MSH3-related attenuated familial adenomatous polyposis	MONDO:equivalentTo	Orphanet:480536	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019251	oligosaccharidosis	MONDO:equivalentTo	Orphanet:79215	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019339	47,XYY syndrome	MONDO:equivalentTo	Orphanet:8	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018908	non-Hodgkin lymphoma	MONDO:equivalentTo	Orphanet:547	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0020419	pulmonary artery hypoplasia	MONDO:equivalentTo	Orphanet:99083	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0016307	Niemann-Pick disease type C, severe early infantile neurologic onset	MONDO:equivalentTo	Orphanet:216975	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0013922	Seckel syndrome 7	MONDO:equivalentTo	Orphanet:319675	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0017582	pituitary adenocarcinoma	MONDO:equivalentTo	Orphanet:300385	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0016449	mid-dermal elastolysis	MONDO:equivalentTo	Orphanet:228299	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0015663	diencephalic syndrome	MONDO:equivalentTo	Orphanet:1672	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019820	univentricular cardiopathy	MONDO:equivalentTo	Orphanet:95483	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014870	NEK9-related lethal skeletal dysplasia	MONDO:equivalentTo	Orphanet:464366	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007860	focal palmoplantar and gingival keratoderma	MONDO:equivalentTo	Orphanet:2200	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007846	KBG syndrome	MONDO:equivalentTo	Orphanet:2332	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014735	Charcot-Marie-Tooth disease type 2Y	MONDO:equivalentTo	Orphanet:435387	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0020013	obsolete rare odontologic disease	MONDO:equivalentTo	Orphanet:98026	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007904	median nodule of the upper lip	MONDO:equivalentTo	Orphanet:2699	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018369	immature ovarian teratoma	MONDO:equivalentTo	Orphanet:398987	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018752	exercise-induced malignant hyperthermia	MONDO:equivalentTo	Orphanet:466650	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018718	obsolete vascular tumor with associated anomalies	MONDO:equivalentTo	Orphanet:458827	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0017296	glycerol kinase deficiency, adult form	MONDO:equivalentTo	Orphanet:284414	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014369	postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome	MONDO:equivalentTo	Orphanet:420584	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014250	familial hyperprolactinemia	MONDO:equivalentTo	Orphanet:397685	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0016106	progressive muscular dystrophy	MONDO:equivalentTo	Orphanet:206644	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0024503	digestive system neuroendocrine neoplasm	MONDO:equivalentTo	Orphanet:100092	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0011977	8q22.1 microdeletion syndrome	MONDO:equivalentTo	Orphanet:178303	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0016236	kaposiform hemangioendothelioma	MONDO:equivalentTo	Orphanet:2122	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019329	microcystic lymphatic malformation	MONDO:equivalentTo	Orphanet:79490	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0009552	mal de Meleda	MONDO:equivalentTo	Orphanet:87503	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0010404	X-linked non progressive cerebellar ataxia	MONDO:equivalentTo	Orphanet:314978	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0016639	lower limb deficiency-hypospadias syndrome	MONDO:equivalentTo	Orphanet:2487	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0017878	Chapare hemorrhagic fever	MONDO:equivalentTo	Orphanet:319244	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0034819	obsolete familial intestinal malrotation	MONDO:equivalentTo	Orphanet:508410	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0015853	deficient breast volume or number	MONDO:equivalentTo	Orphanet:180173	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0015782	dysmorphism-cleft palate-loose skin syndrome	MONDO:equivalentTo	Orphanet:1779	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018877	retinitis punctata albescens	MONDO:equivalentTo	Orphanet:52427	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0005706	coccidioidomycosis	MONDO:equivalentTo	Orphanet:228123	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0015311	autism-facial port-wine stain syndrome	MONDO:equivalentTo	Orphanet:137911	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007772	pseudohypoaldosteronism type 2A	MONDO:equivalentTo	Orphanet:88938	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0008150	osteoglophonic dwarfism	MONDO:equivalentTo	Orphanet:2645	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0017316	short stature-deafness-neutrophil dysfunction-dysmorphism syndrome	MONDO:equivalentTo	Orphanet:2866	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0017406	hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome	MONDO:equivalentTo	Orphanet:293967	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0008797	anodontia	MONDO:equivalentTo	Orphanet:99797	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018694	isolated tracheo-esophageal fistula	MONDO:equivalentTo	Orphanet:454750	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0016093	borderline epithelial tumor of ovary	MONDO:equivalentTo	Orphanet:206473	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019695	acromelic dysplasia	MONDO:equivalentTo	Orphanet:93436	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0020057	obsolete uniparental disomy of paternal origin	MONDO:equivalentTo	Orphanet:98154	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019162	pseudohypoaldosteronism type 2	MONDO:equivalentTo	Orphanet:757	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0012095	intellectual disability-brachydactyly-Pierre Robin syndrome	MONDO:equivalentTo	Orphanet:364577	semapv:UnspecifiedMatching		MONDO_MAPPINGS
