subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing
ID		A oboInOwl:hasDbXref	>A oboInOwl:source		>A sssom:object_label								
MONDO:0004101	multicentric papillary thyroid carcinoma	MONDO:equivalentTo	NCIT:C37304	semapv:UnspecifiedMatching	Multicentric Thyroid Gland Papillary Carcinoma	MONDO_MAPPINGS							
MONDO:0100374	acute myeloid leukemia, t(16;16)(p13.1;q22)	MONDO:equivalentTo	NCIT:C9019	semapv:UnspecifiedMatching	Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11	MONDO_MAPPINGS							
MONDO:0000632	uterine benign neoplasm	MONDO:equivalentTo	NCIT:C3609	semapv:UnspecifiedMatching	Benign Uterine Neoplasm	MONDO_MAPPINGS							
MONDO:0019145	hereditary thrombophilia due to congenital protein C deficiency	MONDO:equivalentTo	NCIT:C99025	semapv:UnspecifiedMatching	Protein C Deficiency Disease	MONDO_MAPPINGS							
MONDO:0002869	heart valve disorder	MONDO:equivalentTo	NCIT:C45525	semapv:UnspecifiedMatching	Valvular Heart Disorder	MONDO_MAPPINGS							
MONDO:0002957	sarcomatoid basal cell carcinoma	MONDO:equivalentTo	NCIT:C38111	semapv:UnspecifiedMatching	Skin Basal Cell Carcinoma with Sarcomatoid Differentiation	MONDO_MAPPINGS							
MONDO:0004719	hard palate cancer	MONDO:equivalentTo	NCIT:C3528	semapv:UnspecifiedMatching	Malignant Hard Palate Neoplasm	MONDO_MAPPINGS							
MONDO:0004542	cervical adenosquamous carcinoma, glassy cell variant	MONDO:equivalentTo	NCIT:C40212	semapv:UnspecifiedMatching	Cervical Poorly Differentiated Adenosquamous Carcinoma	MONDO_MAPPINGS							
MONDO:0002969	ciliary body cancer	MONDO:equivalentTo	NCIT:C4766	semapv:UnspecifiedMatching	Malignant Ciliary Body Neoplasm	MONDO_MAPPINGS							
MONDO:0004200	superficial urinary bladder carcinoma	MONDO:equivalentTo	NCIT:C27474	semapv:UnspecifiedMatching	Non-Muscle Invasive Bladder Carcinoma	MONDO_MAPPINGS							
MONDO:0022435	Mauriac syndrome	MONDO:equivalentTo	NCIT:C130997	semapv:UnspecifiedMatching	Mauriac Syndrome	MONDO_MAPPINGS							
MONDO:0009667	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A3	MONDO:equivalentTo	NCIT:C126740	semapv:UnspecifiedMatching	Muscular Dystrophy-Dystroglycanopathy (Congenital with Brain and Eye Anomalies) Type A, 3	MONDO_MAPPINGS							
MONDO:0021240	tongue neoplasm	MONDO:equivalentTo	NCIT:C3416	semapv:UnspecifiedMatching	Tongue Neoplasm	MONDO_MAPPINGS							
MONDO:0004088	cervical basaloid carcinoma	MONDO:equivalentTo	NCIT:C40189	semapv:UnspecifiedMatching	Cervical Basaloid Carcinoma	MONDO_MAPPINGS							
MONDO:0003646	rectum neuroendocrine neoplasm	MONDO:equivalentTo	NCIT:C5698	semapv:UnspecifiedMatching	Rectal Neuroendocrine Neoplasm	MONDO_MAPPINGS							
MONDO:0006287	malignancy in giant cell tumor of bone	MONDO:equivalentTo	NCIT:C4304	semapv:UnspecifiedMatching	Malignancy in Giant Cell Tumor of Bone	MONDO_MAPPINGS							
MONDO:0002617	bone angiosarcoma	MONDO:equivalentTo	NCIT:C6479	semapv:UnspecifiedMatching	Bone Angiosarcoma	MONDO_MAPPINGS							
MONDO:0003365	esophagus leiomyosarcoma	MONDO:equivalentTo	NCIT:C5334	semapv:UnspecifiedMatching	Esophageal Leiomyosarcoma	MONDO_MAPPINGS							
MONDO:0002428	protozoa infectious disease	MONDO:equivalentTo	NCIT:C34953	semapv:UnspecifiedMatching	Protozoal Infection	MONDO_MAPPINGS							
MONDO:0015128	primary adrenal insufficiency	MONDO:equivalentTo	NCIT:C113172	semapv:UnspecifiedMatching	Primary Adrenal Insufficiency	MONDO_MAPPINGS							
MONDO:0019828	pituitary stalk interruption syndrome	MONDO:equivalentTo	NCIT:C121150	semapv:UnspecifiedMatching	Pituitary Stalk Interruption Syndrome	MONDO_MAPPINGS							
MONDO:0003144	medulloepithelioma	MONDO:equivalentTo	NCIT:C4327	semapv:UnspecifiedMatching	Central Nervous System Medulloepithelioma	MONDO_MAPPINGS							
MONDO:0009595	cartilage-hair hypoplasia	MONDO:equivalentTo	NCIT:C61245	semapv:UnspecifiedMatching	Cartilage Hair Hypoplasia	MONDO_MAPPINGS							
MONDO:0002109	pituitary cancer	MONDO:equivalentTo	NCIT:C4769	semapv:UnspecifiedMatching	Malignant Pituitary Gland Neoplasm	MONDO_MAPPINGS							
MONDO:0013158	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A6	MONDO:equivalentTo	NCIT:C126743	semapv:UnspecifiedMatching	Muscular Dystrophy-Dystroglycanopathy (Congenital with Brain and Eye Anomalies) Type A, 6	MONDO_MAPPINGS							
