subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment
ID		A oboInOwl:hasDbXref	>A oboInOwl:source		>A sssom:object_label	
MONDO:0014385	amelogenesis imperfecta hypomaturation type 2A5	MONDO:equivalentTo	OMIM:615887	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0010511	vas deferens, congenital bilateral aplasia of, X-linked	MONDO:equivalentTo	OMIM:300985	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014597	immunodeficiency 39	MONDO:equivalentTo	OMIM:616345	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014770	Joubert syndrome 25	MONDO:equivalentTo	OMIM:616781	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0020775	congenital disorder of glycosylation with defective fucosylation 1	MONDO:equivalentTo	OMIM:618005	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019917	maternal uniparental disomy of chromosome 20	MONDO:equivalentTo	OMIM:617352	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0011212	sensorineural hearing loss, retinal pigment epithelium lesions, discolored teeth	MONDO:equivalentTo	OMIM:602340	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0010152	trichomegaly-retina pigmentary degeneration-dwarfism syndrome	MONDO:equivalentTo	OMIM:275400	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0018306	Griscelli syndrome	MONDO:equivalentTo	OMIMPS:214450	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007905	lip, hamartomatous	MONDO:equivalentTo	OMIM:151640	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0033671	spermatogenic failure 45	MONDO:equivalentTo	OMIM:619094	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0008063	nasal alar collapse, bilateral	MONDO:equivalentTo	OMIM:161470	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0008124	omphalocele, autosomal	MONDO:equivalentTo	OMIM:164750	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0024539	choroidal dystrophy, central areolar, 1	MONDO:equivalentTo	OMIM:215500	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0017923	multiple synostoses syndrome	MONDO:equivalentTo	OMIMPS:186500	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0013644	Charcot-Marie-Tooth disease axonal type 2O	MONDO:equivalentTo	OMIM:614228	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0012966	microvascular complications of diabetes, susceptibility to, 4	MONDO:equivalentTo	OMIM:612628	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0033560	mitochondrial complex 1 deficiency, nuclear type 35	MONDO:equivalentTo	OMIM:619003	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007971	delayed membranous cranial ossification	MONDO:equivalentTo	OMIM:155980	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0010663	intellectual disability-hypotonic facies syndrome, X-linked, 1	MONDO:equivalentTo	OMIM:309580	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0009621	microcephaly-cervical spine fusion anomalies syndrome	MONDO:equivalentTo	OMIM:251250	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0013500	immunodeficiency 51	MONDO:equivalentTo	OMIM:613953	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0012721	progressive myoclonic epilepsy type 3	MONDO:equivalentTo	OMIM:611726	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0054861	intellectual disability, autosomal recessive 63	MONDO:equivalentTo	OMIM:618095	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0000359	spondylocostal dysostosis	MONDO:equivalentTo	OMIMPS:277300	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0009771	oculotrichodysplasia	MONDO:equivalentTo	OMIM:257960	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0011048	epilepsy-microcephaly-skeletal dysplasia syndrome	MONDO:equivalentTo	OMIM:601352	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0011093	mucopolysaccharidosis type 9	MONDO:equivalentTo	OMIM:601492	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014344	congenital heart defects, multiple types, 4	MONDO:equivalentTo	OMIM:615779	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0013048	hereditary spastic paraplegia 50	MONDO:equivalentTo	OMIM:612936	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0012890	pontocerebellar hypoplasia type 2B	MONDO:equivalentTo	OMIM:612389	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0013975	ectodermal dysplasia 7, hair/nail type	MONDO:equivalentTo	OMIM:614929	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0010873	band heterotopia of brain	MONDO:equivalentTo	OMIM:600348	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0014658	severe achondroplasia-developmental delay-acanthosis nigricans syndrome	MONDO:equivalentTo	OMIM:616482	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0030859	COACH syndrome 2	MONDO:equivalentTo	OMIM:619111	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0032612	mitochondrial complex 1 deficiency, nuclear type 7	MONDO:equivalentTo	OMIM:618229	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007551	epidermolysis bullosa simplex 1C, localized	MONDO:equivalentTo	OMIM:131800	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0013653	Parkinson disease 18, autosomal dominant, susceptibility to	MONDO:equivalentTo	OMIM:614251	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007810	autosomal dominant ichthyosis vulgaris	MONDO:equivalentTo	OMIM:146700	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0007452	maturity-onset diabetes of the young type 1	MONDO:equivalentTo	OMIM:125850	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0003789	hereditary papillary renal cell carcinoma	MONDO:equivalentTo	OMIM:605074	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0019409	idiopathic juvenile osteoporosis	MONDO:equivalentTo	OMIM:259750	semapv:UnspecifiedMatching		MONDO_MAPPINGS
MONDO:0011548	cerebral palsy, ataxic, autosomal recessive	MONDO:equivalentTo	OMIM:605388	semapv:UnspecifiedMatching		MONDO_MAPPINGS
