subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ICD10CM:I85	Esophageal varices	skos:exactMatch	MONDO:0001221	esophageal varices	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	esophageal varices
ICD10CM:I85	Esophageal varices	skos:exactMatch	MONDO:0001221	esophageal varices	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	esophageal varices
ICD10CM:Q00.2	Iniencephaly	skos:exactMatch	MONDO:0018968	iniencephaly	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	iniencephaly
ICD10CM:C82	Follicular lymphoma	skos:exactMatch	MONDO:0018906	follicular lymphoma	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	follicular lymphoma
MONDO:0018906	Follicular lymphoma	skos:exactMatch	ICD10CM:C82	follicular lymphoma	semapv:LexicalMatching	LEXMATCH					
ICD10CM:C51.1	Malignant neoplasm of labium minus	skos:exactMatch	MONDO:0001526	labia minora cancer	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	malignant neoplasm of labium minus
ICD10CM:N25.81	Secondary hyperparathyroidism of renal origin	skos:exactMatch	MONDO:0001530	secondary hyperparathyroidism of renal origin	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	secondary hyperparathyroidism of renal origin
MONDO:0043237	Glossodynia	skos:exactMatch	ICD10CM:K14.6	glossodynia	semapv:LexicalMatching	LEXMATCH					
ICD10CM:K14.6	Glossodynia	skos:exactMatch	MONDO:0043237	glossodynia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	glossodynia
ICD10CM:K14.6	Glossodynia	skos:exactMatch	MONDO:0043237	glossodynia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	glossodynia
ICD10CM:A18.31	Tuberculous peritonitis	skos:exactMatch	MONDO:0006000	tuberculous peritonitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	tuberculous peritonitis
ICD10CM:K62.7	Radiation proctitis	skos:exactMatch	MONDO:0019084	radiation proctitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	radiation proctitis
MONDO:0005711	Diaphragmatic hernia	skos:exactMatch	ICD10CM:K44	congenital diaphragmatic hernia	semapv:LexicalMatching	LEXMATCH					
ICD10CM:K44	Diaphragmatic hernia	skos:exactMatch	MONDO:0005711	congenital diaphragmatic hernia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	diaphragmatic hernia
MONDO:0005808	Trachoma	skos:exactMatch	ICD10CM:A71	inclusion conjunctivitis	semapv:LexicalMatching	LEXMATCH					
ICD10CM:A71	Trachoma	skos:exactMatch	MONDO:0005808	inclusion conjunctivitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	trachoma
ICD10CM:M31.1	Thrombotic microangiopathy	skos:exactMatch	MONDO:0019737	thrombotic microangiopathy	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	thrombotic microangiopathy
ICD10CM:F65.3	Voyeurism	skos:exactMatch	MONDO:0001135	voyeurism	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	voyeurism
MONDO:0041366	Acute epiglottitis	skos:exactMatch	ICD10CM:J05.1	acute epiglottitis	semapv:LexicalMatching	LEXMATCH					
MONDO:0005829	Other tick-borne viral encephalitis	skos:exactMatch	ICD10CM:A84.89	louping ill	semapv:LexicalMatching	LEXMATCH					
ICD10CM:A84.89	Other tick-borne viral encephalitis	skos:exactMatch	MONDO:0005829	louping ill	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	louping ill
ICD10CM:A84.89	Other tick-borne viral encephalitis	skos:exactMatch	MONDO:0005829	louping ill	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	louping ill
ICD10CM:J05.1	Acute epiglottitis	skos:exactMatch	MONDO:0041366	acute epiglottitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	acute epiglottitis
ICD10CM:J05.1	Acute epiglottitis	skos:exactMatch	MONDO:0041366	acute epiglottitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	acute epiglottitis
MONDO:0019773	Spina bifida	skos:exactMatch	ICD10CM:Q05	myelomeningocele	semapv:LexicalMatching	LEXMATCH					
ICD10CM:Q05	Spina bifida	skos:exactMatch	MONDO:0019773	myelomeningocele	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	myelomeningocele
MONDO:0004471	Pyogenic arthritis	skos:exactMatch	ICD10CM:M00	bacterial arthritis	semapv:LexicalMatching	LEXMATCH					
ICD10CM:M00	Pyogenic arthritis	skos:exactMatch	MONDO:0004471	bacterial arthritis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	pyogenic arthritis
MONDO:0006664	Atrial septal defect	skos:exactMatch	ICD10CM:Q21.1	atrial septal defect	semapv:LexicalMatching	LEXMATCH					
ICD10CM:Q21.1	Atrial septal defect	skos:exactMatch	MONDO:0006664	atrial septal defect	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	atrial septal defect
ICD10CM:Q21.1	Atrial septal defect	skos:exactMatch	MONDO:0006664	atrial septal defect	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	atrial septal defect
MONDO:0018958	Nemaline myopathy	skos:exactMatch	ICD10CM:G71.21	nemaline myopathy	semapv:LexicalMatching	LEXMATCH					
ICD10CM:G71.21	Nemaline myopathy	skos:exactMatch	MONDO:0018958	nemaline myopathy	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	nemaline myopathy
ICD10CM:G71.21	Nemaline myopathy	skos:exactMatch	MONDO:0018958	nemaline myopathy	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	nemaline myopathy
