subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000049	obsolete invasive pneumococcal disease, recurrent isolated	skos:exactMatch	OMIMPS:610799		semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000169	obsolete microphthalmia, isolated, with cataract	skos:exactMatch	OMIMPS:156850		semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000218	obsolete preimplantation embryonic lethality	skos:exactMatch	OMIMPS:616814		semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0002012	methylmalonic acidemia	skos:exactMatch	OMIMPS:251000	Methylmalonic aciduria	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	methylmalonic aciduria	LEXMATCH
MONDO:0002012	methylmalonic acidemia	skos:exactMatch	OMIMPS:251000	Methylmalonic aciduria	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	methylmalonic aciduria	LEXMATCH
MONDO:0014551	short stature with nonspecific skeletal abnormalities	skos:exactMatch	OMIMPS:616255	Short stature with nonspecific skeletal abnormalities	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	short stature with nonspecific skeletal abnormalities	LEXMATCH
MONDO:0014912	infantile-onset periodic fever-panniculitis-dermatosis syndrome	skos:exactMatch	OMIMPS:617099	Autoinflammation, panniculitis, and dermatosis syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	autoinflammation, panniculitis, and dermatosis syndrome	LEXMATCH
MONDO:0014912	infantile-onset periodic fever-panniculitis-dermatosis syndrome	skos:exactMatch	OMIMPS:617099	Autoinflammation, panniculitis, and dermatosis syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	autoinflammation, panniculitis, and dermatosis syndrome	LEXMATCH
MONDO:0020627	obsolete epileptic encephalopathy, infantile or early childhood	skos:exactMatch	OMIMPS:617711		semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0033196	obsolete skin/hair/eye pigmentation, variation in	skos:exactMatch	OMIMPS:227220	Skin/hair/eye pigmentation, variation in	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0044278	obsolete short sleeper	skos:exactMatch	OMIMPS:612975	Short sleep, familial natural	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
