subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0002214	brain germinoma	skos:broadMatch	NCIT:C5430	Intracranial Germinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	intracranial germinoma	LEXMATCH
MONDO:0002685	childhood choroid plexus carcinoma	skos:broadMatch	NCIT:C42080	Childhood Choroid Plexus Neoplasm	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	childhood choroid plexus neoplasm	LEXMATCH
MONDO:0002912	brainstem cancer	skos:broadMatch	NCIT:C4975	Primary Brain Stem Neoplasm	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	primary brain stem neoplasm	LEXMATCH
MONDO:0003741	juvenile type testicular granulosa cell tumor	skos:broadMatch	NCIT:C4207	Juvenile Type Granulosa Cell Tumor	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	juvenile type granulosa cell tumor	LEXMATCH
MONDO:0003945	bone epithelioid hemangioma	skos:broadMatch	NCIT:C6477	Bone Hemangioma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	bone hemangioma	LEXMATCH
MONDO:0004249	pediatric supratentorial ependymoma	skos:broadMatch	NCIT:C186343	Supratentorial Ependymoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	supratentorial ependymoma	LEXMATCH
MONDO:0004352	adult brain ependymoma	skos:broadMatch	NCIT:C156462	Brain Ependymoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	brain ependymoma	LEXMATCH
MONDO:0006173	conjunctival squamous cell carcinoma	skos:broadMatch	NCIT:C176043	Ocular Surface Squamous Neoplasia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	ocular surface squamous neoplasia	LEXMATCH
MONDO:0006275	lung giant cell carcinoma	skos:broadMatch	NCIT:C3779	Giant Cell Carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	giant cell carcinoma	LEXMATCH
MONDO:0700079	hormone receptor-positive breast cancer	skos:broadMatch	NCIT:C157056	Hormone Receptor-Positive Breast Carcinoma	semapv:UnspecifiedMatching						MONDO_MAPPINGS
