mondo_id	hgnc_id	omim_disease_xref	omim_gene
ID	SC 'has material basis in germline mutation in' some %	>A oboInOwl:source	
http://purl.obolibrary.org/obo/MONDO_0000208	http://identifiers.org/hgnc/28403	OMIM:616033	https://omim.org/entry/616013
http://purl.obolibrary.org/obo/MONDO_0000908	http://identifiers.org/hgnc/2511	OMIM:615616	https://omim.org/entry/607667
http://purl.obolibrary.org/obo/MONDO_0000909	http://identifiers.org/hgnc/2026	OMIM:613090	https://omim.org/entry/602024
http://purl.obolibrary.org/obo/MONDO_0001056	http://identifiers.org/hgnc/5992	OMIM:613659	https://omim.org/entry/147720
http://purl.obolibrary.org/obo/MONDO_0002009	http://identifiers.org/hgnc/3721	OMIM:608516	https://omim.org/entry/602623
http://purl.obolibrary.org/obo/MONDO_0003789	http://identifiers.org/hgnc/9343	OMIM:605074	https://omim.org/entry/179755
http://purl.obolibrary.org/obo/MONDO_0004573	http://identifiers.org/hgnc/30225	OMIM:615026	https://omim.org/entry/607883
http://purl.obolibrary.org/obo/MONDO_0006065	http://identifiers.org/hgnc/6949	OMIM:223100	https://omim.org/entry/601806
http://purl.obolibrary.org/obo/MONDO_0007032	http://identifiers.org/hgnc/1952	OMIM:100100	https://omim.org/entry/118494
http://purl.obolibrary.org/obo/MONDO_0007060	http://identifiers.org/hgnc/29935	OMIM:102530	https://omim.org/entry/609856
http://purl.obolibrary.org/obo/MONDO_0007068	http://identifiers.org/hgnc/291	OMIM:103050	https://omim.org/entry/608222
http://purl.obolibrary.org/obo/MONDO_0007097	http://identifiers.org/hgnc/4620	OMIM:105120	https://omim.org/entry/137350
http://purl.obolibrary.org/obo/MONDO_0007103	http://identifiers.org/hgnc/9461	OMIM:105400	https://omim.org/entry/170710
http://purl.obolibrary.org/obo/MONDO_0007104	http://identifiers.org/hgnc/17994	OMIM:105500	https://omim.org/entry/605692
http://purl.obolibrary.org/obo/MONDO_0007105	http://identifiers.org/hgnc/28337	OMIM:105550	https://omim.org/entry/614260
http://purl.obolibrary.org/obo/MONDO_0007109	http://identifiers.org/hgnc/6392	OMIM:105600	https://omim.org/entry/605064
http://purl.obolibrary.org/obo/MONDO_0007110	http://identifiers.org/hgnc/10402	OMIM:105650	https://omim.org/entry/603474
http://purl.obolibrary.org/obo/MONDO_0007113	http://identifiers.org/hgnc/12496	OMIM:105830	https://omim.org/entry/601623
http://purl.obolibrary.org/obo/MONDO_0007118	http://identifiers.org/hgnc/6181	OMIM:106190	https://omim.org/entry/600144
