mondo_id	subset	ncit_id	mondo_label	ncit_label
ID	A oboInOwl:inSubset	>A oboInOwl:source		
MONDO:0000115	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84570	Chiari malformation	Arnold-Chiari Malformation
MONDO:0000128	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84728	giant axonal neuropathy	Giant Axonal Neuropathy
MONDO:0000153	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84742	transposition of the great arteries	Transposition of Great Vessels
MONDO:0000171	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C99109	muscular dystrophy-dystroglycanopathy, type A	Walker-Warburg Syndrome
MONDO:0000355	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C123438	Ullrich congenital muscular dystrophy	Ullrich Congenital Muscular Dystrophy
MONDO:0000390	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C118788	vitelliform macular dystrophy	Vitelliform Macular Dystrophy
MONDO:0000481	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85072	cervical dystonia	Spasmodic Torticollis
MONDO:0000675	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C125664	pain agnosia	Pain Agnosia
MONDO:0000819	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84560	anencephaly	Anencephaly
MONDO:0000914	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84606	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	CADASIL Syndrome
MONDO:0000948	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C34503	xerophthalmia	Xerophthalmia
MONDO:0000979	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85011	pinta disease	Pinta
MONDO:0000995	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84709	familial periodic paralysis	Familial Periodic Paralysis
MONDO:0001029	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C98967	Klippel-Feil syndrome	Klippel-Feil Syndrome
MONDO:0001045	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84790	intestinal atresia	Intestinal Atresia
MONDO:0001347	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84704	facioscapulohumeral muscular dystrophy	Facioscapulohumeral Muscular Dystrophy
MONDO:0001414	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84985	osteopoikilosis	Osteopoikilosis
MONDO:0001437	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85037	pulmonary alveolar proteinosis	Pulmonary Alveolar Proteinosis
MONDO:0001516	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85075	spinal muscular atrophy	Spinal Muscular Atrophy
MONDO:0001567	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84918	nephrocalcinosis	Nephrocalcinosis
MONDO:0001586	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85053	mucopolysaccharidosis type 1	Mucopolysaccharidosis Type I
MONDO:0001595	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84633	choreatic disease	Chorea
MONDO:0001617	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85198	transient global amnesia	Transient Global Amnesia
MONDO:0001910	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84938	ochronosis disorder	Ochronosis
MONDO:0001982	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C61269	Niemann-Pick disease	Niemann-Pick Disease
MONDO:0002012	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C98986	methylmalonic acidemia	Methylmalonic Acidemia
MONDO:0002017	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84947	olivopontocerebellar atrophy	Olivopontocerebellar Atrophy
MONDO:0002119	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C8422	ossifying fibroma	Cemento-Ossifying Fibroma
MONDO:0002125	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85079	obsolete status epilepticus	Status Epilepticus
MONDO:0002408	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84761	hereditary hyperbilirubinemia	Hereditary Hyperbilirubinemia
MONDO:0002412	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C61272	disorder of glycogen metabolism	Glycogen Storage Disease
MONDO:0002413	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84733	glycogen storage disease I	Glycogen Storage Disease Type I
MONDO:0002441	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84793	Jervell and Lange-Nielsen syndrome	Jervell and Lange Nielsen Syndrome
MONDO:0002457	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C75018	Treacher-Collins syndrome	Treacher Collins Syndrome
MONDO:0002561	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C61250	lysosomal storage disease	Lysosomal Storage Disease
MONDO:0002644	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C27575	idiopathic granulomatous myositis	Idiopathic Granulomatous Myositis
MONDO:0002685	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C124292	childhood choroid plexus carcinoma	Childhood Choroid Plexus Carcinoma
MONDO:0002687	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85175	superior mesenteric artery syndrome	Superior Mesenteric Artery Syndrome
MONDO:0002724	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C9295	mast cell neoplasm	Mast Cell Neoplasm
MONDO:0002726	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C7138	cutaneous solitary mastocytoma	Solitary Mastocytoma of the Skin
MONDO:0002768	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85207	true hermaphroditism	True Hermaphroditism
MONDO:0002787	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C4726	adamantinous craniopharyngioma	Adamantinomatous Craniopharyngioma
MONDO:0002788	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C4725	papillary craniopharyngioma	Papillary Craniopharyngioma
MONDO:0002921	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84648	congenital structural myopathy	Congenital Structural Myopathy
MONDO:0002946	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84743	gynatresia	Gynatresia
MONDO:0003007	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C6568	childhood kidney cell carcinoma	Childhood Renal Cell Carcinoma
MONDO:0003079	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C9303	mastocytoma	Mastocytoma
MONDO:0003122	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C125695	striatonigral degeneration	Striatonigral Degeneration
MONDO:0003158	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C7596	malignant myoepithelioma	Malignant Myoepithelioma
MONDO:0003227	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85031	prosopagnosia	Prosopagnosia
MONDO:0003389	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C4199	epithelial-myoepithelial carcinoma	Epithelial-Myoepithelial Carcinoma
MONDO:0003754	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84601	Brown-Sequard syndrome	Brown-Sequard Syndrome
MONDO:0003764	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C5318	pediatric leptomeningeal melanoma	Childhood Meningeal Melanoma
MONDO:0003786	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C6544	childhood testicular choriocarcinoma	Childhood Testicular Choriocarcinoma
MONDO:0003953	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C6206	pediatric CNS choriocarcinoma	Childhood Central Nervous System Choriocarcinoma
MONDO:0003990	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C40395	malignant breast myoepithelioma	Breast Malignant Myoepithelioma
MONDO:0004385	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C27514	adult xanthogranuloma	Cutaneous Adult Xanthogranuloma
MONDO:0004495	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C34833	myotonic cataract	Myotonic Cataract
MONDO:0004535	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C6549	childhood choriocarcinoma of the ovary	Childhood Ovarian Choriocarcinoma
MONDO:0004579	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85046	retinoschisis	Retinoschisis
MONDO:0004714	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84574	atrophic muscular disease	Atrophic Muscular Disorder
MONDO:0004737	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84765	homocystinuria	Homocystinuria
MONDO:0004739	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84785	urea cycle disorder	Urea Cycle Metabolism Disorder
MONDO:0004743	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84770	hyperhomocysteinemia	Hyperhomocysteinemia
MONDO:0004881	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C26985	myositis fibrosa	Interstitial Myositis
MONDO:0005116	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85228	Whipple disease	Whipple Disease
MONDO:0005124	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84824	leprosy	Leprosy
MONDO:0005321	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84721	Fuchs' endothelial dystrophy	Fuchs Endothelial Dystrophy
MONDO:0005516	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84978	osteochondrodysplasia	Osteochondrodysplasia
MONDO:0005518	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C124575	pseudohermaphroditism	Pseudohermaphroditism
MONDO:0005527	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C27961	toxic encephalopathy	Neurotoxicity Syndrome
MONDO:0005638	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84542	agnosia	Agnosia
MONDO:0005764	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C9281	follicular dendritic cell sarcoma	Follicular Dendritic Cell Sarcoma
MONDO:0005775	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C98933	G6PD deficiency	Glucose-6-Phosphate Dehydrogenase Deficiency
MONDO:0005784	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84753	hantavirus hemorrhagic fever with renal syndrome	Hemorrhagic Fever with Renal Syndrome
MONDO:0005802	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84768	hymenolepiasis	Hymenolepiasis
MONDO:0005807	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84780	idiopathic CD4-positive T-lymphocytopenia	Idiopathic CD4-Positive T-Lymphocytopenia
MONDO:0005813	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C9282	interdigitating dendritic cell sarcoma	Interdigitating Dendritic Cell Sarcoma
MONDO:0005817	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84802	Kluver-Bucy syndrome	Kluver-Bucy Syndrome
MONDO:0005825	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84825	leptospirosis	Leptospirosis
MONDO:0005838	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84882	mansonelliasis	Mansonelliasis
MONDO:0005854	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84892	mixed connective tissue disease	Mixed Connective Tissue Disease
MONDO:0005885	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84950	optic neuritis	Optic Neuritis
MONDO:0005895	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84995	paragonimiasis	Paragonimiasis
MONDO:0005979	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85188	thoracic outlet syndrome	Thoracic Outlet Syndrome
MONDO:0006015	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C85225	Waterhouse-Friderichsen syndrome	Waterhouse-Friderichsen Syndrome
MONDO:0006042	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84888	meningeal tuberculosis	Meningeal Tuberculosis
MONDO:0006073	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C4310	adenomatoid odontogenic tumor	Adenomatoid Odontogenic Tumor
MONDO:0006079	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C7492	ameloblastic carcinoma	Ameloblastic Carcinoma
MONDO:0006179	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C39758	desmoplastic ameloblastoma	Desmoplastic Ameloblastoma
MONDO:0006247	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C9294	histiocytic and dendritic cell neoplasm	Histiocytic and Dendritic Cell Neoplasm
MONDO:0006381	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C39753	plexiform ameloblastoma	Plexiform Ameloblastoma
MONDO:0006385	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C54295	primary intraosseous squamous cell carcinoma	Primary Intraosseous Carcinoma, Not Otherwise Specified
MONDO:0006412	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C36075	sinus histiocytosis with massive lymphadenopathy	Rosai-Dorfman-Destombes Disease
MONDO:0006507	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84481	hereditary hemochromatosis	Hereditary Hemochromatosis
MONDO:0006520	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C35467	Achenbach syndrome	Achenbach Syndrome
MONDO:0006523	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84532	acrodermatitis	Acrodermatitis
MONDO:0006541	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C67383	epidermolysis bullosa	Epidermolysis Bullosa
MONDO:0006543	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84691	epidermolysis bullosa dystrophica	Epidermolysis Bullosa Dystrophica
MONDO:0006553	http://purl.obolibrary.org/obo/mondo#ncit_rare	NCIT:C84716	Fox-Fordyce disease	Fox-Fordyce Disease
