subject_id	subject_label	object_id	equivalence	author_id	mapping_provider	object_label
ID		A oboInOwl:hasDbXref	>A oboInOwl:source	>A oboInOwl:source SPLIT=|	>A oboInOwl:source	
MONDO:0000050	isolated congenital growth hormone deficiency	NANDO:2200317	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Congenital growth hormone deficiency
MONDO:0000087	polymicrogyria	NANDO:1201071	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Polymicrogyria
MONDO:0000088	precocious puberty	NANDO:2100135	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Precocious puberty
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	NANDO:1200334	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	ICF syndrome
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	NANDO:2200708	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	ICF syndrome
MONDO:0000147	polyposis	NANDO:2100257	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Polyposis
MONDO:0000153	transposition of the great arteries	NANDO:2200258	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Complete transposition of the great arteries
MONDO:0000188	GLUT1 deficiency syndrome	NANDO:1200799	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Glucose transporter 1 deficiency
MONDO:0000190	ventricular fibrillation	NANDO:2100052	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Ventricular fibrillation
MONDO:0000190	ventricular fibrillation	NANDO:2200227	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Ventricular fibrillation
MONDO:0000351	disorder of methionine catabolism	NANDO:2200475	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Hypermethioninemia
MONDO:0000355	Ullrich congenital muscular dystrophy	NANDO:1200215	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Ullrich disease
MONDO:0000355	Ullrich congenital muscular dystrophy	NANDO:2200862	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Ullrich congenital muscular dystrophy
MONDO:0000390	vitelliform macular dystrophy	NANDO:1200932	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Vitelliform macular dystrophy
MONDO:0000437	cerebellar ataxia	NANDO:1200037	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Spinocerebellar degeneration
MONDO:0000437	cerebellar ataxia	NANDO:2100238	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Spinocerebellar degeneration
MONDO:0000437	cerebellar ataxia	NANDO:2200882	MONDO:equivalentTo	orcid:0000-0003-0011-764X|orcid:0000-0002-0170-9172	http://nanbyodata.jp	Spinocerebellar degeneration
