mondo_id	hgnc_id	omim_disease_xref	source_code	omim_gene
ID	SC 'has material basis in germline mutation in' some %	>A oboInOwl:source	>A oboInOwl:source	
http://purl.obolibrary.org/obo/MONDO_0000208	https://identifiers.org/hgnc/28403	OMIM:616033	MONDO:OMIM	https://omim.org/entry/616013
http://purl.obolibrary.org/obo/MONDO_0000908	https://identifiers.org/hgnc/2511	OMIM:615616	MONDO:OMIM	https://omim.org/entry/607667
http://purl.obolibrary.org/obo/MONDO_0000909	https://identifiers.org/hgnc/2026	OMIM:613090	MONDO:OMIM	https://omim.org/entry/602024
http://purl.obolibrary.org/obo/MONDO_0001056	https://identifiers.org/hgnc/5992	OMIM:613659	MONDO:OMIM	https://omim.org/entry/147720
http://purl.obolibrary.org/obo/MONDO_0002009	https://identifiers.org/hgnc/3721	OMIM:608516	MONDO:OMIM	https://omim.org/entry/602623
http://purl.obolibrary.org/obo/MONDO_0003789	https://identifiers.org/hgnc/9343	OMIM:605074	MONDO:OMIM	https://omim.org/entry/179755
http://purl.obolibrary.org/obo/MONDO_0004573	https://identifiers.org/hgnc/30225	OMIM:615026	MONDO:OMIM	https://omim.org/entry/607883
http://purl.obolibrary.org/obo/MONDO_0004951	https://identifiers.org/hgnc/10628	OMIM:609423	MONDO:OMIM	https://omim.org/entry/601395
http://purl.obolibrary.org/obo/MONDO_0004951	https://identifiers.org/hgnc/10672	OMIM:609423	MONDO:OMIM	https://omim.org/entry/600835
http://purl.obolibrary.org/obo/MONDO_0004951	https://identifiers.org/hgnc/6026	OMIM:609423	MONDO:OMIM	https://omim.org/entry/146929
http://purl.obolibrary.org/obo/MONDO_0004951	https://identifiers.org/hgnc/6338	OMIM:609423	MONDO:OMIM	https://omim.org/entry/604946
http://purl.obolibrary.org/obo/MONDO_0005090	https://identifiers.org/hgnc/11495	OMIM:181500	MONDO:OMIM	https://omim.org/entry/600755
http://purl.obolibrary.org/obo/MONDO_0005090	https://identifiers.org/hgnc/18601	OMIM:181500	MONDO:OMIM	https://omim.org/entry/605566
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/11641	OMIM:125853	MONDO:OMIM	https://omim.org/entry/602228
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/20303	OMIM:125853	MONDO:OMIM	https://omim.org/entry/611145
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/28867	OMIM:125853	MONDO:OMIM	https://omim.org/entry/608289
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/4456	OMIM:125853	MONDO:OMIM	https://omim.org/entry/138430
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/5010	OMIM:125853	MONDO:OMIM	https://omim.org/entry/600701
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/6126	OMIM:125853	MONDO:OMIM	https://omim.org/entry/600797
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/6882	OMIM:125853	MONDO:OMIM	https://omim.org/entry/604641
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/7464	OMIM:125853	MONDO:OMIM	https://omim.org/entry/600804
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/9291	OMIM:125853	MONDO:OMIM	https://omim.org/entry/600917
http://purl.obolibrary.org/obo/MONDO_0005148	https://identifiers.org/hgnc/9642	OMIM:125853	MONDO:OMIM	https://omim.org/entry/176885
