mondo_id	subset	ordo_id	mondo_label	ordo_label
ID	A oboInOwl:inSubset	>A oboInOwl:source		
MONDO:0000001	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:377788	disease	disease
MONDO:0000023	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:464724	infantile liver failure	Fever-associated acute infantile liver failure syndrome
MONDO:0000044	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:437	hereditary hypophosphatemic rickets	Hypophosphatemic rickets
MONDO:0000050	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:631	isolated congenital growth hormone deficiency	Non-acquired isolated growth hormone deficiency
MONDO:0000087	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:35981	polymicrogyria	Polymicrogyria
MONDO:0000088	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:95708	precocious puberty	Rare precocious puberty
MONDO:0000107	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:137888	auriculocondylar syndrome	Auriculocondylar syndrome
MONDO:0000110	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2695	bifid nose	Bifid nose
MONDO:0000127	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2623	geleophysic dysplasia	Geleophysic dysplasia
MONDO:0000133	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2268	immunodeficiency-centromeric instability-facial anomalies syndrome	ICF syndrome
MONDO:0000136	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2340	keratosis follicularis spinulosa decalvans	Keratosis follicularis spinulosa decalvans
MONDO:0000141	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:1052	mosaic variegated aneuploidy syndrome	Mosaic variegated aneuploidy syndrome
MONDO:0000153	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:216675	transposition of the great arteries	Transposition of the great arteries
MONDO:0000170	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:98938	microphthalmia, isolated, with coloboma	Colobomatous microphthalmia
MONDO:0000171	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:899	muscular dystrophy-dystroglycanopathy, type A	Walker-Warburg syndrome
MONDO:0000179	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2671	Neu-Laxova syndrome	Neu-Laxova syndrome
MONDO:0000193	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:168588	cortisone reductase deficiency	Hyperandrogenism due to cortisone reductase deficiency
MONDO:0000200	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:3473	Zimmermann-Laband syndrome	Zimmermann-Laband syndrome
MONDO:0000209	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:486811	prenatal-onset spinal muscular atrophy with congenital bone fractures	Prenatal-onset spinal muscular atrophy with congenital bone fractures
MONDO:0000211	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:228169	striatal degeneration, autosomal dominant	Autosomal dominant striatal neurodegeneration
MONDO:0000212	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:300547	hypercalcemia, infantile	Autosomal recessive infantile hypercalcemia
MONDO:0000330	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:83315	endemic typhus	Murine typhus
MONDO:0000355	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:75840	Ullrich congenital muscular dystrophy	Ullrich congenital muscular dystrophy
