term_id	term_label	exclusion_reason	exclude_children
DOID:0040001	shrimp allergy	MONDO:excludeAllergy	TRUE
DOID:0040002	aspirin allergy	MONDO:excludeAllergy	TRUE
DOID:0040003	benzylpenicillin allergy	MONDO:excludeAllergy	TRUE
DOID:0040004	amoxicillin allergy	MONDO:excludeAllergy	TRUE
DOID:0040005	ceftriaxone allergy	MONDO:excludeAllergy	TRUE
DOID:0040006	carbamazepine allergy	MONDO:excludeAllergy	TRUE
DOID:0040007	abacavir allergy	MONDO:excludeAllergy	TRUE
DOID:0040008	isoniazide allergy	MONDO:excludeAllergy	TRUE
DOID:0040009	lidocaine allergy	MONDO:excludeAllergy	TRUE
DOID:0040010	mepivacaine allergy	MONDO:excludeAllergy	TRUE
DOID:0040011	phenobarbital allergy	MONDO:excludeAllergy	TRUE
DOID:0040012	phenytoin allergy	MONDO:excludeAllergy	TRUE
DOID:0040013	ranitidine allergy	MONDO:excludeAllergy	TRUE
DOID:0040014	corticosteroid allergy	MONDO:excludeAllergy	TRUE
DOID:0040015	sulfonamide allergy	MONDO:excludeAllergy	TRUE
DOID:0040016	sulfamethoxazole allergy	MONDO:excludeAllergy	TRUE
DOID:0040017	suprofen allergy	MONDO:excludeAllergy	TRUE
DOID:0040018	thiopental allergy	MONDO:excludeAllergy	TRUE
DOID:0040019	D-mannitol allergy	MONDO:excludeAllergy	TRUE
DOID:0040020	cefotaxime allergy	MONDO:excludeAllergy	TRUE
DOID:0040021	cephalosporin allergy	MONDO:excludeAllergy	TRUE
DOID:0040022	amodiaquine allergy	MONDO:excludeAllergy	TRUE
DOID:0040023	cefaclor allergy	MONDO:excludeAllergy	TRUE
DOID:0040024	ceftazidime allergy	MONDO:excludeAllergy	TRUE
DOID:0040025	cefuroxime allergy	MONDO:excludeAllergy	TRUE
DOID:0040026	chlorhexidine allergy	MONDO:excludeAllergy	TRUE
DOID:0040027	cyclophosphamide allergy	MONDO:excludeAllergy	TRUE
DOID:0040028	succinylcholine allergy	MONDO:excludeAllergy	TRUE
DOID:0040029	trimethoprim allergy	MONDO:excludeAllergy	TRUE
DOID:0040030	cefixime allergy	MONDO:excludeAllergy	TRUE
DOID:0040031	diclofenac allergy	MONDO:excludeAllergy	TRUE
DOID:0040032	carbapenem allergy	MONDO:excludeAllergy	TRUE
DOID:0040033	piperacillin allergy	MONDO:excludeAllergy	TRUE
DOID:0040034	rocuronium allergy	MONDO:excludeAllergy	TRUE
DOID:0040035	sulfasalazine allergy	MONDO:excludeAllergy	TRUE
DOID:0040036	tubocurarine allergy	MONDO:excludeAllergy	TRUE
DOID:0040037	aztreonam allergy	MONDO:excludeAllergy	TRUE
DOID:0040038	meropenem allergy	MONDO:excludeAllergy	TRUE
DOID:0040040	hexamethylene diisocyanate allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040041	isocyanates allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040042	diphenylmethane-4,4'-diisocyanate allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040043	toluene meta-diisocyanate allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040044	methyl isocyanate allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040045	nickel allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040046	nickel allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040047	trimellitic anhydride allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040048	phthalic anhydride allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040049	maleic anhydride allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040050	tetrachlorophthalic anhydride allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040051	hexahydrophthalic anhydride allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040052	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040053	cobalt allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040054	cobalt allergic asthma	MONDO:excludeAllergy	TRUE
DOID:0040055	palladium allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040056	chromium allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040057	benzoic acid allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040058	1,4-phenylenediamine allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040059	potassium dichromate allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040061	remazole black respiratory allergy	MONDO:excludeAllergy	TRUE
DOID:0040062	chloramine T respiratory allergy	MONDO:excludeAllergy	TRUE
DOID:0040063	4-vinylcyclohexene dioxide respiratory allergy	MONDO:excludeAllergy	TRUE
DOID:0040064	carvone allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040065	quinidine allergy	MONDO:excludeAllergy	TRUE
DOID:0040066	melphalan allergy	MONDO:excludeAllergy	TRUE
DOID:0040067	neomycin sulfate allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040068	4-tert-butylphenol allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040069	1-chloro-2,4-dinitrobenzene allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040070	co-trimoxazole allergy	MONDO:excludeAllergy	TRUE
DOID:0040071	sodium aurothiomalate allergy	MONDO:excludeAllergy	TRUE
DOID:0040072	parthenolide allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040073	disodium cromoglycate allergy	MONDO:excludeAllergy	TRUE
DOID:0040074	formaldehyde allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040075	benzo[d]isothiazol-3-one allergic contact dermatitis	MONDO:excludeAllergy	TRUE
DOID:0040076	phthalyl group allergy	MONDO:excludeAllergy	TRUE
DOID:0040077	alcuronium bromide allergy	MONDO:excludeAllergy	TRUE
DOID:0040078	gallamine allergy	MONDO:excludeAllergy	TRUE
DOID:0040079	2,4-dinitrophenyl allergic contact dermatitis	MONDO:excludeAllergy	TRUE
