term_id	term_label	exclusion_reason	exclude_children
NCIT:C3367	Finding	MONDO:excludeNonDisease	TRUE
NCIT:134533	Non-Human or Experimental Organism Neoplasm by Organism	MONDO:excludeNonDisease	FALSE
NCIT:21637	Murine Experimental Organism Diagnosis	MONDO:excludeSpeciesoutofscope	TRUE
NCIT:134530	Leporine Experimental Organism Diagnosis	MONDO:excludeSpeciesoutofscope	TRUE
NCIT:134988	Hamster Neoplasm	MONDO:excludeSpeciesoutofscope	TRUE
NCIT:136555	Gerbil Experimental Organism Diagnosis	MONDO:excludeSpeciesoutofscope	TRUE
NCIT:134528	Feline Experimental Organism Diagnosis	MONDO:excludeNonDisease	FALSE
NCIT:134535	Equine Experimental Organism Diagnosis	MONDO:excludeNonDisease	FALSE
NCIT:134785	Zebra Finch Neoplasm	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134575	Xiphophorus Melanoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134574	Xenopus Neoplasm	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:124251	Woodchuck Hepatocellular Carcinoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:135002	Walleye Dermal Sarcoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:135001	Turtle Neoplasm	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134964	Tamarin Colon Adenocarcinoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134951	Suncus Murinus Mammary Tumor	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:135000	Seal Lymphosarcoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134963	Seal Lymphoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134784	Rhesus Monkey Mammary Tumor	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134783	Rhesus Monkey Lymphoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134999	Rattlesnake Fibroma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:136977	Rainbow Trout Mesothelioma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134573	Rainbow Trout Hepatoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134950	Quail Fibrosarcoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134962	Poeciliopsis Lucida Hepatocellular Carcinoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134949	Pike Sarcoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134572	Medaka Melanoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134571	Medaka Hepatoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134564	Guinea Pig Leukemia	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134563	Guinea Pig Colon Adenocarcinoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134562	Goldfish Erythrophoroma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134774	Gibbon Lymphosarcoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134534	Galline Experimental Organism Diagnosis	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134771	Frog Pronephric Kidney Tumor	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:136559	Fish Experimental Organism Diagnosis	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134769	Duck Neoplasm	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:136978	Devil Facial Tumor Disease	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:135003	Budgerigar Testicular Carcinoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134943	Budgerigar Fibrosarcoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134955	Bat Skin Tumor	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134766	Baboon Lymphoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:134959	Marmoset Lymphoma	MONDO:excludeSpeciesoutofscope	FALSE
NCIT:182077	Macaca mulatta Hepatocellular Carcinoma	MONDO:excludeSpeciesoutofscope	FALSE
