subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string	review	notes	Questions
MONDO:0006834	lip cancer	ICD10CM:C00.9	MONDO:equivalentTo	semapv:LexicalMatching	"Malignant neoplasm of lip, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	"malignant neoplasm of lip, unspecified"	N	I don't think we want to map to these unspecfied terms?	
MONDO:0006834	lip cancer	ICD10CM:C00.5	MONDO:equivalentTo	semapv:LexicalMatching	"Malignant neoplasm of lip, unspecified, inner aspect"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	"malignant neoplasm of lip, unspecified, inner aspect"	N	I don't think we want to map to these unspecfied terms?	
MONDO:0002691	liver cancer	ICD10CM:C22.9	MONDO:equivalentTo	semapv:LexicalMatching	"Malignant neoplasm of liver, not specified as primary or secondary"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	"malignant neoplasm of liver, not specified as primary or secondary"	N	I don't think we want to map to these unspecfied terms?	
MONDO:0001528	vulva cancer	ICD10CM:C51.9	MONDO:equivalentTo	semapv:LexicalMatching	"Malignant neoplasm of vulva, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	"malignant neoplasm of vulva, unspecified"	N	I don't think we want to map to these unspecfied terms?	
MONDO:0017775	melioidosis	ICD10CM:A24.9	MONDO:equivalentTo	semapv:LexicalMatching	"Melioidosis, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	whitmore's disease	N	I don't think we want to map to these unspecfied terms?	
MONDO:0018938	mucopolysaccharidosis type 4	ICD10CM:E76.219	MONDO:equivalentTo	semapv:LexicalMatching	"Morquio mucopolysaccharidoses, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	morquio syndrome	N	I don't think we want to map to these unspecfied terms?	
MONDO:0005295	intermittent vascular claudication	ICD10CM:I73.9	MONDO:equivalentTo	semapv:LexicalMatching	"Peripheral vascular disease, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	intermittent claudication	N	I don't think we want to map to these unspecfied terms?	
MONDO:0005920	Plasmodium falciparum malaria	ICD10CM:B50.9	MONDO:equivalentTo	semapv:LexicalMatching	"Plasmodium falciparum malaria, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	"plasmodium falciparum malaria, unspecified"	N	I don't think we want to map to these unspecfied terms?	
MONDO:0005439	familial hypercholesterolemia	ICD10CM:E78.00	MONDO:equivalentTo	semapv:LexicalMatching	"Pure hypercholesterolemia, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hyperbetalipoproteinemia	N	I don't think we want to map to these unspecfied terms?	
MONDO:0006955	rheumatic heart disease	ICD10CM:I09.9	MONDO:equivalentTo	semapv:LexicalMatching	"Rheumatic heart disease, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	rheumatic carditis	N	I don't think we want to map to these unspecfied terms?	
MONDO:0006966	secondary Parkinson disease	ICD10CM:G21.9	MONDO:equivalentTo	semapv:LexicalMatching	"Secondary parkinsonism, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	"secondary parkinsonism, unspecified"	N	I don't think we want to map to these unspecfied terms?	
MONDO:0005264	transient ischemic attack	ICD10CM:G45.9	MONDO:equivalentTo	semapv:LexicalMatching	"Transient cerebral ischemic attack, unspecified"	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	tia	N	I don't think we want to map to these unspecfied terms?	
MONDO:0019121	pneumocystosis	ICD10CM:F16	MONDO:equivalentTo	semapv:LexicalMatching	Hallucinogen related disorders	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	pcp	N	incorrect match on abbreviation	
MONDO:0024633	hypertensive nephropathy	ICD10CM:I12	MONDO:equivalentTo	semapv:LexicalMatching	Hypertensive chronic kidney disease	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	hypertensive nephropathy	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0024633	hypertensive nephropathy	ICD10CM:I12	MONDO:equivalentTo	semapv:LexicalMatching	Hypertensive chronic kidney disease	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hypertensive nephropathy	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0006044	nephrosclerosis	ICD10CM:I12	MONDO:equivalentTo	semapv:LexicalMatching	Hypertensive chronic kidney disease	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	nephrosclerosis	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0001166	nephritis	ICD10CM:N08	MONDO:equivalentTo	semapv:LexicalMatching	Glomerular disorders in diseases classified elsewhere	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	nephritis	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0002462	glomerulonephritis	ICD10CM:N08	MONDO:equivalentTo	semapv:LexicalMatching	Glomerular disorders in diseases classified elsewhere	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	glomerulonephritis	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0002462	glomerulonephritis	ICD10CM:N08	MONDO:equivalentTo	semapv:LexicalMatching	Glomerular disorders in diseases classified elsewhere	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	glomerulonephritis	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0002462	glomerulonephritis	ICD10CM:N08	MONDO:equivalentTo	semapv:RegularExpressionReplacement	Glomerular disorders in diseases classified elsewhere	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	glomerulonephritis	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0011565	metabolic syndrome X	ICD10CM:E88.81	MONDO:equivalentTo	semapv:LexicalMatching	Metabolic syndrome	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	dysmetabolic syndrome x	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0019465	nodal marginal zone B-cell lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	semapv:LexicalMatching	Small cell B-cell lymphoma	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	nodal marginal zone lymphoma	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0000432	lymphoplasmacytic lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	semapv:LexicalMatching	Small cell B-cell lymphoma	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	lymphoplasmacytic lymphoma	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0000432	lymphoplasmacytic lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	semapv:RegularExpressionReplacement	Small cell B-cell lymphoma	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	lymphoplasmacytic lymphoma	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0000432	lymphoplasmacytic lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	semapv:LexicalMatching	Small cell B-cell lymphoma	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	lymphoplasmacytic lymphoma	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0019462	splenic marginal zone lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	semapv:LexicalMatching	Small cell B-cell lymphoma	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	splenic marginal zone lymphoma	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0019462	splenic marginal zone lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	semapv:LexicalMatching	Small cell B-cell lymphoma	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	splenic marginal zone lymphoma	N	MONDO:mondoIsNarrowerThanSource	
MONDO:0021507	benign neoplasm of brain stem	ICD10CM:D33.1	MONDO:equivalentTo	semapv:LexicalMatching	"Benign neoplasm of brain, infratentorial"	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	benign neoplasm of brain stem	N	MONDO:mondoIsNarrowerThanSource	
