subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0000001	disease	NCIT:C2991	MONDO:equivalentTo	Disease or Disorder	semapv:UnspecifiedMatching					
MONDO:0000371	oral cavity carcinoma in situ	NCIT:C4587	MONDO:equivalentTo	Stage 0 Oral Cavity Cancer AJCC v6 and v7	semapv:UnspecifiedMatching					
MONDO:0000372	pharynx carcinoma in situ	NCIT:C4942	MONDO:equivalentTo	Stage 0 Pharyngeal Cancer	semapv:UnspecifiedMatching					
MONDO:0000384	bladder benign neoplasm	NCIT:C3618	MONDO:equivalentTo	Benign Bladder Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000402	small cell carcinoma	NCIT:C3915	MONDO:equivalentTo	Small Cell Neuroendocrine Carcinoma	semapv:UnspecifiedMatching					
MONDO:0000548	ovarian clear cell cancer	NCIT:C40077	MONDO:equivalentTo	Malignant Ovarian Clear Cell Tumor	semapv:UnspecifiedMatching					
MONDO:0000554	endocervical adenocarcinoma	NCIT:C127907	MONDO:equivalentTo	Endocervical Adenocarcinoma, Usual-Type	semapv:UnspecifiedMatching					
MONDO:0000618	Her2-receptor negative breast cancer	NCIT:C168519	MONDO:equivalentTo	HER2-Negative Breast Carcinoma	semapv:UnspecifiedMatching					
MONDO:0000620	breast benign neoplasm	NCIT:C4505	MONDO:equivalentTo	Benign Breast Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000631	bone benign neoplasm	NCIT:C4880	MONDO:equivalentTo	Benign Bone Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000632	uterine benign neoplasm	NCIT:C3609	MONDO:equivalentTo	Benign Uterine Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000634	thoracic benign neoplasm	NCIT:C4565	MONDO:equivalentTo	Benign Thoracic Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000640	central nervous system primitive neuroectodermal neoplasm	NCIT:C5398	MONDO:equivalentTo	Central Nervous System Embryonal Tumor, Not Otherwise Specified	semapv:UnspecifiedMatching					
MONDO:0000643	vulvar benign neoplasm	NCIT:C3611	MONDO:equivalentTo	Benign Vulvar Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000644	cervical benign neoplasm	NCIT:C3607	MONDO:equivalentTo	Benign Cervical Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000645	fallopian tube benign neoplasm	NCIT:C4517	MONDO:equivalentTo	Benign Fallopian Tube Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000646	ovarian benign neoplasm	NCIT:C2895	MONDO:equivalentTo	Benign Ovarian Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000648	nervous system benign neoplasm	NCIT:C4789	MONDO:equivalentTo	Benign Nervous System Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000650	peritoneal benign neoplasm	NCIT:C8612	MONDO:equivalentTo	Benign Peritoneal Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000651	obsolete thoracic disorder	NCIT:C35742	MONDO:equivalentTo	Thoracic Disorder	semapv:UnspecifiedMatching					
MONDO:0000723	stutter disorder	NCIT:C35043	MONDO:equivalentTo	Stutter	semapv:UnspecifiedMatching					
MONDO:0000746	obsolete inguinal hernia	NCIT:C34690	MONDO:equivalentTo	Inguinal Hernia	semapv:UnspecifiedMatching					
MONDO:0000871	T-cell childhood acute lymphocytic leukemia	NCIT:C7953	MONDO:equivalentTo	Childhood T Acute Lymphoblastic Leukemia	semapv:UnspecifiedMatching					
MONDO:0000872	B-cell childhood acute lymphoblastic leukemia	NCIT:C9140	MONDO:equivalentTo	Childhood B Acute Lymphoblastic Leukemia	semapv:UnspecifiedMatching					
MONDO:0000893	mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma	NCIT:C7270	MONDO:equivalentTo	Minimally Invasive Lung Mixed Non-Mucinous and Mucinous Adenocarcinoma	semapv:UnspecifiedMatching					
MONDO:0000919	ampulla of vater cancer	NCIT:C3536	MONDO:equivalentTo	Malignant Ampulla of Vater Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000920	duodenum cancer	NCIT:C9328	MONDO:equivalentTo	Malignant Duodenal Neoplasm	semapv:UnspecifiedMatching					
MONDO:0000929	balloon cell malignant melanoma	NCIT:C4227	MONDO:equivalentTo	Balloon Cell Melanoma	semapv:UnspecifiedMatching					
MONDO:0000930	nodular malignant melanoma	NCIT:C4225	MONDO:equivalentTo	Cutaneous Nodular Melanoma	semapv:UnspecifiedMatching					
MONDO:0000951	thymus lymphoma	NCIT:C6451	MONDO:equivalentTo	Thymic Lymphoma	semapv:UnspecifiedMatching					
MONDO:0000956	small intestine cancer	NCIT:C7523	MONDO:equivalentTo	Malignant Small Intestinal Neoplasm	semapv:UnspecifiedMatching					
MONDO:0001016	epididymis cancer	NCIT:C3558	MONDO:equivalentTo	Malignant Epididymal Neoplasm	semapv:UnspecifiedMatching					
MONDO:0001028	acute pericementitis	NCIT:C34354	MONDO:equivalentTo	Acute Periodontitis	semapv:UnspecifiedMatching					
MONDO:0001056	gastric cancer	NCIT:C9331	MONDO:equivalentTo	Malignant Gastric Neoplasm	semapv:UnspecifiedMatching					
