subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0858986	autosomal dominant spastic paraplegia type 80	Orphanet:631068	MONDO:equivalentTo	Autosomal dominant spastic paraplegia type 80	semapv:UnspecifiedMatching					
MONDO:0858987	autosomal recessive spastic paraplegia type 82	Orphanet:631073	MONDO:equivalentTo	Autosomal recessive spastic paraplegia type 82	semapv:UnspecifiedMatching					
MONDO:0858988	autosomal recessive spastic paraplegia type 83	Orphanet:631076	MONDO:equivalentTo	Autosomal recessive spastic paraplegia type 83	semapv:UnspecifiedMatching					
MONDO:0858989	autosomal recessive spastic paraplegia type 84	Orphanet:631079	MONDO:equivalentTo	Autosomal recessive spastic paraplegia type 84	semapv:UnspecifiedMatching					
MONDO:0858990	autosomal recessive spastic paraplegia type 85	Orphanet:631082	MONDO:equivalentTo	Autosomal recessive spastic paraplegia type 85	semapv:UnspecifiedMatching					
MONDO:0858991	autosomal recessive spastic paraplegia type 86	Orphanet:631085	MONDO:equivalentTo	Autosomal recessive spastic paraplegia type 86	semapv:UnspecifiedMatching					
MONDO:0858992	autosomal recessive spastic paraplegia type 87	Orphanet:631088	MONDO:equivalentTo	Autosomal recessive spastic paraplegia type 87	semapv:UnspecifiedMatching					
MONDO:0858997	cancer of unknown primary site	Orphanet:631251	MONDO:equivalentTo	Cancer of unknown primary site	semapv:UnspecifiedMatching					
MONDO:0859000	SLC12A2-related developmental delay-intellectual disability-sensorineural deafness syndrome	Orphanet:633014	MONDO:equivalentTo	SLC12A2-related developmental delay-intellectual disability-sensorineural deafness syndrome	semapv:UnspecifiedMatching					
MONDO:0859005	preaxial digit brachydactyly-webbed fingers	Orphanet:633211	MONDO:equivalentTo	Preaxial digit brachydactyly-webbed fingers	semapv:UnspecifiedMatching					
MONDO:0859007	mosaic Legius syndrome	Orphanet:634511	MONDO:equivalentTo	Mosaic Legius syndrome	semapv:UnspecifiedMatching					
MONDO:0859008	neurofibromatosis/schwannomatosis	Orphanet:634518	MONDO:equivalentTo	Neurofibromatosis/schwannomatosis	semapv:UnspecifiedMatching					
MONDO:0859761	SLC12A2-related autosomal recessive neonatal-developmental delay-intellectual disability-feeding difficulty-sensorineural deafness syndrome	Orphanet:633021	MONDO:equivalentTo	SLC12A2-related autosomal recessive neonatal-developmental delay-intellectual disability-feeding difficulty-sensorineural deafness syndrome	semapv:UnspecifiedMatching					
MONDO:0859762	SLC12A2-related autosomal dominant infantile-developmental delay-intellectual disability-sensorineural deafness syndrome	Orphanet:633024	MONDO:equivalentTo	SLC12A2-related autosomal dominant infantile-developmental delay-intellectual disability-sensorineural deafness syndrome	semapv:UnspecifiedMatching					
MONDO:0859763	mosaic neurofibromatosis type 1	Orphanet:634461	MONDO:equivalentTo	Mosaic neurofibromatosis type 1	semapv:UnspecifiedMatching					
MONDO:0859764	mosaic NF2-related schwannomatosis	Orphanet:634475	MONDO:equivalentTo	Mosaic NF2-related schwannomatosis	semapv:UnspecifiedMatching					
MONDO:0859765	mosaic schwannomatosis	Orphanet:634492	MONDO:equivalentTo	Mosaic schwannomatosis	semapv:UnspecifiedMatching					
