subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0000275	obsolete monogenic disease	DOID:0050177	MONDO:equivalentTo	monogenic disease	semapv:UnspecifiedMatching					
MONDO:0000348	obsolete posterior polar cataract	DOID:0050537	MONDO:equivalentTo	posterior polar cataract	semapv:UnspecifiedMatching					
MONDO:0000601	obsolete autoimmune disorder of urogenital tract	DOID:0060049	MONDO:equivalentTo	autoimmune disease of urogenital tract	semapv:UnspecifiedMatching					
MONDO:0000651	obsolete thoracic disorder	DOID:0060118	MONDO:equivalentTo	thoracic disease	semapv:UnspecifiedMatching					
MONDO:0000742	obsolete persistent generalized lymphadenopathy	DOID:0060314	MONDO:equivalentTo	persistent generalized lymphadenopathy	semapv:UnspecifiedMatching					
MONDO:0000834	obsolete bone deterioration disease	DOID:0080007	MONDO:equivalentTo	bone deterioration disease	semapv:UnspecifiedMatching					
MONDO:0000839	obsolete congenital abnormality	DOID:0080015	MONDO:equivalentTo	physical disorder	semapv:UnspecifiedMatching					
MONDO:0000857	obsolete Charcot-Marie-Tooth disease type 7	DOID:0080069	MONDO:equivalentTo	Charcot-Marie-Tooth disease type 7	semapv:UnspecifiedMatching					
MONDO:0001254	obsolete peripheral scars of retina	DOID:11283	MONDO:equivalentTo	peripheral scars of retina	semapv:UnspecifiedMatching					
MONDO:0001324	obsolete hyperandrogenism	DOID:11613	MONDO:equivalentTo	hyperandrogenism	semapv:UnspecifiedMatching					
MONDO:0001467	obsolete specific bursitis often of occupational origin	DOID:12223	MONDO:equivalentTo	specific bursitis often of occupational origin	semapv:UnspecifiedMatching					
MONDO:0001662	obsolete right bundle branch block	DOID:13209	MONDO:equivalentTo	right bundle branch block	semapv:UnspecifiedMatching					
MONDO:0001679	obsolete crater-like holes of optic disc	DOID:13295	MONDO:equivalentTo	crater-like holes of optic disc	semapv:UnspecifiedMatching					
MONDO:0001872	obsolete vestibular nystagmus	DOID:14070	MONDO:equivalentTo	vestibular nystagmus	semapv:UnspecifiedMatching					
MONDO:0002324	obsolete enamel erosion	DOID:2497	MONDO:equivalentTo	enamel erosion	semapv:UnspecifiedMatching					
MONDO:0002336	obsolete inflammatory and toxic neuropathy	DOID:2537	MONDO:equivalentTo	inflammatory and toxic neuropathy	semapv:UnspecifiedMatching					
MONDO:0002891	obsolete gastrointestinal neuroendocrine benign tumor	DOID:4148	MONDO:equivalentTo	gastrointestinal neuroendocrine benign tumor	semapv:UnspecifiedMatching					
MONDO:0003043	obsolete extraskeletal mesenchymal chondrosarcoma	DOID:4548	MONDO:equivalentTo	extraskeletal mesenchymal chondrosarcoma	semapv:UnspecifiedMatching					
MONDO:0003456	obsolete bile duct mucinous cystic neoplasm	DOID:5469	MONDO:equivalentTo	biliary tract intraductal papillary mucinous neoplasm	semapv:UnspecifiedMatching					
MONDO:0003804	obsolete blood protein disease	DOID:620	MONDO:equivalentTo	blood protein disease	semapv:UnspecifiedMatching					
MONDO:0004167	obsolete lung clear cell carcinoma	DOID:7267	MONDO:equivalentTo	lung clear cell carcinoma	semapv:UnspecifiedMatching					
MONDO:0004268	obsolete subareolar duct papillomatosis	DOID:7533	MONDO:equivalentTo	subareolar duct papillomatosis	semapv:UnspecifiedMatching					
MONDO:0004391	obsolete adult extraosseous chondrosarcoma	DOID:7902	MONDO:equivalentTo	adult extraskeletal myxoid chondrosarcoma	semapv:UnspecifiedMatching					
MONDO:0005128	obsolete sensory system disease	DOID:0050155	MONDO:equivalentTo	sensory system disease	semapv:UnspecifiedMatching					
MONDO:0005862	obsolete multiple chemical sensitivity	DOID:4661	MONDO:equivalentTo	multiple chemical sensitivity	semapv:UnspecifiedMatching					
MONDO:0006674	obsolete benign fibrous mesothelioma	DOID:2653	MONDO:equivalentTo	benign fibrous mesothelioma	semapv:UnspecifiedMatching					
MONDO:0012144	Waardenburg syndrome type 2D	DOID:0110952	MONDO:equivalentTo	obsolete Waardenburg syndrome type 2D	semapv:UnspecifiedMatching					
MONDO:0017841	obsolete autoimmune disease with skin involvement	DOID:0060039	MONDO:equivalentTo	autoimmune disease of skin and connective tissue	semapv:UnspecifiedMatching					
MONDO:0018251	obsolete glycogen storage disease due to phosphorylase kinase deficiency	DOID:0050594	MONDO:equivalentTo	glycogen storage disease IX	semapv:UnspecifiedMatching					
MONDO:0021199	obsolete disease by anatomical system	DOID:7	MONDO:equivalentTo	disease of anatomical entity	semapv:UnspecifiedMatching					
MONDO:0021668	obsolete disorder involving pain	DOID:0060164	MONDO:equivalentTo	pain disorder	semapv:UnspecifiedMatching					
MONDO:0024657	obsolete macrocystic neurilemmoma	DOID:3203	MONDO:equivalentTo	macrocystic neurilemmoma	semapv:UnspecifiedMatching					
MONDO:0100140	obsolete mild COVID-19 infection	DOID:0081014	MONDO:equivalentTo	non-severe COVID-19	semapv:UnspecifiedMatching					
MONDO:0100142	obsolete severe COVID-19 infection	DOID:0081013	MONDO:equivalentTo	severe COVID-19	semapv:UnspecifiedMatching					
MONDO:0100143	obsolete critical COVID-19 infection	DOID:0081012	MONDO:equivalentTo	critical COVID-19	semapv:UnspecifiedMatching					
