subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0000265	aspiration pneumonia	ICD10WHO:J95.4	MONDO:equivalentTo	Mendelson syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	mendelson syndrome
MONDO:0000337	exanthema subitum	ICD10WHO:B08.2	MONDO:equivalentTo	Exanthema subitum [sixth disease]	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	exanthema subitum
MONDO:0000466	first-degree atrioventricular block	ICD10WHO:I44.0	MONDO:equivalentTo	Atrioventricular block, first degree	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	atrioventricular block, first degree
MONDO:0000467	second-degree atrioventricular block	ICD10WHO:I44.1	MONDO:equivalentTo	Atrioventricular block, second degree	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	atrioventricular block, second degree
MONDO:0000620	breast benign neoplasm	ICD10WHO:D24	MONDO:equivalentTo	Benign neoplasm of breast	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	benign neoplasm of breast
MONDO:0000646	ovarian benign neoplasm	ICD10WHO:D27	MONDO:equivalentTo	Benign neoplasm of ovary	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	benign neoplasm of ovary
MONDO:0000723	stutter disorder	ICD10WHO:F98.5	MONDO:equivalentTo	Stuttering [stammering]	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	stuttering
MONDO:0000751	cervical polyp	ICD10WHO:N84.1	MONDO:equivalentTo	Polyp of cervix uteri	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	polyp of cervix uteri
MONDO:0000754	anal fistula	ICD10WHO:K60.5	MONDO:equivalentTo	Anorectal fistula	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	anorectal fistula
