term_id	exclusion_reason
ID	AI MONDOREL:has_exclusion_reason
ICD10CM:B95	MONDO:excludeCausalAgents
ICD10CM:B95-B97	MONDO:excludeCausalAgents
ICD10CM:B95.0	MONDO:excludeCausalAgents
ICD10CM:B95.1	MONDO:excludeCausalAgents
ICD10CM:B95.2	MONDO:excludeCausalAgents
ICD10CM:B95.3	MONDO:excludeCausalAgents
ICD10CM:B95.4	MONDO:excludeCausalAgents
ICD10CM:B95.5	MONDO:excludeCausalAgents
ICD10CM:B95.6	MONDO:excludeCausalAgents
ICD10CM:B95.61	MONDO:excludeCausalAgents
ICD10CM:B95.62	MONDO:excludeCausalAgents
ICD10CM:B95.7	MONDO:excludeCausalAgents
ICD10CM:B95.8	MONDO:excludeCausalAgents
ICD10CM:B96	MONDO:excludeCausalAgents
ICD10CM:B96.0	MONDO:excludeCausalAgents
ICD10CM:B96.1	MONDO:excludeCausalAgents
ICD10CM:B96.2	MONDO:excludeCausalAgents
ICD10CM:B96.20	MONDO:excludeCausalAgents
ICD10CM:B96.21	MONDO:excludeCausalAgents
ICD10CM:B96.22	MONDO:excludeCausalAgents
ICD10CM:B96.23	MONDO:excludeCausalAgents
ICD10CM:B96.29	MONDO:excludeCausalAgents
ICD10CM:B96.3	MONDO:excludeCausalAgents
ICD10CM:B96.4	MONDO:excludeCausalAgents
ICD10CM:B96.5	MONDO:excludeCausalAgents
ICD10CM:B96.6	MONDO:excludeCausalAgents
ICD10CM:B96.7	MONDO:excludeCausalAgents
ICD10CM:B96.8	MONDO:excludeCausalAgents
ICD10CM:B96.81	MONDO:excludeCausalAgents
ICD10CM:B96.82	MONDO:excludeCausalAgents
ICD10CM:B96.89	MONDO:excludeCausalAgents
ICD10CM:B97	MONDO:excludeCausalAgents
ICD10CM:B97.0	MONDO:excludeCausalAgents
ICD10CM:B97.1	MONDO:excludeCausalAgents
ICD10CM:B97.10	MONDO:excludeCausalAgents
ICD10CM:B97.11	MONDO:excludeCausalAgents
ICD10CM:B97.12	MONDO:excludeCausalAgents
ICD10CM:B97.19	MONDO:excludeCausalAgents
ICD10CM:B97.2	MONDO:excludeCausalAgents
ICD10CM:B97.21	MONDO:excludeCausalAgents
ICD10CM:B97.29	MONDO:excludeCausalAgents
ICD10CM:B97.3	MONDO:excludeCausalAgents
