mondo_id	mondo_label	synonym_scope	synonym_scope_mondo	synonym	synonym_exact	synonym_broad	synonym_narrow	synonym_related	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case
ID					A oboInOwl:hasExactSynonym	A oboInOwl:hasBroadSynonym	A oboInOwl:hasNarrowSynonym	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref		>AI oboInOwl:hasSynonymType SPLIT=|			
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym	oio:hasRelatedSynonym	hypoadrenalism	hypoadrenalism				icd11.foundation:733056203	Adrenocortical insufficiency			GARD:0006722	
MONDO:0000299	thelaziasis	oio:hasExactSynonym	oio:hasRelatedSynonym	conjunctival spirurosis	conjunctival spirurosis				icd11.foundation:1803398353	Thelaziasis				
MONDO:0000299	thelaziasis	oio:hasExactSynonym	oio:hasRelatedSynonym	thelaziosis	thelaziosis				icd11.foundation:1803398353	Thelaziasis				
MONDO:0000299	thelaziasis	oio:hasExactSynonym	oio:hasRelatedSynonym	verminous ophthalmia	verminous ophthalmia				icd11.foundation:1803398353	Thelaziasis				
MONDO:0000303	conidiobolomycosis	oio:hasExactSynonym	oio:hasRelatedSynonym	rhinoentomophthoromycosis	rhinoentomophthoromycosis				icd11.foundation:1326582778	Conidiobolomycosis				
MONDO:0000330	endemic typhus	oio:hasExactSynonym	oio:hasRelatedSynonym	shop typhus	shop typhus				icd11.foundation:4659958	Typhus fever due to Rickettsia typhi			DOID:0050481	
MONDO:0000453	short QT syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	familial short QT syndrome	familial short QT syndrome				icd11.foundation:553392015	Short QT syndrome			Orphanet:51083	
MONDO:0000809	purpura fulminans	oio:hasExactSynonym	oio:hasRelatedSynonym	fibrinolytic purpura	fibrinolytic purpura				icd11.foundation:1622289887	Disseminated intravascular coagulation			ORCID:0000-0002-6601-2165	
MONDO:0001024	pneumonic plague	oio:hasExactSynonym	oio:hasNarrowSynonym	primary pneumonic plague	primary pneumonic plague				icd11.foundation:1983098110	Pneumonic plague			DOID:10398	
