subject_id	subject_label	is_mapped	is_excluded	is_deprecated
GARD:1	GRACILE syndrome	False	False	False
GARD:10000	Spinocerebellar ataxia with axonal neuropathy type 1	False	False	False
GARD:10001	Congenital chloride diarrhea	False	False	False
GARD:10005	Familial progressive cardiac conduction defect	False	False	False
GARD:10007	Immunodeficiency 61	False	False	False
GARD:10009	Opsoclonus-myoclonus syndrome	False	False	False
GARD:10010	Self-improving dystrophic epidermolysis bullosa	False	False	False
GARD:10011	Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome	False	False	False
GARD:10012	Camptodactyly-tall stature-scoliosis-hearing loss syndrome	False	False	False
GARD:10014	Pellagra	False	False	False
GARD:10018	Fuchs endothelial corneal dystrophy	False	False	False
GARD:1002	X-linked mandibulofacial dysostosis	False	False	False
GARD:10023	Bruck syndrome 2	False	False	False
GARD:10024	Whistling face syndrome, recessive form	False	False	False
GARD:10025	Anterior segment developmental anomaly	False	False	False
GARD:10027	Campomelic dysplasia	False	False	False
GARD:10028	Benign recurrent intrahepatic cholestasis type 1	False	False	False
GARD:10029	Benign recurrent intrahepatic cholestasis type 2	False	False	False
GARD:10033	Aneurysm, intracranial berry, 2	False	False	False
GARD:10034	Congenital trigeminal anesthesia	False	False	False
GARD:10037	Familial encephalopathy with neuroserpin inclusion bodies	False	False	False
GARD:10039	Hydroxykynureninuria	False	False	False
GARD:10041	Burn-McKeown syndrome	False	False	False
GARD:10043	Usher syndrome, type if	False	False	False
GARD:10045	Congenital bile acid synthesis defect type 2	False	False	False
GARD:10046	Congenital bile acid synthesis defect type 4	False	False	False
GARD:10047	Glutathione synthetase deficiency	False	False	False
GARD:10048	Isolated congenital anonychia	False	False	False
GARD:10049	Central areolar choroidal dystrophy	False	False	False
GARD:10050	Bietti crystalline dystrophy	False	False	False
GARD:10051	Limb-mammary syndrome	False	False	False
GARD:10053	Lipomyelomeningocele	False	False	False
GARD:10054	Eye defects-arachnodactyly-cardiopathy syndrome	False	False	False
GARD:10056	Mandibulofacial dysostosis-microcephaly syndrome	False	False	False
GARD:10057	Spondyloepimetaphyseal dysplasia, Geneviève type	False	False	False
GARD:10061	Talo-patello-scaphoid osteolysis	False	False	False
GARD:10066	Overgrowth-metaphyseal undermodeling-spondylar dysplasia syndrome	False	False	False
GARD:10070	Subependymoma	False	False	False
GARD:10072	Diaphyseal medullary stenosis-bone malignancy syndrome	False	False	False
GARD:10075	Dermatitis herpetiformis, familial	False	False	False
GARD:10081	White forelock with malformations	False	False	False
GARD:10082	Infantile osteopetrosis with neuroaxonal dysplasia	False	False	False
GARD:10083	Hepatic veno-occlusive disease-immunodeficiency syndrome	False	False	False
GARD:10084	Hemifacial myohyperplasia	False	False	False
GARD:10088	Majeed syndrome	False	False	False
GARD:10089	TARP syndrome	False	False	False
GARD:10090	Pierre robin sequence with pectus excavatum and rib and scapular anomalies	False	False	False
GARD:10091	Sotos syndrome	False	False	False
GARD:10092	Hemochromatosis type 2	False	False	False
GARD:10093	Hemochromatosis type 3	False	False	False
GARD:10094	Hemochromatosis type 4	False	False	False
GARD:10095	Migraine, familial hemiplegic, 2	False	False	False
GARD:10096	Hereditary leiomyomatosis and renal cell cancer	False	False	False
GARD:10097	Leiomyoma of vulva and esophagus	False	False	False
GARD:10099	Gamma-glutamyl transpeptidase deficiency	False	False	False
GARD:101	Centronuclear myopathy	False	False	False
GARD:10101	Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome	False	False	False
GARD:10103	Elastosis perforans serpiginosa	False	False	False
GARD:10104	Pseudoxanthoma elasticum, forme fruste	False	False	False
GARD:10106	Osteopetrosis-hypogammaglobulinemia syndrome	False	False	False
GARD:10108	Myasthenic syndrome, congenital, 4c, associated with acetylcholine receptor deficiency	False	False	False
GARD:10109	Cornelia de Lange syndrome	False	False	False
GARD:10111	Nemaline myopathy 3	False	False	False
GARD:10116	Ichthyosis-hypotrichosis syndrome	False	False	False
GARD:10118	Oguchi disease	False	False	False
GARD:10119	Cone dystrophy, x-linked, with tapetal-like sheen	False	False	False
GARD:10120	Macular dystrophy, vitelliform, 1	False	False	False
GARD:10121	MORM syndrome	False	False	False
GARD:10123	Progressive bifocal chorioretinal atrophy	False	False	False
GARD:10126	GM1 gangliosidosis type 2	False	False	False
GARD:10127	Leydig cell hypoplasia due to LHB deficiency	False	False	False
GARD:10128	Isolated follicle stimulating hormone deficiency	False	False	False
GARD:10129	Isolated thyroid-stimulating hormone deficiency	False	False	False
GARD:10130	Monosomy 22q13.3	False	False	False
GARD:10131	Hereditary motor and sensory neuropathy, Okinawa type	False	False	False
GARD:10132	Charcot-Marie-Tooth disease type 4G	False	False	False
GARD:10133	Distal hereditary motor neuropathy, Jerash type	False	False	False
GARD:10138	Primary dystonia, DYT4 type	False	False	False
GARD:10140	Bohring-Opitz syndrome	False	False	False
GARD:10142	Osteogenesis imperfecta type 2	False	False	False
GARD:10144	Dentinogenesis imperfecta type 3	False	False	False
GARD:10145	17p11.2 microduplication syndrome	False	False	False
GARD:10147	BOR syndrome	False	False	False
GARD:10148	Branchiootic syndrome	False	False	False
GARD:10149	Kyphomelic dysplasia	False	False	False
GARD:10151	Aicardi-goutieres syndrome 5	False	False	False
GARD:10152	Osteogenesis imperfecta, type viii	False	False	False
GARD:10153	Pulmonary venoocclusive disease	False	False	False
GARD:10156	Congenital chylothorax	False	False	False
GARD:10163	Curly hair-acral keratoderma-caries syndrome	False	False	False
GARD:10167	Joubert syndrome 2	False	False	False
GARD:10168	Joubert syndrome with ocular defect	False	False	False
GARD:10169	Joubert syndrome with renal defect	False	False	False
GARD:1017	Osteogenesis imperfecta	False	False	False
GARD:10173	Florid cemento-osseous dysplasia	False	False	False
GARD:10175	Klatskin tumor	False	False	False
GARD:10177	Mirizzi syndrome	False	False	False
GARD:10179	Brooke-Spiegler syndrome	False	False	False
GARD:10181	Epithelioid sarcoma	False	False	False
GARD:10184	Hereditary cryohydrocytosis with normal stomatin	False	False	False
GARD:10188	Angioma serpiginosum, x-linked	False	False	False
GARD:10189	Angioma serpiginosum, autosomal dominant	False	False	False
GARD:1019	Brittle cornea syndrome	False	False	False
GARD:10190	Isolated focal cortical dysplasia type II	False	False	False
GARD:10193	Subcutaneous panniculitis-like T-cell lymphoma	False	False	False
GARD:10199	Early-onset X-linked optic atrophy	False	False	False
GARD:102	Neu-Laxova syndrome	False	False	False
GARD:10200	Optic atrophy 6	False	False	False
GARD:10201	Optic atrophy 5	False	False	False
GARD:10202	2q37 microdeletion syndrome	False	False	False
GARD:10203	Autosomal dominant optic atrophy and cataract	False	False	False
GARD:10204	Bardet-biedl syndrome 5	False	False	False
GARD:10205	Bardet-biedl syndrome 6	False	False	False
GARD:10206	Bardet-biedl syndrome 7	False	False	False
GARD:10207	Bardet-biedl syndrome 8	False	False	False
GARD:10208	Bardet-biedl syndrome 9	False	False	False
GARD:10209	Bardet-biedl syndrome 10	False	False	False
GARD:10210	Bardet-biedl syndrome 11	False	False	False
GARD:10211	Bardet-biedl syndrome 12	False	False	False
GARD:10212	Lipodystrophy, congenital generalized, type 2	False	False	False
GARD:10213	Blepharophimosis-ptosis-epicanthus inversus syndrome type 2	False	False	False
GARD:10214	Neonatal intrahepatic cholestasis due to citrin deficiency	False	False	False
GARD:10215	Citrullinemia type II	False	False	False
GARD:10216	NDE1-related microhydranencephaly	False	False	False
GARD:10220	Spondyloepiphyseal dysplasia with metatarsal shortening	False	False	False
GARD:10221	HNF1B-related autosomal dominant tubulointerstitial kidney disease	False	False	False
GARD:10223	Isobutyryl-CoA dehydrogenase deficiency	False	False	False
GARD:10224	Zygomycosis	False	False	False
GARD:10225	Multiple endocrine neoplasia type 2B	False	False	False
GARD:10226	COG1-CDG	False	False	False
GARD:10229	Autosomal dominant limb-girdle muscular dystrophy type 1A	False	False	False
GARD:10230	Emery-dreifuss muscular dystrophy 2, autosomal dominant	False	False	False
GARD:10237	Biotin-thiamine-responsive basal ganglia disease	False	False	False
