mondo_id	mondo_label	source_id	source_label	synonym_scope	synonym
MONDO:0000032	febrile seizures, familial	DOID:0111297	familial febrile seizures	oio:hasExactSynonym	FEB
MONDO:0000032	febrile seizures, familial	DOID:0111297	familial febrile seizures	oio:hasExactSynonym	familial febrile convulsions
MONDO:0000127	geleophysic dysplasia	DOID:0111724	geleophysic dysplasia	oio:hasExactSynonym	GPHYSD
MONDO:0000160	epilepsy, familial adult myoclonic	DOID:0111689	familial adult myoclonic epilepsy	oio:hasExactSynonym	BAFME
MONDO:0000160	epilepsy, familial adult myoclonic	DOID:0111689	familial adult myoclonic epilepsy	oio:hasExactSynonym	FAME
MONDO:0000160	epilepsy, familial adult myoclonic	DOID:0111689	familial adult myoclonic epilepsy	oio:hasExactSynonym	FCMTE
MONDO:0000160	epilepsy, familial adult myoclonic	DOID:0111689	familial adult myoclonic epilepsy	oio:hasExactSynonym	benign adult familial myoclonic epilepsy
MONDO:0000160	epilepsy, familial adult myoclonic	DOID:0111689	familial adult myoclonic epilepsy	oio:hasExactSynonym	benign adult familial myoclonus epilepsy
MONDO:0000160	epilepsy, familial adult myoclonic	DOID:0111689	familial adult myoclonic epilepsy	oio:hasExactSynonym	familial cortical myoclonic tremor and epilepsy
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	DOID:0112375	muscular dystrophy-dystroglycanopathy type B	oio:hasExactSynonym	MDDGB
MONDO:0000331	Rickettsia helvetica spotted fever	DOID:0050484	aneruptive fever	oio:hasExactSynonym	Rickettsia helvetica spotted fever
MONDO:0000359	spondylocostal dysostosis	DOID:0050568	spondylocostal dysostosis	oio:hasExactSynonym	spondylothoracic dysostosis
MONDO:0000359	spondylocostal dysostosis	DOID:0050568	spondylocostal dysostosis	oio:hasExactSynonym	spondylothoracic dysplasia
MONDO:0000390	vitelliform macular dystrophy	DOID:0050661	vitelliform macular dystrophy	oio:hasExactSynonym	Best disease
MONDO:0000390	vitelliform macular dystrophy	DOID:0050661	vitelliform macular dystrophy	oio:hasExactSynonym	Best macular dystrophy
MONDO:0000390	vitelliform macular dystrophy	DOID:0050661	vitelliform macular dystrophy	oio:hasExactSynonym	juvenile-onset vitelliform macular dystrophy
MONDO:0000397	ataxic cerebral palsy	DOID:0050670	ataxic cerebral palsy	oio:hasExactSynonym	hypotonic cerebral palsy
MONDO:0000448	paraganglioma	DOID:0050773	paraganglioma	oio:hasExactSynonym	glomus body tumor
MONDO:0000499	non-arteritic anterior ischemic optic neuropathy	DOID:0050864	non-arteritic anterior ischemic optic neuropathy	oio:hasExactSynonym	non-arteritic anterior ischaemic optic neuropathy
MONDO:0000540	small intestinal neuroendocrine tumor G1	DOID:0050925	small intestine carcinoid neuroendocrine tumor	oio:hasBroadSynonym	intestinal carcinoid tumour
MONDO:0000584	B cell linker protein deficiency	DOID:0060027	agammaglobulinemia 4	oio:hasExactSynonym	B cell linker protein deficiency
