subject_mondo_id	subject_mondo_label	object_mondo_id	subject_source_id	object_source_id	object_mondo_label
ID		AI obo:mondo#excluded_subClassOf	>A oboInOwl:source		
MONDO:0007097	Finnish type amyloidosis	MONDO:0007100	OMIM:105120	OMIMPS:105210	familial amyloid neuropathy
MONDO:0007099	familial visceral amyloidosis	MONDO:0007100	OMIM:105200	OMIMPS:105210	familial amyloid neuropathy
MONDO:0007350	coloboma, ocular, autosomal dominant	MONDO:0000170	OMIM:120200	OMIMPS:300345	microphthalmia, isolated, with coloboma
MONDO:0007617	Coffin-Siris syndrome 1	MONDO:0100172	OMIM:135900	OMIMPS:156200	intellectual disability, autosomal dominant
MONDO:0007634	intellectual disability, FRA12A type	MONDO:0100172	OMIM:136630	OMIMPS:156200	intellectual disability, autosomal dominant
MONDO:0007669	renal cysts and diabetes syndrome	MONDO:0000608	OMIM:137920	OMIMPS:162000	familial juvenile hyperuricemic nephropathy
MONDO:0007934	benign concentric annular macular dystrophy	MONDO:0019200	OMIM:153870	OMIMPS:268000	retinitis pigmentosa
MONDO:0008272	polysyndactyly 4	MONDO:0017425	OMIM:174700	OMIMPS:174400	preaxial polydactyly of fingers
MONDO:0008708	acrocallosal syndrome	MONDO:0018772	OMIM:200990	OMIMPS:213300	Joubert syndrome
MONDO:0009069	congenital lactic acidosis, Saguenay-Lac-Saint-Jean type	MONDO:0033885	OMIM:220111	OMIMPS:220110	mitochondrial complex IV deficiency, nuclear-type
MONDO:0009080	split hand-foot malformation 1 with sensorineural hearing loss	MONDO:0016576	OMIM:220600	OMIMPS:183600	split hand-foot malformation
MONDO:0009113	hemolytic anemia due to diphosphoglycerate mutase deficiency	MONDO:0001115	OMIM:222800	OMIMPS:133100	familial polycythemia
MONDO:0009131	Riley-Day syndrome	MONDO:0015364	OMIM:223900	OMIMPS:162400	hereditary sensory and autonomic neuropathy
MONDO:0009194	immunodeficiency 32B	MONDO:0021094	OMIM:226990	OMIMPS:300755	immunodeficiency disease
MONDO:0009305	granulocytopenia with immunoglobulin abnormality	MONDO:0021094	OMIM:233600	OMIMPS:300755	immunodeficiency disease
MONDO:0009650	mucolipidosis type II	MONDO:0031422	OMIM:252500	OMIMPS:256550	familial mucolipidosis
MONDO:0009681	Ullrich congenital muscular dystrophy 1A	MONDO:0015152	OMIM:254090	OMIMPS:253600	autosomal recessive limb-girdle muscular dystrophy
MONDO:0009724	nail-patella-like renal disease	MONDO:0005363	OMIM:256020	OMIMPS:603278	inherited focal segmental glomerulosclerosis
MONDO:0009842	Pelger-Huet-like anomaly and episodic fever with abdominal pain	MONDO:0021094	OMIM:260570	OMIMPS:300755	immunodeficiency disease
MONDO:0010134	Pendred syndrome	MONDO:0010132	OMIM:274600	OMIMPS:274400	familial thyroid dyshormonogenesis
MONDO:0010220	Young syndrome	MONDO:0016575	OMIM:279000	OMIMPS:244400	primary ciliary dyskinesia
MONDO:0010402	syndromic X-linked intellectual disability 94	MONDO:0019181	OMIM:300699	OMIMPS:309530	non-syndromic X-linked intellectual disability
MONDO:0010478	SLC35A2-congenital disorder of glycosylation	MONDO:0100062	OMIM:300896	OMIMPS:308350	genetic developmental and epileptic encephalopathy
MONDO:0010483	X-linked intellectual disability, Cantagrel type	MONDO:0019181	OMIM:300912	OMIMPS:309530	non-syndromic X-linked intellectual disability
MONDO:0010496	X-linked intellectual disability-short stature-overweight syndrome	MONDO:0019181	OMIM:300957	OMIMPS:309530	non-syndromic X-linked intellectual disability
MONDO:0010497	intellectual disability, X-linked 102	MONDO:0020119	OMIM:300958	OMIMPS:309510	X-linked syndromic intellectual disability
MONDO:0010502	intellectual disability, X-linked 99, syndromic, female-restricted	MONDO:0019181	OMIM:300968	OMIMPS:309530	non-syndromic X-linked intellectual disability
MONDO:0010504	immunodeficiency 47	MONDO:0005501	OMIM:300972	OMIMPS:212066	congenital disorder of glycosylation type II
MONDO:0010504	immunodeficiency 47	MONDO:0021094	OMIM:300972	OMIMPS:300755	immunodeficiency disease
MONDO:0010506	intellectual disability, X-linked 61	MONDO:0020119	OMIM:300978	OMIMPS:309510	X-linked syndromic intellectual disability
MONDO:0010936	frontotemporal dementia and/or amyotrophic lateral sclerosis 7	MONDO:0017161	OMIM:600795	OMIMPS:105550	frontotemporal dementia with motor neuron disease
MONDO:0011010	Matthew-Wood syndrome	MONDO:0000170	OMIM:601186	OMIMPS:300345	microphthalmia, isolated, with coloboma
MONDO:0011362	myopathy, myofibrillar, 9, with early respiratory failure	MONDO:0018943	OMIM:603689	OMIMPS:601419	myofibrillar myopathy
MONDO:0011374	hypercholesterolemia, familial, 4	MONDO:0005439	OMIM:603813	OMIMPS:143890	familial hypercholesterolemia
MONDO:0011407	facial paresis, hereditary congenital, 2	MONDO:0011090	OMIM:604185	OMIMPS:601471	isolated hereditary congenital facial paralysis
MONDO:0011415	Leber congenital amaurosis 3	MONDO:0019200	OMIM:604232	OMIMPS:268000	retinitis pigmentosa
MONDO:0011451	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1	MONDO:0033885	OMIM:604377	OMIMPS:220110	mitochondrial complex IV deficiency, nuclear-type
MONDO:0011603	GNE myopathy	MONDO:0018949	OMIM:605820	OMIMPS:160500	distal myopathy
MONDO:0011714	partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome	MONDO:0020088	OMIM:606721	OMIMPS:151660	familial partial lipodystrophy
MONDO:0011731	glucose-galactose malabsorption	MONDO:0000824	OMIM:606824	OMIMPS:214700	congenital diarrhea
MONDO:0011738	bilateral frontoparietal polymicrogyria	MONDO:0000904	OMIM:606854	OMIMPS:614039	complex cortical dysplasia with other brain malformations
MONDO:0011787	autosomal recessive limb-girdle muscular dystrophy type 2I	MONDO:0000173	OMIM:607155	OMIMPS:609308	muscular dystrophy-dystroglycanopathy, type C
MONDO:0011974	retinitis pigmentosa 7	MONDO:0018998	OMIM:608133	OMIMPS:204000	Leber congenital amaurosis
MONDO:0012130	myofibrillar myopathy 2	MONDO:0018943	OMIM:608810	OMIMPS:601419	myofibrillar myopathy
MONDO:0012212	Loeys-Dietz syndrome 1	MONDO:0019625	OMIM:609192	OMIMPS:607086	familial thoracic aortic aneurysm and aortic dissection
MONDO:0012317	visceral neuropathy, familial, 3, autosomal dominant	MONDO:0023961	OMIM:609629	OMIMPS:243180	visceral neuropathy, familial
MONDO:0012427	Loeys-Dietz syndrome 2	MONDO:0019625	OMIM:610168	OMIMPS:607086	familial thoracic aortic aneurysm and aortic dissection
MONDO:0012474	autosomal dominant nocturnal frontal lobe epilepsy 4	MONDO:0017615	OMIM:610353	OMIMPS:601764	benign familial infantile epilepsy
MONDO:0012496	Koolen-de Vries syndrome	MONDO:0100172	OMIM:610443	OMIMPS:156200	intellectual disability, autosomal dominant
MONDO:0012624	acyl-CoA dehydrogenase 9 deficiency	MONDO:0100223	OMIM:611126	OMIMPS:252010	mitochondrial complex I deficiency, nuclear type
MONDO:0012737	long QT syndrome 10	MONDO:0018054	OMIM:611819	OMIMPS:608583	familial atrial fibrillation
MONDO:0012786	juvenile cataract-microcornea-renal glucosuria syndrome	MONDO:0005129	OMIM:612018	OMIMPS:116200	cataract
MONDO:0012808	dilated cardiomyopathy 1AA	MONDO:0024573	OMIM:612158	OMIMPS:192600	familial hypertrophic cardiomyopathy
MONDO:0012990	Leber congenital amaurosis 13	MONDO:0019200	OMIM:612712	OMIMPS:268000	retinitis pigmentosa
MONDO:0013129	cone dystrophy 4	MONDO:0015993	OMIM:613093	OMIMPS:120970	cone-rod dystrophy
MONDO:0013146	Brugada syndrome 7	MONDO:0018054	OMIM:613120	OMIMPS:608583	familial atrial fibrillation
MONDO:0013263	retinitis pigmentosa 54	MONDO:0015993	OMIM:613428	OMIMPS:120970	cone-rod dystrophy
MONDO:0013468	retinitis pigmentosa 59	MONDO:0005500	OMIM:613861	OMIMPS:212065	congenital disorder of glycosylation type I
MONDO:0013470	generalized epilepsy with febrile seizures plus, type 7	MONDO:0000032	OMIM:613863	OMIMPS:121210	febrile seizures, familial
MONDO:0013500	immunodeficiency 51	MONDO:0021094	OMIM:613953	OMIMPS:300755	immunodeficiency disease
MONDO:0013546	mitochondrial complex V (ATP synthase) deficiency, nuclear type 2	MONDO:0014471	OMIM:614052	OMIMPS:604273	mitochondrial proton-transporting ATP synthase complex deficiency
MONDO:0013599	autoimmune enteropathy and endocrinopathy - susceptibility to chronic infections syndrome	MONDO:0021094	OMIM:614162	OMIMPS:300755	immunodeficiency disease
MONDO:0013609	Meckel syndrome, type 10	MONDO:0018772	OMIM:614175	OMIMPS:213300	Joubert syndrome
MONDO:0013805	intellectual disability, autosomal dominant 13	MONDO:0000904	OMIM:614563	OMIMPS:614039	complex cortical dysplasia with other brain malformations
MONDO:0013819	intellectual disability, autosomal dominant 14	MONDO:0100172	OMIM:614607	OMIMPS:156200	intellectual disability, autosomal dominant
MONDO:0013820	intellectual disability, autosomal dominant 15	MONDO:0100172	OMIM:614608	OMIMPS:156200	intellectual disability, autosomal dominant
MONDO:0013821	intellectual disability, autosomal dominant 16	MONDO:0100172	OMIM:614609	OMIMPS:156200	intellectual disability, autosomal dominant
MONDO:0013880	facial paresis, hereditary congenital, 3	MONDO:0011090	OMIM:614744	OMIMPS:601471	isolated hereditary congenital facial paralysis
MONDO:0013916	nephronophthisis 14	MONDO:0018772	OMIM:614844	OMIMPS:213300	Joubert syndrome
MONDO:0013953	immunodeficiency 28	MONDO:0021094	OMIM:614889	OMIMPS:300755	immunodeficiency disease
MONDO:0013968	PGM1-congenital disorder of glycosylation	MONDO:0002412	OMIM:614921	OMIMPS:232200	disorder of glycogen metabolism
MONDO:0014005	immunoglobulin-mediated membranoproliferative glomerulonephritis	MONDO:0957097	OMIM:615008	OMIMPS:235400	hereditary hemolytic uremic syndrome
MONDO:0014016	hereditary spastic paraplegia 49	MONDO:0015364	OMIM:615031	OMIMPS:162400	hereditary sensory and autonomic neuropathy
MONDO:0014051	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	MONDO:0033885	OMIM:615119	OMIMPS:220110	mitochondrial complex IV deficiency, nuclear-type
MONDO:0014059	microphthalmia, isolated, with coloboma 9	MONDO:0016073	OMIM:615145	OMIMPS:309800	syndromic microphthalmia
MONDO:0014067	short ulna-dysmorphism-hypotonia-intellectual disability syndrome	MONDO:0019502	OMIM:615162	OMIMPS:249500	autosomal recessive non-syndromic intellectual disability
