term_id	term_label	1_in_mirror_tsv	2_in_component_tsv	3_in_mondo_xrefs	in1_notIn2_in3
Orphanet:409941	not genetically inherited	True	False	True	True
Orphanet:383	X-linked mixed deafness with perilymphatic gusher	True	False	True	True
Orphanet:73220	X-linked intellectual disability-hypotonic face syndrome	True	False	True	True
Orphanet:85330	X-linked intellectual disability-corpus callosum agenesis-spastic quadriparesis syndrome	True	False	True	True
Orphanet:85328	X-linked intellectual disability, Turner type	True	False	True	True
Orphanet:3056	X-linked intellectual disability, Brooks type	True	False	True	True
Orphanet:1409	Woolly hair-hypotrichosis-everted lower lip-outstanding ears syndrome	True	False	True	True
Orphanet:3450	Weissenbacher-Zweymuller syndrome	True	False	True	True
Orphanet:3444	Watson syndrome	True	False	True	True
Orphanet:230845	Vascular-like classical Ehlers-Danlos syndrome	True	False	True	True
Orphanet:2950	Triphalangeal thumb-polysyndactyly syndrome	True	False	True	True
Orphanet:3460	Torg-Winchester syndrome	True	False	True	True
Orphanet:496	Thost-Unna palmoplantar keratoderma	True	False	True	True
Orphanet:457252	Squamous cell carcinoma of the oral tongue	True	False	True	True
Orphanet:84271	Sporadic idiopathic steroid-resistant nephrotic syndrome	True	False	True	True
Orphanet:50816	Spondylometaphyseal dysplasia with combined immunodeficiency	True	False	True	True
Orphanet:168448	Spondyloepimetaphyseal dysplasia, Bieganski type	True	False	True	True
Orphanet:98770	Spinocerebellar ataxia type 16	True	False	True	True
Orphanet:93974	Smith-Fineman-Myers syndrome	True	False	True	True
Orphanet:79022	Simpson-Golabi-Behmel syndrome type 2	True	False	True	True
Orphanet:1940	Shoulder and thorax deformity-congenital heart disease syndrome	True	False	True	True
Orphanet:807	Sebastian syndrome	True	False	True	True
Orphanet:3105	Robinow-like syndrome	True	False	True	True
Orphanet:294049	Reunion Island Larsen-like syndrome	True	False	True	True
Orphanet:1092	Renal-genital-middle ear anomalies	True	False	True	True
Orphanet:3022	Rapp-Hodgkin syndrome	True	False	True	True
Orphanet:238766	Ptosis-syndactyly-learning difficulties syndrome	True	False	True	True
Orphanet:3390	Proximal tubulopathy-diabetes mellitus-cerebellar ataxia syndrome	True	False	True	True
Orphanet:56965	Progressive bulbar paralysis of childhood	True	False	True	True
Orphanet:98861	Primary ciliary dyskinesia, Kartagener type	True	False	True	True
Orphanet:52183	Premature chromosome condensation with microcephaly and intellectual disability	True	False	True	True
Orphanet:216445	Prelingual non-syndromic genetic deafness	True	False	True	True
Orphanet:216452	Postlingual non-syndromic genetic deafness	True	False	True	True
Orphanet:166068	Pontocerebellar hypoplasia type 5	True	False	True	True
Orphanet:670	PIBIDS syndrome	True	False	True	True
Orphanet:141136	Otomandibular syndrome	True	False	True	True
Orphanet:90649	Orofaciodigital syndrome type 7	True	False	True	True
Orphanet:2739	Onycho-tricho-dysplasia-neutropenia syndrome	True	False	True	True
Orphanet:3391	Odonto-onycho-hypohidrotic dysplasia-midline scalp defects syndrome	True	False	True	True
Orphanet:352740	Ocular albinism with congenital sensorineural deafness	True	False	True	True
Orphanet:98464	OBSOLETE: X-linked syndromic intellectual disability	True	False	True	True
Orphanet:83648	OBSOLETE: X-linked recessive intellectual disability-macrocephaly-ciliary dysfunction syndrome	True	False	True	True
Orphanet:85318	OBSOLETE: X-linked intellectual disability-precocious puberty-obesity syndrome	True	False	True	True
Orphanet:3062	OBSOLETE: X-linked intellectual disability, Schutz type	True	False	True	True
Orphanet:93951	OBSOLETE: X-linked dominant intellectual disability-epilepsy syndrome	True	False	True	True
Orphanet:371054	OBSOLETE: X-linked congenital disorder of glycosylation with intellectual disability as a major feature	True	False	True	True
Orphanet:448348	OBSOLETE: X-linked acrogigantism due to a point mutation	True	False	True	True
Orphanet:306597	OBSOLETE: X-linked Opitz G/BBB syndrome	True	False	True	True
