mondo_id	mondo_label	source_id	source_label	synonym_scope	synonym
MONDO:0000088	precocious puberty	ICD10CM:E30.1	Precocious puberty	oio:hasExactSynonym	Precocious menstruation
MONDO:0000245	tinea imbricata	ICD10CM:B35.5	Tinea imbricata	oio:hasExactSynonym	Tokelau
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	ICD10CM:C84.4	Peripheral T-cell lymphoma, not classified	oio:hasExactSynonym	Lennert's lymphoma
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	ICD10CM:C84.4	Peripheral T-cell lymphoma, not classified	oio:hasExactSynonym	Lymphoepithelioid lymphoma
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	ICD10CM:C84.4	Peripheral T-cell lymphoma, not classified	oio:hasExactSynonym	Mature T-cell lymphoma, not elsewhere classified
MONDO:0000447	autosomal dominant polycystic liver disease	ICD10CM:Q44.6	Cystic disease of liver	oio:hasExactSynonym	Fibrocystic disease of liver
MONDO:0000690	body dysmorphic disorder	ICD10CM:F45.22	Body dysmorphic disorder	oio:hasExactSynonym	Dysmorphophobia (nondelusional)
MONDO:0000690	body dysmorphic disorder	ICD10CM:F45.22	Body dysmorphic disorder	oio:hasExactSynonym	Nosophobia
MONDO:0000733	cornea plana	ICD10CM:Q13.4	Other congenital corneal malformations	oio:hasExactSynonym	Congenital malformation of cornea NOS
MONDO:0000733	cornea plana	ICD10CM:Q13.4	Other congenital corneal malformations	oio:hasExactSynonym	Microcornea
MONDO:0000733	cornea plana	ICD10CM:Q13.4	Other congenital corneal malformations	oio:hasExactSynonym	Peter's anomaly
MONDO:0000816	abdominal obesity-metabolic syndrome	ICD10CM:E88.81	Metabolic syndrome	oio:hasExactSynonym	Dysmetabolic syndrome X
MONDO:0000916	intestinal infectious disease	ICD10CM:A00-A09	Intestinal infectious diseases (A00-A09)	oio:hasExactSynonym	intestinal infectious diseases
