term_id	term_label	1_in_mirror_tsv	2_in_component_tsv	3_in_mondo_xrefs	in1_notIn2_in3
icd11.foundation:208661037	Superficial spreading melanoma	True	False	True	True
icd11.foundation:1407285327	Primary myelofibrosis	True	False	True	True
icd11.foundation:1381572140	Pleomorphic carcinoma	True	False	True	True
icd11.foundation:1582389689	Plasma cell myeloma	True	False	True	True
icd11.foundation:1310236105	Pancreatoblastoma	True	False	True	True
icd11.foundation:921720320	Myeloid sarcoma	True	False	True	True
icd11.foundation:287052516	Mucoepidermoid carcinoma	True	False	True	True
icd11.foundation:529352875	Mucinous adenocarcinoma	True	False	True	True
icd11.foundation:1993363632	Mast cell sarcoma	True	False	True	True
icd11.foundation:2011782924	Lentigo maligna melanoma	True	False	True	True
icd11.foundation:1278312485	Large cell neuroendocrine carcinoma	True	False	True	True
icd11.foundation:933337476	Langerhans cell sarcoma	True	False	True	True
icd11.foundation:1388720498	Langerhans cell histiocytosis	True	False	True	True
icd11.foundation:288706574	Intraductal papilloma	True	False	True	True
icd11.foundation:2024362257	Interdigitating dendritic cell sarcoma	True	False	True	True
icd11.foundation:894194405	Idiopathic	True	False	True	True
icd11.foundation:4953745	Iatrogenic	True	False	True	True
icd11.foundation:1925254893	Histiocytic sarcoma	True	False	True	True
icd11.foundation:1241693063	Hepatoblastoma	True	False	True	True
icd11.foundation:149373156	Follicular dendritic cell sarcoma	True	False	True	True
icd11.foundation:458106328	Ewing sarcoma	True	False	True	True
icd11.foundation:146718003	Erdheim-Chester disease	True	False	True	True
icd11.foundation:816982857	Endovascular embolisation or occlusion of intracranial artery	True	False	True	True
icd11.foundation:817547820	Dysgerminoma	True	False	True	True
icd11.foundation:1048408993	Congenital	True	False	True	True
icd11.foundation:1600108866	Combined hepatocellular carcinoma and cholangiocarcinoma	True	False	True	True
icd11.foundation:1771267581	Cloacogenic carcinoma	True	False	True	True
icd11.foundation:2110597275	Cholangiocarcinoma	True	False	True	True
icd11.foundation:2039766091	Central neurocytoma	True	False	True	True
icd11.foundation:1738201981	Basaloid squamous cell carcinoma	True	False	True	True
icd11.foundation:2011571705	Astroblastoma	True	False	True	True
icd11.foundation:430573082	Adult T-cell leukaemia/lymphoma (HTLV-1 positive)	True	False	True	True
icd11.foundation:1793155313	Adenosquamous carcinoma	True	False	True	True
icd11.foundation:2127202862	Adenoid cystic carcinoma	True	False	True	True
icd11.foundation:1831346835	Acute panmyelosis with myelofibrosis	True	False	True	True
icd11.foundation:2057381869	Acute megakaryoblastic leukaemia	True	False	True	True
icd11.foundation:538743484	Acute erythroid leukemia	True	False	True	True
icd11.foundation:1322159869	Acinar cell carcinoma	True	False	True	True
