mondo_id	mondo_label	source_id	source_label	synonym_scope	synonym	synonym_type	mondo_evidence	synonym_scope_mondo
MONDO:0000009	inherited bleeding disorder, platelet-type	DOID:2218	blood platelet disease	oio:hasExactSynonym	platelet disorder		DOID:2218	oio:hasBroadSynonym
MONDO:0000009	inherited bleeding disorder, platelet-type	DOID:2218	blood platelet disease	oio:hasExactSynonym	thrombocytopathy		DOID:2218	oio:hasRelatedSynonym
MONDO:0000050	isolated congenital growth hormone deficiency	DOID:0060870	isolated growth hormone deficiency	oio:hasExactSynonym	non-acquired isolated growth hormone deficiency		DOID:0060870	oio:hasRelatedSynonym
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	DOID:0090007	immunodeficiency-centromeric instability-facial anomalies syndrome	oio:hasExactSynonym	ICF syndrome		DOID:0090007	oio:hasRelatedSynonym
MONDO:0000227	African tick-bite fever	DOID:0050035	African tick-bite fever	oio:hasExactSynonym	Rickettsia africae spotted fever		DOID:0050035	oio:hasRelatedSynonym
MONDO:0000227	African tick-bite fever	DOID:0050035	African tick-bite fever	oio:hasExactSynonym	South African tick-bite fever		DOID:0050035	oio:hasRelatedSynonym
MONDO:0000227	African tick-bite fever	DOID:14095	boutonneuse fever	oio:hasExactSynonym	South African tick-bite fever		DOID:0050035	oio:hasRelatedSynonym
MONDO:0000233	Japanese spotted fever	DOID:0050050	Japanese spotted fever	oio:hasExactSynonym	oriental spotted fever		DOID:0050050	oio:hasRelatedSynonym
MONDO:0000234	Rickettsia parkeri spotted fever	DOID:0050051	Rickettsia parkeri spotted fever	oio:hasExactSynonym	maculatum infection		DOID:0050051	oio:hasRelatedSynonym
MONDO:0000261	adenoiditis	DOID:0050145	adenoiditis	oio:hasExactSynonym	chronic adenoiditis		DOID:0050145	oio:hasNarrowSynonym
MONDO:0000262	otomycosis	DOID:0050147	otomycosis	oio:hasExactSynonym	Singapore ear		DOID:0050147	oio:hasRelatedSynonym
MONDO:0000291	granulomatous amebic encephalitis	DOID:0050246	granulomatous amebic encephalitis	oio:hasExactSynonym	Acanthamoeba encephalitis		DOID:0050246	oio:hasRelatedSynonym
MONDO:0000291	granulomatous amebic encephalitis	DOID:0050246	granulomatous amebic encephalitis	oio:hasExactSynonym	Acanthamoeba granulomatous encephalitis		DOID:0050246	oio:hasRelatedSynonym
MONDO:0000291	granulomatous amebic encephalitis	DOID:0050246	granulomatous amebic encephalitis	oio:hasExactSynonym	granulomatous amebic encephalitis due to Acanthamoeba		DOID:0050246	oio:hasRelatedSynonym
MONDO:0000330	endemic typhus	DOID:11256	typhus	oio:hasRelatedSynonym	murine typhus		Wikipedia:Murine_typhus, DOID:0050481	oio:hasExactSynonym
MONDO:0000330	endemic typhus	DOID:11256	typhus	oio:hasRelatedSynonym	urban typhus		DOID:0050481	oio:hasExactSynonym
MONDO:0000332	sennetsu fever	DOID:0050485	sennetsu fever	oio:hasExactSynonym	sennetsu ehrlichiosis		Wikipedia:Neorickettsia_sennetsu, DOID:0050485	oio:hasRelatedSynonym
MONDO:0000355	Ullrich congenital muscular dystrophy	DOID:0050558	Ullrich congenital muscular dystrophy	oio:hasExactSynonym	Ullrich disease		https://www.ncbi.nlm.nih.gov/gtr/conditions/C0410179/, DOID:0050558	oio:hasRelatedSynonym
MONDO:0000359	spondylocostal dysostosis	DOID:0050568	spondylocostal dysostosis	oio:hasExactSynonym	Jarcho-Levin syndrome	MONDO:DEPRECATED	https://rarediseases.org/rare-diseases/jarcho-levin-syndrome/, DOID:0050568	oio:hasRelatedSynonym
MONDO:0000380	paranasal sinus carcinoma	DOID:0050619	paranasal sinus cancer	oio:hasExactSynonym	adenoid cystic carcinoma of accessory sinus		DOID:0050619	oio:hasRelatedSynonym
MONDO:0000380	paranasal sinus carcinoma	DOID:0050619	paranasal sinus cancer	oio:hasExactSynonym	epidermoid carcinoma of the paranasal sinus		DOID:0050619	oio:hasRelatedSynonym
MONDO:0000380	paranasal sinus carcinoma	DOID:0050619	paranasal sinus cancer	oio:hasExactSynonym	mucoepidermoid carcinoma of accessory sinus		DOID:0050619	oio:hasRelatedSynonym
