subject_mondo_id	subject_mondo_label	object_mondo_id	subject_source_id	object_source_id	object_mondo_label
ID		SC %	>A oboInOwl:source		
MONDO:0000245	tinea imbricata	MONDO:0004678	ICD10CM:B35.5	ICD10CM:B35	dermatophytosis
MONDO:0000367	taeniasis	MONDO:0004664	ICD10CM:B68	ICD10CM:B65-B83	helminthiasis
MONDO:0000916	intestinal infectious disease	MONDO:0005550	ICD10CM:A00-A09	ICD10CM:A00-B99	infectious disease
MONDO:0001176	lens disorder	MONDO:0002022	ICD10CM:H25-H28	ICD10CM:H00-H59	disorder of orbital region
MONDO:0001195	spotted fever	MONDO:0006956	ICD10CM:A77	ICD10CM:A75-A79	Rickettsiosis
MONDO:0001367	chronic congestive splenomegaly	MONDO:0002332	ICD10CM:D73.2	ICD10CM:D73	splenic disorder
MONDO:0001416	female reproductive organ cancer	MONDO:0005070	ICD10CM:C51-C58	ICD10CM:C00-D49	neoplasm
MONDO:0001444	Chagas disease	MONDO:0002428	ICD10CM:B57	ICD10CM:B50-B64	protozoa infectious disease
MONDO:0001633	central retinal artery occlusion	MONDO:0002089	ICD10CM:H34.1	ICD10CM:H34	retinal vascular occlusion
MONDO:0001797	chancroid	MONDO:0021681	ICD10CM:A57	ICD10CM:A50-A64	sexually transmitted disease
MONDO:0001815	extrapyramidal and movement disease	MONDO:0005071	ICD10CM:G20-G26	ICD10CM:G00-G99	nervous system disorder
MONDO:0001876	renal artery atheroma	MONDO:0005311	ICD10CM:I70.1	ICD10CM:I70	atherosclerosis
MONDO:0001943	Plasmodium malariae malaria	MONDO:0002428	ICD10CM:B52	ICD10CM:B50-B64	protozoa infectious disease
MONDO:0002026	candidiasis	MONDO:0002041	ICD10CM:B37	ICD10CM:B35-B49	fungal infectious disease
MONDO:0002067	female breast upper-inner quadrant cancer	MONDO:0007254	ICD10CM:C50.2	ICD10CM:C50	breast cancer
MONDO:0002068	female breast lower-inner quadrant cancer	MONDO:0007254	ICD10CM:C50.3	ICD10CM:C50	breast cancer
MONDO:0002069	female breast axillary tail cancer	MONDO:0007254	ICD10CM:C50.6	ICD10CM:C50	breast cancer
MONDO:0002425	rectosigmoid junction cancer	MONDO:0002516	ICD10CM:C19	ICD10CM:C15-C26	digestive system cancer
MONDO:0002428	protozoa infectious disease	MONDO:0005550	ICD10CM:B50-B64	ICD10CM:A00-B99	infectious disease
MONDO:0002516	digestive system cancer	MONDO:0005070	ICD10CM:C15-C26	ICD10CM:C00-D49	neoplasm
MONDO:0002875	parasitic ectoparasitic infectious disease	MONDO:0005550	ICD10CM:B85-B89	ICD10CM:A00-B99	infectious disease
MONDO:0002898	skin cancer	MONDO:0005070	ICD10CM:C43-C44	ICD10CM:C00-D49	neoplasm
MONDO:0003664	hemolytic anemia	MONDO:0005570	ICD10CM:D55-D59	ICD10CM:D50-D89	hematologic disorder
MONDO:0004473	epiglottis cancer	MONDO:0004608	ICD10CM:C10.1	ICD10CM:C10	oropharynx cancer
MONDO:0004525	scabies	MONDO:0002875	ICD10CM:B86	ICD10CM:B85-B89	parasitic ectoparasitic infectious disease
MONDO:0004664	helminthiasis	MONDO:0005550	ICD10CM:B65-B83	ICD10CM:A00-B99	infectious disease
MONDO:0004678	dermatophytosis	MONDO:0002041	ICD10CM:B35	ICD10CM:B35-B49	fungal infectious disease
MONDO:0005021	dilated cardiomyopathy	MONDO:0004994	ICD10CM:I42.0	ICD10CM:I42	cardiomyopathy
MONDO:0005041	glaucoma	MONDO:0002022	ICD10CM:H40-H42	ICD10CM:H00-H59	disorder of orbital region
MONDO:0005044	hypertensive disorder	MONDO:0005385	ICD10CM:I10-I16	ICD10CM:I00-I99	vascular disorder
MONDO:0005109	HIV infectious disease	MONDO:0005550	ICD10CM:B20-B20	ICD10CM:A00-B99	infectious disease
MONDO:0005154	liver disorder	MONDO:0004335	ICD10CM:K70-K77	ICD10CM:K00-K95	digestive system disorder
MONDO:0005298	osteoporosis	MONDO:0005381	ICD10CM:M81	ICD10CM:M80-M85	bone disorder
