term_id	term_label	1_in_mirror_tsv	2_in_component_tsv	3_in_mondo_xrefs	in1_notIn2_in3
NCIT:C36421	del(13q14)	True	False	True	True
NCIT:C85223	Wallerian Degeneration	True	False	True	True
NCIT:C35114	Varicose Vein	True	False	True	True
NCIT:C39856	Urothelial Dysplasia	True	False	True	True
NCIT:C85216	Urachal Cyst	True	False	True	True
NCIT:C3426	Ulcer	True	False	True	True
NCIT:C35530	Thrombocytosis	True	False	True	True
NCIT:C3991	Thrombocytopenia Due to Immune Destruction	True	False	True	True
NCIT:C3408	Thrombocytopenia	True	False	True	True
NCIT:C4389	Thiopurine Methyltransferase Deficiency	True	False	True	True
NCIT:C131611	Supratentorial Ependymal Tumor	True	False	True	True
NCIT:C3360	Supernumerary Circular Chromosome	True	False	True	True
NCIT:C85173	Sudden Infant Death Syndrome	True	False	True	True
NCIT:C33645	Subcutis	True	False	True	True
NCIT:C86917	Steatorrhea	True	False	True	True
NCIT:C39594	Skin Rash	True	False	True	True
NCIT:C147532	Sheep Lung Adenocarcinoma	True	False	True	True
NCIT:C12787	Seminal Vesicle	True	False	True	True
NCIT:C34483	Scar	True	False	True	True
NCIT:C17466	Rous Sarcoma	True	False	True	True
NCIT:C39752	Refractory Disease	True	False	True	True
NCIT:C41009	Qualifier	True	False	True	True
NCIT:C38408	Progressive Transformation of Germinal Centers	True	False	True	True
NCIT:C131195	Primary Testicular Failure	True	False	True	True
NCIT:C92862	Preterm Premature Rupture of Membrane	True	False	True	True
NCIT:C79704	Precocious Puberty	True	False	True	True
NCIT:C3119	Portal Hypertension	True	False	True	True
NCIT:C134786	Porcine Lymphoma	True	False	True	True
NCIT:C141365	Porcine Leukemia	True	False	True	True
NCIT:C35885	Polyclonal Hypergammaglobulinemia	True	False	True	True
NCIT:C12399	Pituitary Gland	True	False	True	True
NCIT:C40121	Peritoneal Endosalpingiosis	True	False	True	True
NCIT:C13184	Periosteum	True	False	True	True
NCIT:C3319	Pericardial Effusion	True	False	True	True
NCIT:C3047	Pathologic Fracture	True	False	True	True
NCIT:C131575	Parietal Lobe Ependymal Tumor	True	False	True	True
NCIT:C3307	Papilledema	True	False	True	True
NCIT:C34889	Pancytopenia	True	False	True	True
NCIT:C120144	P450-Aromatase Deficiency	True	False	True	True
NCIT:C41236	Osteosclerosis	True	False	True	True
NCIT:C54302	Odontogenic Keratocyst	True	False	True	True
NCIT:C54220	Odontogenic Cyst	True	False	True	True
NCIT:C3283	Obesity	True	False	True	True
NCIT:C14089	Nuclear Localization Signal	True	False	True	True
NCIT:C161542	Neuroaxonal Dystrophy	True	False	True	True
NCIT:C4732	Neonatal Hypertension	True	False	True	True
NCIT:C8196	Nasal Cavity and Paranasal Sinus Lethal Midline Granuloma	True	False	True	True
NCIT:C34835	Nabothian Cyst	True	False	True	True
NCIT:C114705	Myoglobinuria	True	False	True	True
NCIT:C168333	Musculoskeletal Chest Pain due to Costochondral Junction Syndrome	True	False	True	True
NCIT:C3241	Mucocele of the Appendix	True	False	True	True
NCIT:C35548	Monoclonal Gammopathy	True	False	True	True
NCIT:C34820	Miliaria	True	False	True	True
NCIT:C120394	Melanocortin 4 Receptor Deficiency	True	False	True	True
NCIT:C60672	MALT1 wt Allele	True	False	True	True
NCIT:C35371	Lytic Metastatic Bone Lesion	True	False	True	True
NCIT:C50764	Lymphadenopathy	True	False	True	True
NCIT:C26816	Leukopenia	True	False	True	True
NCIT:C36218	Leukoerythroblastic Reaction	True	False	True	True
NCIT:C120386	Leptin Receptor Deficiency	True	False	True	True
NCIT:C116724	Klumpke Palsy	True	False	True	True
NCIT:C120446	Isolated Glucocorticoid Deficiency	True	False	True	True
NCIT:C34738	Ischemia	True	False	True	True
NCIT:C39611	Intestinal Perforation	True	False	True	True
NCIT:C3671	Injury	True	False	True	True
NCIT:C131612	Infratentorial Ependymal Tumor	True	False	True	True
NCIT:C3836	Infertility	True	False	True	True
NCIT:C120372	Idiopathic Central Precocious Puberty	True	False	True	True
NCIT:C129260	IDH Gene Family	True	False	True	True
NCIT:C37977	Hypophosphatemia	True	False	True	True
NCIT:C126810	Hyponatremic Mineralocorticoid Resistance due to Mineralocorticoid Receptor Defect	True	False	True	True
NCIT:C3126	Hypoglycemia	True	False	True	True
NCIT:C3117	Hypertension	True	False	True	True
NCIT:C3496	Hypercalcemia of Malignancy	True	False	True	True
NCIT:C3112	Hypercalcemia	True	False	True	True
NCIT:C142886	Hydrosalpinx	True	False	True	True
NCIT:C173624	Horse Transitional Cell Carcinoma	True	False	True	True
NCIT:C134995	Horse Sarcoid	True	False	True	True
NCIT:C134569	Horse Melanoma	True	False	True	True
NCIT:C134778	Horse Lymphoma	True	False	True	True
NCIT:C118311	Hormone Receptor/HER2 Positive	True	False	True	True
NCIT:C3106	Histiocytosis	True	False	True	True
NCIT:C14158	High Grade	True	False	True	True
NCIT:C36169	Hemorrhagic Fever	True	False	True	True
NCIT:C2863	Granulocytopenia	True	False	True	True
NCIT:C28082	Grade 4	True	False	True	True
NCIT:C28079	Grade 3	True	False	True	True
NCIT:C94678	Grade 2/3	True	False	True	True
NCIT:C28078	Grade 2	True	False	True	True
NCIT:C28077	Grade 1	True	False	True	True
NCIT:C93046	Gigantism	True	False	True	True
NCIT:C113343	Galactorrhea	True	False	True	True
NCIT:C34627	Frostbite	True	False	True	True
NCIT:C131573	Frontal Lobe Ependymal Tumor	True	False	True	True
NCIT:C3046	Fracture	True	False	True	True
NCIT:C135006	Fish Melanoma	True	False	True	True
NCIT:C181658	Feline Synovial Cell Sarcoma	True	False	True	True
NCIT:C135008	Feline Reticulum Cell Sarcoma	True	False	True	True
NCIT:C176702	Feline Progressive Histiocytosis	True	False	True	True
NCIT:C132825	Feline Osteosarcoma	True	False	True	True
NCIT:C132824	Feline Oral Squamous Cell Carcinoma	True	False	True	True
NCIT:C156362	Feline Melanoma	True	False	True	True
NCIT:C132274	Feline Mammary Carcinoma	True	False	True	True
NCIT:C132193	Feline Lymphoma	True	False	True	True
NCIT:C135724	Feline Large Granular Lymphocyte Lymphoma	True	False	True	True
NCIT:C157503	Feline Histiocytic Sarcoma	True	False	True	True
NCIT:C134560	Feline Fibrosarcoma	True	False	True	True
NCIT:C134770	Feline Erythroleukemia	True	False	True	True
NCIT:C134559	Feline Bronchioloalveolar Lung Carcinoma	True	False	True	True
NCIT:C127162	Familial Hyperaldosteronism Type 2	True	False	True	True
NCIT:C127160	Familial Hyperaldosteronism	True	False	True	True
NCIT:C131452	Familial Glucocorticoid Deficiency Type 4	True	False	True	True
NCIT:C123728	Familial Glucocorticoid Deficiency Type 2	True	False	True	True
NCIT:C118763	Exophthalmos	True	False	True	True
NCIT:C84694	Equine Infectious Anemia	True	False	True	True
NCIT:C12328	Epididymis	True	False	True	True
NCIT:C62569	Epidermolytic Ichthyosis	True	False	True	True
NCIT:C3134	Epidermal Inclusion Cyst	True	False	True	True
NCIT:C131526	Ependymal Tumor of Spinal Cord	True	False	True	True
NCIT:C18252	EXT2 Gene	True	False	True	True
NCIT:C26756	Dyspepsia	True	False	True	True
NCIT:C28076	Disease Grade Qualifier	True	False	True	True
NCIT:C42088	Cortical Dysplasia	True	False	True	True
NCIT:C37930	Constipation	True	False	True	True
NCIT:C4847	Colon Dysplasia	True	False	True	True
NCIT:C4351	Choroid Plexus Cyst	True	False	True	True
NCIT:C135005	Chicken Neoplasm	True	False	True	True
NCIT:C134945	Chicken Monocytic Leukemia	True	False	True	True
NCIT:C135004	Chicken Lymphoma	True	False	True	True
NCIT:C134558	Chicken Hepatoma	True	False	True	True
NCIT:C134557	Chicken Fibrosarcoma	True	False	True	True
NCIT:C134556	Chicken Bursal Lymphoma	True	False	True	True
NCIT:C84627	Cerebrospinal Fluid Rhinorrhea	True	False	True	True
