subject_id	object_id	in_any_source	subject_label	object_label	in_icd10cm	in_ordo	in_ncit	in_icd10who	in_icd11foundation	in_omim	in_doid
MONDO:0000147	MONDO:0021075	True	polyposis	neoplastic polyp	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000153	MONDO:0019512	True	transposition of the great arteries	congenital heart malformation	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000158	MONDO:0005497	True	developmental dysplasia of the hip	bone development disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000170	MONDO:0016764	True	microphthalmia, isolated, with coloboma	isolated anophthalmia-microphthalmia syndrome	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000171	MONDO:0018276	True	muscular dystrophy-dystroglycanopathy, type A	muscular dystrophy-dystroglycanopathy	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS
MONDO:0000172	MONDO:0018276	True	muscular dystrophy-dystroglycanopathy, type B	muscular dystrophy-dystroglycanopathy	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000179	MONDO:0015148	True	Neu-Laxova syndrome	lissencephaly type 3	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000179	MONDO:0015159	True	Neu-Laxova syndrome	multiple congenital anomalies/dysmorphic syndrome-intellectual disability	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000188	MONDO:0019214	True	GLUT1 deficiency syndrome	inborn carbohydrate metabolic disorder	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000193	MONDO:0015898	True	cortisone reductase deficiency	adrenogenital syndrome	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000208	MONDO:0800450	True	microcephaly, short stature, and impaired glucose metabolism 1	microcephaly, short stature, and impaired glucose metabolism	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING
MONDO:0000209	MONDO:0015168	True	prenatal-onset spinal muscular atrophy with congenital bone fractures	arthrogryposis multiplex congenita	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING
MONDO:0000209	MONDO:0024257	True	prenatal-onset spinal muscular atrophy with congenital bone fractures	hereditary motor neuron disease	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000213	MONDO:0007179	True	autoimmune disease, multisystem, infantile-onset	autoimmune disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	SUPPORTED
MONDO:0000214	MONDO:0019052	True	hypermanganesemia with dystonia	inborn errors of metabolism	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000222	MONDO:0001027	True	seminal vesicle acute gonorrhea	gonococcal seminal vesiculitis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000225	MONDO:0016003	True	human monocytic ehrlichiosis	ehrlichiosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000226	MONDO:0005066	True	mineral metabolism disease	metabolic disease	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000227	MONDO:0001195	True	African tick-bite fever	spotted fever	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000232	MONDO:0001195	True	Flinders island spotted fever	spotted fever	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000233	MONDO:0001195	True	Japanese spotted fever	spotted fever	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000234	MONDO:0001195	True	Rickettsia parkeri spotted fever	spotted fever	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000236	MONDO:0001701	True	oropharyngeal anthrax	gastrointestinal anthrax	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000239	MONDO:0000308	True	adiaspiromycosis	primary systemic mycosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000241	MONDO:0006873	True	Keshan disease	nutritional deficiency disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000242	MONDO:0004678	True	tinea barbae	dermatophytosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000243	MONDO:0004678	True	ectothrix infectious disease	dermatophytosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000244	MONDO:0004678	True	endothrix infectious disease	dermatophytosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000245	MONDO:0001461	True	tinea imbricata	tinea corporis	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000249	MONDO:0001673	True	secretory diarrhea	diarrheal disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000252	MONDO:0001673	True	inflammatory diarrhea	diarrheal disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000254	MONDO:0002041	True	cutaneous mycosis	fungal infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000256	MONDO:0002041	True	systemic mycosis	fungal infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000257	MONDO:0001673	True	acute diarrhea	diarrheal disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000259	MONDO:0005502	True	asymptomatic dengue	dengue disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000262	MONDO:0004795	True	otomycosis	otitis externa	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000265	MONDO:0005275	True	aspiration pneumonia	lung disorder	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000266	MONDO:0005657	True	pulmonary aspergilloma	aspergillosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000270	MONDO:0005087	True	lower respiratory tract disorder	respiratory system disorder	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000271	MONDO:0006002	True	tuberculous salpingitis	urogenital tuberculosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000273	MONDO:0019376	True	Kunjin virus infectous disease	West-Nile encephalitis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000282	MONDO:0005108	True	Whitewater Arroyo hemorrhagic fever	viral infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000283	MONDO:0005784	True	Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type	hantavirus hemorrhagic fever with renal syndrome	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000284	MONDO:0005784	True	Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type	hantavirus hemorrhagic fever with renal syndrome	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000286	MONDO:0005111	True	Epstein-Barr virus hepatitis	Epstein-Barr virus infection	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000286	MONDO:0006011	True	Epstein-Barr virus hepatitis	viral hepatitis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000288	MONDO:0005154	True	polycystic echinococcosis	liver disorder	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000288	MONDO:0005738	True	polycystic echinococcosis	echinococcosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000290	MONDO:0002428	True	primary amebic meningoencephalitis	protozoa infectious disease	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000291	MONDO:0002428	True	granulomatous amebic encephalitis	protozoa infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000295	MONDO:0004664	True	acanthocephaliasis	helminthiasis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000303	MONDO:0000255	True	conidiobolomycosis	subcutaneous mycosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000307	MONDO:0005135	True	parasitic Ichthyosporea infectious disease	parasitic infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000308	MONDO:0000256	True	primary systemic mycosis	systemic mycosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000309	MONDO:0004892	True	aniseikonia	refractive error	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000313	MONDO:0002319	True	hypophosphatemia	phosphorus metabolism disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000314	MONDO:0005113	True	primary bacterial infectious disease	bacterial infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000315	MONDO:0005113	True	commensal bacterial infectious disease	bacterial infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000316	MONDO:0005113	True	opportunistic bacterial infectious disease	bacterial infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000320	MONDO:0018077	True	glandular tularemia	tularemia	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000321	MONDO:0018077	True	typhoidal tularemia	tularemia	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000327	MONDO:0000314	True	Buruli ulcer disease	primary bacterial infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000328	MONDO:0002319	True	hyperphosphatemia	phosphorus metabolism disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000330	MONDO:0001246	True	endemic typhus	typhus	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000331	MONDO:0001195	True	Rickettsia helvetica spotted fever	spotted fever	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000332	MONDO:0000314	True	sennetsu fever	primary bacterial infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000333	MONDO:0005714	True	early congenital syphilis	congenital syphilis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000335	MONDO:0004944	True	parenchymatous neurosyphilis	neurosyphilis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000336	MONDO:0004944	True	meningovascular neurosyphilis	neurosyphilis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000337	MONDO:0005108	True	exanthema subitum	viral infectious disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000338	MONDO:0004651	True	variola major infectious disease	smallpox	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000339	MONDO:0000341	True	spinal polio	paralytic poliomyelitis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000340	MONDO:0000341	True	bulbospinal polio	paralytic poliomyelitis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000341	MONDO:0017373	True	paralytic poliomyelitis	poliomyelitis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000346	MONDO:0005784	True	Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type	hantavirus hemorrhagic fever with renal syndrome	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000351	MONDO:0004736	True	disorder of methionine catabolism	inborn disorder of amino acid metabolism	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000355	MONDO:0019950	True	Ullrich congenital muscular dystrophy	congenital muscular dystrophy	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000359	MONDO:0000812	True	spondylocostal dysostosis	vertebral column disorder	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000359	MONDO:0018234	True	spondylocostal dysostosis	dysostosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000363	MONDO:0004497	True	gummatous syphilis	tertiary syphilis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000368	MONDO:0018076	True	extrapulmonary tuberculosis	tuberculosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000369	MONDO:0000368	True	abdominal tuberculosis	extrapulmonary tuberculosis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000371	MONDO:0004647	True	oral cavity carcinoma in situ	in situ carcinoma	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000371	MONDO:0044925	True	oral cavity carcinoma in situ	oral cavity carcinoma	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000372	MONDO:0004647	True	pharynx carcinoma in situ	in situ carcinoma	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000372	MONDO:0021345	True	pharynx carcinoma in situ	carcinoma of pharynx	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000373	MONDO:0003220	True	gall bladder carcinoma in situ	gallbladder carcinoma	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS
MONDO:0000373	MONDO:0004647	True	gall bladder carcinoma in situ	in situ carcinoma	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
