mondo_id	mondo_label	source_id	source_label	synonym_scope	synonym	synonym_type
MONDO:0000050	isolated congenital growth hormone deficiency	Orphanet:631	Non-acquired isolated growth hormone deficiency	oio:hasExactSynonym	congenital IGHD	
MONDO:0000050	isolated congenital growth hormone deficiency	Orphanet:631	Non-acquired isolated growth hormone deficiency	oio:hasExactSynonym	congenital isolated GH deficiency	
MONDO:0000050	isolated congenital growth hormone deficiency	Orphanet:631	Non-acquired isolated growth hormone deficiency	oio:hasExactSynonym	congenital isolated growth hormone deficiency	
MONDO:0000107	auriculocondylar syndrome	Orphanet:137888	Auriculocondylar syndrome	oio:hasExactSynonym	question mark ear syndrome	
MONDO:0000127	geleophysic dysplasia	Orphanet:2623	Geleophysic dysplasia	oio:hasExactSynonym	geleophysic dwarfism	
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	Orphanet:2268	ICF syndrome	oio:hasExactSynonym	immunodeficiency-centromeric instability-facial anomalies syndrome	
MONDO:0000141	mosaic variegated aneuploidy syndrome	Orphanet:1052	Mosaic variegated aneuploidy syndrome	oio:hasExactSynonym	Warburton-Anyane-Yeboa syndrome	
MONDO:0000153	transposition of the great arteries	Orphanet:216675	Transposition of the great arteries	oio:hasExactSynonym	complete transposition	
MONDO:0000153	transposition of the great arteries	Orphanet:216675	Transposition of the great arteries	oio:hasExactSynonym	transposition of the great vessels	
MONDO:0000153	transposition of the great arteries	Orphanet:216675	Transposition of the great arteries	oio:hasExactSynonym	TGA	MONDO:ABBREVIATION
MONDO:0000153	transposition of the great arteries	Orphanet:216675	Transposition of the great arteries	oio:hasExactSynonym	TGV	MONDO:ABBREVIATION
MONDO:0000170	microphthalmia, isolated, with coloboma	Orphanet:1456	Middle aortic syndrome	oio:hasExactSynonym	MAC	MONDO:ABBREVIATION
MONDO:0000170	microphthalmia, isolated, with coloboma	Orphanet:98938	Colobomatous microphthalmia	oio:hasExactSynonym	microphthalmia with colobomatous cyst	
MONDO:0000170	microphthalmia, isolated, with coloboma	Orphanet:98938	Colobomatous microphthalmia	oio:hasExactSynonym	microphthalmia-anophthalmia-coloboma syndrome	
