mondo_id	mondo_label	subject_source_id	subject_source_label	object_source_id	object_source_label
MONDO:0005823	legionellosis	Orphanet:549	Legionnaires disease	Orphanet:600832	Legionella infection
MONDO:0007800	chromosome 18p deletion syndrome	Orphanet:1598	Monosomy 18p	Orphanet:261974	Partial deletion of the short arm of chromosome 18
MONDO:0007864	angioosteohypertrophic syndrome	Orphanet:90308	Klippel-Trénaunay syndrome	Orphanet:2346	Angioosteohypertrophic syndrome
MONDO:0007947	Marfan syndrome	Orphanet:284963	Marfan syndrome type 1	Orphanet:558	Marfan syndrome
MONDO:0010674	mucopolysaccharidosis type 2	Orphanet:580	Mucopolysaccharidosis type 2	Orphanet:79388	Mucopolysaccharidosis with skin involvement
MONDO:0011147	chromosome 18q deletion syndrome	Orphanet:1600	Monosomy 18q	Orphanet:262146	Partial deletion of the long arm of chromosome 18
MONDO:0011669	hypotonia-cystinuria syndrome	Orphanet:163690	Hypotonia-cystinuria syndrome	Orphanet:238517	Hypotonia-cystinuria type 1 syndrome
MONDO:0015541	hereditary hemophagocytic lymphohistiocytosis	Orphanet:540	Familial hemophagocytic lymphohistiocytosis	Orphanet:158038	Primary hemophagocytic lymphohistiocytosis
MONDO:0015722	congenital vitamin K-dependent coagulation factors deficiency	Orphanet:98434	Hereditary combined deficiency of vitamin K-dependent clotting factors	Orphanet:169826	Congenital vitamin K-dependent coagulation factors deficiency
MONDO:0016163	autosomal dominant cerebellar ataxia type II	Orphanet:94147	Spinocerebellar ataxia type 7	Orphanet:208508	Autosomal dominant cerebellar ataxia type II
MONDO:0016525	familial hyperaldosteronism	Orphanet:235936	Familial hyperaldosteronism	Orphanet:371861	Genetic hyperaldosteronism
MONDO:0016526	trisomy 9p	Orphanet:236	Trisomy 9p	Orphanet:262767	Partial duplication/triplication of the short arm of chromosome 9
MONDO:0016620	primary hypertrophic osteoarthropathy	Orphanet:2796	Pachydermoperiostosis	Orphanet:248095	Primary hypertrophic osteoarthropathy
MONDO:0017287	IgG4-related disease	Orphanet:596448	IgG4-related systemic disease	Orphanet:284264	IgG4-related disease
MONDO:0017851	erythrokeratodermia variabilis	Orphanet:316	Progressive symmetric erythrokeratodermia	Orphanet:308166	Erythrokeratoderma variabilis progressiva
MONDO:0017851	erythrokeratodermia variabilis	Orphanet:317	Erythrokeratodermia variabilis	Orphanet:308166	Erythrokeratoderma variabilis progressiva
MONDO:0018677	visceral heterotaxy	Orphanet:157769	Situs ambiguus	Orphanet:450	Heterotaxia
MONDO:0018931	mucolipidosis type III, alpha/beta	Orphanet:423461	Mucolipidosis type III alpha/beta	Orphanet:577	Mucolipidosis type III
MONDO:0019171	familial long QT syndrome	Orphanet:101016	Romano-Ward syndrome	Orphanet:768	Familial long QT syndrome
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	DOID:0050749	peripheral T-cell lymphoma	DOID:0050743	mature T-cell and NK-cell lymphoma
MONDO:0001561	pyloric stenosis	DOID:12639	pyloric stenosis	DOID:3122	gastric outlet obstruction
MONDO:0002008	labyrinthitis	DOID:1468	labyrinthitis	DOID:3930	otitis interna
MONDO:0002277	arteriosclerosis disorder	DOID:2348	arteriosclerotic cardiovascular disease	DOID:2349	arteriosclerosis
MONDO:0002412	disorder of glycogen metabolism	DOID:2747	glycogen storage disease	DOID:0050728	glycogen metabolism disorder
MONDO:0002422	adamantinoma	DOID:2775	long bone adamantinoma	DOID:2776	adamantinoma
MONDO:0002829	bartholin gland carcinoma	DOID:3999	Bartholin's gland carcinoma	DOID:60003	Bartholin's gland cancer
MONDO:0003061	benign muscle neoplasm	DOID:2691	myoma	DOID:461	muscle benign neoplasm
MONDO:0003704	uterine corpus diffuse leiomyomatosis	DOID:5917	uterine corpus diffuse leiomyomatosis	DOID:5916	uterine corpus leiomyomatosis
MONDO:0003924	adrenal cortex adenoma	DOID:0050891	adrenal cortical adenoma	DOID:656	adrenal adenoma
MONDO:0003939	muscle tissue disorder	DOID:66	muscle tissue disease	DOID:0080000	muscular disease
MONDO:0004598	acute cor pulmonale	DOID:8517	acute cor pulmonale	DOID:8514	acute pulmonary heart disease
MONDO:0004992	cancer	DOID:0050686	organ system cancer	DOID:162	cancer
MONDO:0004992	cancer	DOID:0050687	cell type cancer	DOID:162	cancer
MONDO:0005032	follicular thyroid adenoma	DOID:6204	follicular adenoma	DOID:2891	thyroid adenoma
MONDO:0005165	benign neoplasm	DOID:0060084	cell type benign neoplasm	DOID:0060072	benign neoplasm
MONDO:0005165	benign neoplasm	DOID:0060085	organ system benign neoplasm	DOID:0060072	benign neoplasm
MONDO:0005328	eye disorder	DOID:1242	globe disease	DOID:5614	eye disease
MONDO:0005380	osteonecrosis	DOID:10159	osteonecrosis	DOID:0080008	ischemic bone disease
MONDO:0005575	colorectal cancer	DOID:9256	colorectal cancer	DOID:5672	large intestine cancer
MONDO:0006639	adrenal cortex carcinoma	DOID:3948	adrenocortical carcinoma	DOID:660	adrenal cortex cancer
