subject_id	subject_label
NCIT:C131086	17-Alpha-Hydroxylase/17,20 Lyase Deficiency
NCIT:C75470	17q21 Microdeletion Syndrome
NCIT:C75478	22q Telomere Deletion Syndrome
NCIT:C173146	3-Methylglutaconic Aciduria Type 5
NCIT:C127172	46,XX Ovotesticular Difference of Sex Development
NCIT:C179867	46,XX Sex Reversal 1
NCIT:C127174	46,XX/46,XY Ovotesticular Differences of Sex Development
NCIT:C120194	46,XY Disorder of Androgen Action
NCIT:C127173	46,XY Ovotesticular Differences of Sex Development
NCIT:C128188	46,XY Sex Reversal 1
NCIT:C185635	49,XXXXY Syndrome
NCIT:C84524	5' 10' Methylenetetrahydrofolate Reductase Deficiency
NCIT:C123164	A1 Hydronephrosis
NCIT:C123165	A2/3 Hydronephrosis
NCIT:C187447	A53 Diffuse Large B-Cell Lymphoma
NCIT:C106273	ABO Hemolytic Disease of the Newborn
NCIT:C158962	AH Amyloidosis
NCIT:C158964	AHL Amyloidosis
NCIT:C4988	AIDS Associated Opportunistic Infection
NCIT:C3715	AIDS Encephalopathy
NCIT:C133095	AIDS-Related Anal Canal Carcinoma
NCIT:C9278	AIDS-Related Anal Carcinoma
NCIT:C7465	AIDS-Related Anal Non-Hodgkin Lymphoma
NCIT:C8286	AIDS-Related Burkitt Lymphoma
NCIT:C27857	AIDS-Related Burkitt Lymphoma with Plasmacytoid Differentiation
NCIT:C27700	AIDS-Related Carcinoma
NCIT:C7432	AIDS-Related Cervical Carcinoma
NCIT:C7433	AIDS-Related Cervical Kaposi Sarcoma
NCIT:C27861	AIDS-Related Cryptococcosis
NCIT:C27858	AIDS-Related Diffuse Large B-Cell Lymphoma Arising in HHV8-Positive Multicentric Castleman Disease
NCIT:C7212	AIDS-Related Diffuse Large B-cell Lymphoma
NCIT:C7213	AIDS-Related Diffuse Large Cell Lymphoma
NCIT:C8296	AIDS-Related Diffuse Mixed Cell Lymphoma
NCIT:C8297	AIDS-Related Diffuse Small Cleaved Cell Lymphoma
NCIT:C27321	AIDS-Related Enterocolitis
NCIT:C5624	AIDS-Related Gastric Kaposi Sarcoma
NCIT:C27862	AIDS-Related Herpes Zoster
NCIT:C9279	AIDS-Related Hodgkin Lymphoma
NCIT:C103296	AIDS-Related Human Papillomavirus Infection
NCIT:C8285	AIDS-Related Immunoblastic Lymphoma
NCIT:C27868	AIDS-Related Isosporiasis
NCIT:C3992	AIDS-Related Kaposi Sarcoma
NCIT:C8298	AIDS-Related Lymphoblastic Lymphoma
NCIT:C3471	AIDS-Related Lymphoma
NCIT:C27826	AIDS-Related Lymphoma by Working Formulation
NCIT:C5047	AIDS-Related Malignant Anal Neoplasm
NCIT:C5052	AIDS-Related Malignant Cervical Neoplasm
NCIT:C4046	AIDS-Related Malignant Neoplasm
NCIT:C5051	AIDS-Related Non-Hodgkin Lymphoma
NCIT:C7434	AIDS-Related Non-Hodgkin Lymphoma of the Cervix
NCIT:C27867	AIDS-Related Oropharyngeal Candidiasis
NCIT:C27866	AIDS-Related Pelvic Inflammatory Disease
NCIT:C27859	AIDS-Related Plasmablastic Lymphoma
NCIT:C38160	AIDS-Related Plasmablastic Lymphoma of Mucosa Site
NCIT:C9016	AIDS-Related Plasmablastic Lymphoma of the Oral Mucosa
NCIT:C27863	AIDS-Related Pneumocystis Pneumonia
NCIT:C186660	AIDS-Related Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System
NCIT:C9017	AIDS-Related Primary Effusion Lymphoma
NCIT:C27344	AIDS-Related Retinopathy
NCIT:C27865	AIDS-Related Toxoplasmosis
NCIT:C27860	AIDS-Related Vulvovaginal Candidiasis
NCIT:C9420	AJCC Grade 2 Sarcoma
NCIT:C9421	AJCC Grade 3 Sarcoma
NCIT:C9422	AJCC Grade 4 Sarcoma
NCIT:C158963	AL Amyloidosis
NCIT:C185246	AMeD Syndrome
NCIT:C78597	APL Differentiation Syndrome
NCIT:C162770	ASPH-Positive Head and Neck Squamous Cell Carcinoma
NCIT:C114754	AV Fistula Stenosis
NCIT:C114756	AV Fistula Thrombosis
NCIT:C114763	AV Graft Thrombosis
NCIT:C3741	Abdominal (Mesenteric) Fibromatosis
NCIT:C98701	Abdominal Aorta Thrombosis
NCIT:C98700	Abdominal Hernia
NCIT:C35669	Abdominal Infection
NCIT:C126359	Abdominal Inflammatory Myofibroblastic Tumor
NCIT:C151982	Abdominal Rhabdomyosarcoma
NCIT:C151985	Abdominal Undifferentiated Pleomorphic Sarcoma
NCIT:C36070	Abdominal and Gastrointestinal Infection
NCIT:C50448	Abnormality of Ventricle
NCIT:C35808	Abstinence Syndrome
NCIT:C120205	Acampomelic Campomelic Dysplasia
NCIT:C39754	Acanthomatous Ameloblastoma
NCIT:C3173	Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive
NCIT:C188315	Accelerated Phase Myeloproliferative Neoplasm
NCIT:C188317	Accelerated Phase Primary Myelofibrosis
NCIT:C7371	Accessory Urethral Gland Carcinoma
NCIT:C4378	Accessory Urethral Gland Neoplasm
NCIT:C124493	Acephalostomia
NCIT:C168757	Achromatopsia 2
NCIT:C45929	Acidophil Stem Cell Pituitary Neuroendocrine Tumor
NCIT:C4196	Acinar Cell Adenoma
NCIT:C4197	Acinar Cell Neoplasm
NCIT:C95546	Acinar Cystic Transformation of the Pancreas
NCIT:C101191	Acquired Bilateral Cataracts
NCIT:C98802	Acquired Cataract
NCIT:C120442	Acquired Central Hypothyroidism
NCIT:C157718	Acquired Cystic Disease-Associated Renal Cell Carcinoma
NCIT:C122426	Acquired Cytomegaloviral Infection
NCIT:C34856	Acquired Deformity of Nose
NCIT:C116902	Acquired Facial Nerve Palsy
NCIT:C131621	Acquired Factor I Deficiency
NCIT:C131623	Acquired Factor III Deficiency
NCIT:C35440	Acquired Factor IX Deficiency
NCIT:C131624	Acquired Factor V Deficiency
NCIT:C131625	Acquired Factor VII Deficiency
NCIT:C131627	Acquired Factor XI Deficiency
NCIT:C131628	Acquired Factor XII Deficiency
NCIT:C78299	Acquired Feminization
NCIT:C35227	Acquired Hallux Valgus
NCIT:C98803	Acquired Hydrocephalus
NCIT:C84530	Acquired Hyperostosis Syndrome
NCIT:C129635	Acquired Hyperthyroidism
NCIT:C120369	Acquired Hypogonadotropic Hypogonadism
NCIT:C129636	Acquired Hypoparathyroidism
NCIT:C129644	Acquired Hypothyroidism
NCIT:C34755	Acquired Kyphosis
NCIT:C35652	Acquired Macrocephaly
NCIT:C98805	Acquired Methemoglobinemia
NCIT:C4805	Acquired Nevus Araneus
NCIT:C131090	Acquired Ovarian Failure
