term_id	exclusion_reason
ID	AI MONDOREL:has_exclusion_reason
Orphanet:100049	MONDO:excludeComplication
Orphanet:100076	MONDO:excludeComplication
Orphanet:100077	MONDO:excludeComplication
Orphanet:101987	MONDO:excludeComplication
Orphanet:104003	MONDO:excludeComplication
Orphanet:104007	MONDO:excludeComplication
Orphanet:104008	MONDO:excludeComplication
Orphanet:104009	MONDO:excludeComplication
Orphanet:104010	MONDO:excludeComplication
Orphanet:104011	MONDO:excludeComplication
Orphanet:104012	MONDO:excludeComplication
Orphanet:108967	MONDO:excludeComplication
Orphanet:108969	MONDO:excludeComplication
Orphanet:108971	MONDO:excludeComplication
Orphanet:117573	MONDO:excludeComplication
Orphanet:1303	MONDO:excludeComplication
Orphanet:156152	MONDO:excludeComplication
Orphanet:158038	MONDO:excludeComplication
Orphanet:163631	MONDO:excludeComplication
Orphanet:164823	MONDO:excludeComplication
Orphanet:165704	MONDO:excludeComplication
Orphanet:167714	MONDO:excludeComplication
Orphanet:168807	MONDO:excludeComplication
Orphanet:168943	MONDO:excludeComplication
Orphanet:168956	MONDO:excludeComplication
Orphanet:169346	MONDO:excludeComplication
Orphanet:169355	MONDO:excludeComplication
Orphanet:171895	MONDO:excludeComplication
Orphanet:171898	MONDO:excludeComplication
Orphanet:171901	MONDO:excludeComplication
Orphanet:171915	MONDO:excludeComplication
Orphanet:171918	MONDO:excludeComplication
Orphanet:178548	MONDO:excludeComplication
Orphanet:178551	MONDO:excludeComplication
Orphanet:178554	MONDO:excludeComplication
Orphanet:178557	MONDO:excludeComplication
Orphanet:178563	MONDO:excludeComplication
Orphanet:178566	MONDO:excludeComplication
Orphanet:180065	MONDO:excludeComplication
Orphanet:180068	MONDO:excludeComplication
Orphanet:180071	MONDO:excludeComplication
Orphanet:180122	MONDO:excludeComplication
Orphanet:180134	MONDO:excludeComplication
Orphanet:180151	MONDO:excludeComplication
Orphanet:182040	MONDO:excludeComplication
Orphanet:182090	MONDO:excludeComplication
Orphanet:182095	MONDO:excludeComplication
Orphanet:182098	MONDO:excludeComplication
