mondo_id	mondo_label	synonym_scope	synonym_scope_mondo	synonym	synonym_exact	synonym_broad	synonym_narrow	synonym_related	source_id	source_label	synonym_type	mondo_evidence	case
ID					A oboInOwl:hasExactSynonym	A oboInOwl:hasBroadSynonym	A oboInOwl:hasNarrowSynonym	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref				
MONDO:0000476	generalized dystonia	oio:hasExactSynonym	oio:hasRelatedSynonym	Idiopathic torsion dystonia	Idiopathic torsion dystonia				Orphanet:256	Early-onset generalized limb-onset dystonia		MESH:D004422	
MONDO:0000476	generalized dystonia	oio:hasExactSynonym	oio:hasRelatedSynonym	dystonia musculorum deformans	dystonia musculorum deformans				Orphanet:256	Early-onset generalized limb-onset dystonia		DOID:0050835	
MONDO:0000476	generalized dystonia	oio:hasExactSynonym	oio:hasRelatedSynonym	idiopathic torsion dystonia	idiopathic torsion dystonia				Orphanet:256	Early-onset generalized limb-onset dystonia		ICD9CM:333.6, DOID:0050835	
MONDO:0000476	generalized dystonia	oio:hasExactSynonym	oio:hasRelatedSynonym	dystonia 12	dystonia 12				Orphanet:71517	Rapid-onset dystonia-parkinsonism		DOID:0050835	
MONDO:0000903	myoclonus-dystonia syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Hereditary essential myoclonus	Hereditary essential myoclonus				Orphanet:36899	Myoclonus-dystonia syndrome		MESH:C536096	
MONDO:0000903	myoclonus-dystonia syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	alcohol-responsive dystonia	alcohol-responsive dystonia				Orphanet:36899	Myoclonus-dystonia syndrome		MESH:C536096	
MONDO:0001246	typhus	oio:hasExactSynonym	oio:hasRelatedSynonym	flea-borne typhus	flea-borne typhus				Orphanet:83315	Murine typhus		DOID:11256	
MONDO:0001595	choreatic disease	oio:hasExactSynonym	oio:hasNarrowSynonym	BHC	BHC				Orphanet:1429	Benign hereditary chorea	MONDO:ABBREVIATION	OMIM:118700	
MONDO:0002013	lymphangioma	oio:hasExactSynonym	oio:hasRelatedSynonym	LM	LM				Orphanet:2415	Rare lymphatic malformation	MONDO:ABBREVIATION	Orphanet:2415	
MONDO:0002145	disorder of sexual differentiation	oio:hasExactSynonym	oio:hasBroadSynonym	DSD	DSD				Orphanet:66637	Diaphanospondylodysostosis	MONDO:ABBREVIATION	Orphanet:90771	
MONDO:0002145	disorder of sexual differentiation	oio:hasExactSynonym	oio:hasBroadSynonym	DSD	DSD				Orphanet:90771	Difference of sex development	MONDO:ABBREVIATION	Orphanet:90771	
MONDO:0002429	idiopathic interstitial pneumonia	oio:hasExactSynonym	oio:hasRelatedSynonym	IPF	IPF				Orphanet:2032	Idiopathic pulmonary fibrosis	MONDO:ABBREVIATION	DOID:2797	
MONDO:0002687	superior mesenteric artery syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Wilkie syndrome	Wilkie syndrome				Orphanet:622099	Superior mesenteric artery syndrome		GARD:0007712	
MONDO:0004948	B-cell chronic lymphocytic leukemia	oio:hasExactSynonym	oio:hasRelatedSynonym	small lymphocytic lymphoma	small lymphocytic lymphoma				Orphanet:67038	B-cell chronic lymphocytic leukemia		Orphanet:67038	
MONDO:0005029	essential thrombocythemia	oio:hasExactSynonym	oio:hasBroadSynonym	ET	ET				Orphanet:3318	Essential thrombocythemia	MONDO:ABBREVIATION	Orphanet:3318, NCIT:C3407	
MONDO:0005103	well-differentiated liposarcoma	oio:hasExactSynonym	oio:hasBroadSynonym	atypical lipomatous tumor	atypical lipomatous tumor				Orphanet:99971	Well-differentiated liposarcoma		Orphanet:99971	
MONDO:0005615	plasmacytoma	oio:hasExactSynonym	oio:hasNarrowSynonym	solitary plasmacytoma	solitary plasmacytoma				Orphanet:86855	Plasmacytoma		Orphanet:86855, NCIT:C6932, DOID:3721	
MONDO:0005645	ancylostomiasis	oio:hasExactSynonym	oio:hasBroadSynonym	hookworm infection	hookworm infection				Orphanet:78	Ankylostomiasis		Orphanet:78	
MONDO:0005674	bone giant cell tumor	oio:hasExactSynonym	oio:hasRelatedSynonym	osteoclastoma	osteoclastoma				Orphanet:363976	Giant cell tumor of bone		DOID:4305	
MONDO:0005774	glanders	oio:hasExactSynonym	oio:hasRelatedSynonym	Burkholderia mallei infection	Burkholderia mallei infection				Orphanet:659908	Glanders		GARD:0009536	
MONDO:0005835	Lynch syndrome	oio:hasExactSynonym	oio:hasBroadSynonym	hereditary nonpolyposis colorectal cancer	hereditary nonpolyposis colorectal cancer				Orphanet:443909	Hereditary nonpolyposis colon cancer		DOID:3883	
MONDO:0006363	peritoneal multicystic mesothelioma	oio:hasExactSynonym	oio:hasNarrowSynonym	benign multicystic peritoneal mesothelioma	benign multicystic peritoneal mesothelioma				Orphanet:168816	Peritoneal inclusion cyst		Orphanet:168816	
MONDO:0006651	anterior uveitis	oio:hasExactSynonym	oio:hasNarrowSynonym	iridocyclitis	iridocyclitis				Orphanet:280886	Anterior uveitis		Orphanet:280886	
MONDO:0006663	perinatal asphyxia	oio:hasExactSynonym	oio:hasRelatedSynonym	hypoxic and ischemic brain injury in the newborn	hypoxic and ischemic brain injury in the newborn				Orphanet:137577	Neonatal hypoxic and ischemic brain injury		Orphanet:137577	
MONDO:0006861	myeloid sarcoma	oio:hasExactSynonym	oio:hasRelatedSynonym	granulocytic sarcoma	granulocytic sarcoma				Orphanet:86850	Myeloid sarcoma		Orphanet:86850, NCIT:C35815, DOID:8683	
MONDO:0007068	adenylosuccinate lyase deficiency	oio:hasExactSynonym	oio:hasRelatedSynonym	Adsl deficiency	Adsl deficiency				Orphanet:46	Adenylosuccinate lyase deficiency		OMIM:103050	
MONDO:0007072	ADULT syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	acro-dermato-ungual-lacrimal-Tooth syndrome	acro-dermato-ungual-lacrimal-Tooth syndrome				Orphanet:978	ADULT syndrome		OMIM:103285	
MONDO:0007101	familial primary localized cutaneous amyloidosis	oio:hasExactSynonym	oio:hasRelatedSynonym	primary localized cutaneous amyloidosis	primary localized cutaneous amyloidosis				Orphanet:137807	Primary cutaneous amyloidosis		GARD:0000132	
MONDO:0007142	Townes-Brocks syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	renal-Ear-anal-radial syndrome	renal-Ear-anal-radial syndrome				Orphanet:857	Townes-Brocks syndrome		OMIM:107480	
MONDO:0007145	aplasia cutis congenita	oio:hasExactSynonym	oio:hasRelatedSynonym	ACC	ACC				Orphanet:1501	Adrenocortical carcinoma	MONDO:ABBREVIATION	OMIM:107600, MONDO:Lexical	
MONDO:0007163	episodic ataxia type 2	oio:hasExactSynonym	oio:hasRelatedSynonym	APCA	APCA				Orphanet:624244	Postinfectious cerebellitis	MONDO:ABBREVIATION	GARD:0009602	
MONDO:0007168	atelosteogenesis type III	oio:hasExactSynonym	oio:hasRelatedSynonym	Aoiii	Aoiii				Orphanet:56305	Atelosteogenesis type III		OMIM:108721	
MONDO:0007176	helicoid peripapillary chorioretinal degeneration	oio:hasExactSynonym	oio:hasRelatedSynonym	SVEINSSON chorioretinal atrophy	SVEINSSON chorioretinal atrophy				Orphanet:86813	Helicoid peripapillary chorioretinal degeneration		OMIM:108985, MONDO:Lexical	
MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	BPES type 1	BPES type 1				Orphanet:572354	Blepharophimosis-ptosis-epicanthus inversus syndrome type 1		GARD:0000023	
MONDO:0007209	Weismann-Netter syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Toxopachyosteose Diaphysaire Tibio-Peroniere	Toxopachyosteose Diaphysaire Tibio-Peroniere				Orphanet:3344	Weismann-Netter syndrome		OMIM:112350	
MONDO:0007219	Osebold-Remondini syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	OSEBOLD-Remondini syndrome	OSEBOLD-Remondini syndrome				Orphanet:93382	Brachydactyly type A6		OMIM:112910	
MONDO:0007293	leukocyte adhesion deficiency 1	oio:hasExactSynonym	oio:hasRelatedSynonym	lad	lad				Orphanet:2968	Leukocyte adhesion deficiency		OMIM:116920, MONDO:Lexical	
MONDO:0007315	cherubism	oio:hasExactSynonym	oio:hasRelatedSynonym	Crbm	Crbm				Orphanet:184	Cherubism		OMIM:118400	
MONDO:0007334	autosomal dominant popliteal pterygium syndrome	oio:hasExactSynonym	oio:hasBroadSynonym	facio-genito-popliteal syndrome	facio-genito-popliteal syndrome				Orphanet:1300	Autosomal dominant popliteal pterygium syndrome		Orphanet:1300	
MONDO:0007337	cleft palate-lateral synechia syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Cpls syndrome	Cpls syndrome				Orphanet:2016	Cleft palate-lateral synechia syndrome		OMIM:119550	
MONDO:0007339	blepharocheilodontic syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Elschnig syndrome	Elschnig syndrome				Orphanet:1997	Blepharo-cheilo-odontic syndrome		OMIM:119580, GARD:0002071	
MONDO:0007368	familial benign copper deficiency	oio:hasExactSynonym	oio:hasRelatedSynonym	familial benign hypocupremia	familial benign hypocupremia				Orphanet:1551	Familial benign copper deficiency		GARD:0001522	
MONDO:0007376	fleck corneal dystrophy	oio:hasExactSynonym	oio:hasRelatedSynonym	Cfd	Cfd				Orphanet:1987	Isolated femoral agenesis/hypoplasia		OMIM:121850	
MONDO:0007383	Stern-Lubinsky-Durrie syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	Cdo syndrome	Cdo syndrome				Orphanet:3194	Corneodermatoosseous syndrome		OMIM:122440	
