mondo_id	mondo_label	synonym_scope	synonym_scope_mondo	synonym	synonym_exact	synonym_broad	synonym_narrow	synonym_related	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case
ID					A oboInOwl:hasExactSynonym	A oboInOwl:hasBroadSynonym	A oboInOwl:hasNarrowSynonym	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref		>AI oboInOwl:hasSynonymType SPLIT=|			
MONDO:0000001	disease	oio:hasExactSynonym		disease	disease				DOID:4	disease				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal cortical hypofunction	adrenal cortical hypofunction				DOID:10493	adrenal cortical hypofunction				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal cortical insufficiency	adrenal cortical insufficiency				DOID:10493	adrenal cortical hypofunction				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		corticoadrenal insufficiency	corticoadrenal insufficiency				DOID:10493	adrenal cortical hypofunction				
MONDO:0000023	infantile liver failure	oio:hasExactSynonym		infantile liver failure syndrome	infantile liver failure syndrome				DOID:0080716	infantile liver failure syndrome				
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital IGHD	congenital IGHD				DOID:0060870	isolated growth hormone deficiency				
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital isolated GH deficiency	congenital isolated GH deficiency				DOID:0060870	isolated growth hormone deficiency				
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		congenital isolated growth hormone deficiency	congenital isolated growth hormone deficiency				DOID:0060870	isolated growth hormone deficiency				
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		familial isolated growth hormone deficiency	familial isolated growth hormone deficiency				DOID:0060870	isolated growth hormone deficiency				
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym		isolated growth hormone deficiency	isolated growth hormone deficiency				DOID:0060870	isolated growth hormone deficiency				
