subject_id	subject_label	is_mapped	is_excluded	is_deprecated
Orphanet:10	48,XXYY syndrome	False	False	False
Orphanet:100	Ataxia-telangiectasia	False	False	False
Orphanet:1000	Ocular albinism with late-onset sensorineural deafness	False	False	False
Orphanet:100000	Reticular perineurioma	False	False	False
Orphanet:100001	Sclerosing perineurioma	False	False	False
Orphanet:100002	Extraneural perineurioma	False	False	False
Orphanet:100003	Intraneural perineurioma	False	False	False
Orphanet:100006	ABeta amyloidosis, Dutch type	False	False	False
Orphanet:100008	ACys amyloidosis	False	False	False
Orphanet:100011	Lissencephaly with cerebellar hypoplasia type A	False	False	False
Orphanet:100012	Lissencephaly with cerebellar hypoplasia type B	False	False	False
Orphanet:100013	Lissencephaly with cerebellar hypoplasia type C	False	False	False
Orphanet:100014	Lissencephaly with cerebellar hypoplasia type D	False	False	False
Orphanet:100015	Lissencephaly with cerebellar hypoplasia type E	False	False	False
Orphanet:100016	Lissencephaly with cerebellar hypoplasia type F	False	False	False
Orphanet:100019	Refractory anemia with excess blasts type 1	False	False	False
Orphanet:100020	Refractory anemia with excess blasts type 2	False	False	False
Orphanet:100021	Primary plasmacytoma of the bone	False	False	False
Orphanet:100022	Extramedullary soft tissue plasmacytoma	False	False	False
Orphanet:100024	Mu-heavy chain disease	False	False	False
Orphanet:100025	Alpha-heavy chain disease	False	False	False
Orphanet:100026	Gamma-heavy chain disease	False	False	False
Orphanet:100031	Hypoplastic amelogenesis imperfecta	False	False	False
Orphanet:100032	Hypocalcified amelogenesis imperfecta	False	False	False
Orphanet:100033	Hypomaturation amelogenesis imperfecta	False	False	False
Orphanet:100034	Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism	False	False	False
Orphanet:100035	Solitary necrotic nodule of the liver	False	False	False
Orphanet:100043	Autosomal dominant intermediate Charcot-Marie-Tooth disease type A	False	False	False
Orphanet:100044	Autosomal dominant intermediate Charcot-Marie-Tooth disease type B	False	False	False
Orphanet:100045	Autosomal dominant intermediate Charcot-Marie-Tooth disease type C	False	False	False
Orphanet:100046	Autosomal dominant intermediate Charcot-Marie-Tooth disease type D	False	False	False
Orphanet:100047	Esophageal duplication cyst	False	False	False
Orphanet:100048	Tubular duplication of the esophagus	False	False	False
Orphanet:100050	Hereditary angioedema type 1	False	False	False
Orphanet:100051	Hereditary angioedema type 2	False	False	False
Orphanet:100054	F12-related hereditary angioedema with normal C1Inh	False	False	False
Orphanet:100055	Acquired angioedema type 2	False	False	False
Orphanet:100056	Acquired angioedema type 1	False	False	False
Orphanet:100057	Renin-angiotensin-aldosterone system-blocker-induced angioedema	False	False	False
Orphanet:100067	Waterhouse-Friderichsen syndrome	False	False	False
Orphanet:100069	Semantic dementia	False	False	False
Orphanet:100070	Progressive non-fluent aphasia	False	False	False
Orphanet:100071	Mosaic trisomy 3	False	False	False
Orphanet:100073	Neurogenic thoracic outlet syndrome	False	False	False
Orphanet:100075	Neuroendocrine tumor of stomach	False	False	False
Orphanet:100078	Ileal neuroendocrine tumor	False	False	False
Orphanet:100079	Neuroendocrine neoplasm of appendix	False	False	False
Orphanet:100080	Neuroendocrine tumor of the colon	False	False	False
Orphanet:100081	Neuroendocrine tumor of the rectum	False	False	False
Orphanet:100082	Neuroendocrine tumor of anal canal	False	False	False
Orphanet:100083	Laryngeal neuroendocrine tumor	False	False	False
Orphanet:100084	Middle ear neuroendocrine tumor	False	False	False
Orphanet:100085	Primary hepatic neuroendocrine carcinoma	False	False	False
Orphanet:100086	Gallbladder neuroendocrine tumor	False	False	False
Orphanet:100087	Rare thyroid tumor	False	False	False
Orphanet:100088	Rare thyroid carcinoma	False	False	False
Orphanet:100090	Rare parathyroid tumor	False	False	False
Orphanet:100091	Adrenal/paraganglial tumor	False	False	False
Orphanet:100092	Gastroenteropancreatic neuroendocrine neoplasm	False	False	False
Orphanet:100093	Carcinoid syndrome	False	False	False
Orphanet:100094	Multiple polyglandular tumor	False	False	False
Orphanet:1001	2q37 microdeletion syndrome	False	False	False
