subject_id	subject_label	comment
ICD10WHO:A00		Unmapped
ICD10WHO:A00-A09		Unmapped
ICD10WHO:A00.0		Unmapped
ICD10WHO:A00.1		Unmapped
ICD10WHO:A00.9		Unmapped
ICD10WHO:A01		Unmapped
ICD10WHO:A01.0		Unmapped
ICD10WHO:A01.1		Unmapped
ICD10WHO:A01.2		Unmapped
ICD10WHO:A01.3		Unmapped
ICD10WHO:A01.4		Unmapped
ICD10WHO:A02		Unmapped
ICD10WHO:A02.0		Unmapped
ICD10WHO:A02.1		Unmapped
ICD10WHO:A02.2		Unmapped
ICD10WHO:A02.8		Unmapped
ICD10WHO:A02.9		Unmapped
ICD10WHO:A03		Unmapped
ICD10WHO:A03.0		Unmapped
ICD10WHO:A03.1		Unmapped
ICD10WHO:A03.2		Unmapped
ICD10WHO:A03.3		Unmapped
ICD10WHO:A03.8		Unmapped
ICD10WHO:A03.9		Unmapped
ICD10WHO:A04		Unmapped
ICD10WHO:A04.0		Unmapped
ICD10WHO:A04.1		Unmapped
ICD10WHO:A04.2		Unmapped
ICD10WHO:A04.3		Unmapped
ICD10WHO:A04.4		Unmapped
ICD10WHO:A04.5		Unmapped
ICD10WHO:A04.6		Unmapped
ICD10WHO:A04.7		Unmapped
ICD10WHO:A04.8		Unmapped
ICD10WHO:A04.9		Unmapped
ICD10WHO:A05		Unmapped
ICD10WHO:A05.0		Unmapped
ICD10WHO:A05.1		Unmapped
ICD10WHO:A05.2		Unmapped
ICD10WHO:A05.3		Unmapped
ICD10WHO:A05.4		Unmapped
ICD10WHO:A05.8		Unmapped
ICD10WHO:A05.9		Unmapped
ICD10WHO:A06		Unmapped
ICD10WHO:A06.0		Unmapped
ICD10WHO:A06.1		Unmapped
ICD10WHO:A06.2		Unmapped
ICD10WHO:A06.3		Unmapped
ICD10WHO:A06.4		Unmapped
ICD10WHO:A06.5		Unmapped
ICD10WHO:A06.6		Unmapped
ICD10WHO:A06.7		Unmapped
ICD10WHO:A06.8		Unmapped
ICD10WHO:A06.9		Unmapped
ICD10WHO:A07		Unmapped
ICD10WHO:A07.0		Unmapped
ICD10WHO:A07.1		Unmapped
ICD10WHO:A07.2		Unmapped
ICD10WHO:A07.3		Unmapped
ICD10WHO:A07.8		Unmapped
ICD10WHO:A07.9		Unmapped
ICD10WHO:A08		Unmapped
ICD10WHO:A08.0		Unmapped
ICD10WHO:A08.1		Unmapped
ICD10WHO:A08.2		Unmapped
ICD10WHO:A08.3		Unmapped
ICD10WHO:A08.4		Unmapped
ICD10WHO:A08.5		Unmapped
ICD10WHO:A09		Unmapped
ICD10WHO:A09.0		Unmapped
ICD10WHO:A09.9		Unmapped
ICD10WHO:A15		Unmapped
ICD10WHO:A15-A19		Unmapped
ICD10WHO:A15.0		Unmapped
ICD10WHO:A15.1		Unmapped
ICD10WHO:A15.2		Unmapped
ICD10WHO:A15.3		Unmapped
ICD10WHO:A15.4		Unmapped
ICD10WHO:A15.5		Unmapped
ICD10WHO:A15.6		Unmapped
ICD10WHO:A15.7		Unmapped
ICD10WHO:A15.8		Unmapped
ICD10WHO:A15.9		Unmapped
ICD10WHO:A16		Unmapped
ICD10WHO:A16.0		Unmapped
ICD10WHO:A16.1		Unmapped
ICD10WHO:A16.2		Unmapped
ICD10WHO:A16.3		Unmapped
ICD10WHO:A16.4		Unmapped
ICD10WHO:A16.5		Unmapped
ICD10WHO:A16.7		Unmapped
ICD10WHO:A16.8		Unmapped
ICD10WHO:A16.9		Unmapped
ICD10WHO:A17		Unmapped
ICD10WHO:A17.0		Unmapped
ICD10WHO:A17.1		Unmapped
ICD10WHO:A17.8		Unmapped
ICD10WHO:A17.9		Unmapped
ICD10WHO:A18		Unmapped
ICD10WHO:A18.0		Unmapped
ICD10WHO:A18.1		Unmapped
ICD10WHO:A18.2		Unmapped
ICD10WHO:A18.3		Unmapped
ICD10WHO:A18.4		Unmapped
ICD10WHO:A18.5		Unmapped
ICD10WHO:A18.6		Unmapped
