subject_mondo_id	subject_mondo_label	object_mondo_id	subject_source_id	object_source_id	object_mondo_label
ID		SC %	>A oboInOwl:source		
MONDO:0000066	mitochondrial respiratory chain complex deficiency	MONDO:0016387	Orphanet:254846	Orphanet:223713	mitochondrial oxidative phosphorylation disorder
MONDO:0000127	geleophysic dysplasia	MONDO:0019695	Orphanet:2623	Orphanet:93436	acromelic dysplasia
MONDO:0000136	keratosis follicularis spinulosa decalvans	MONDO:0018855	Orphanet:2340	Orphanet:498	keratosis pilaris atrophicans
MONDO:0000141	mosaic variegated aneuploidy syndrome	MONDO:0019040	Orphanet:1052	Orphanet:68335	chromosomal disorder
MONDO:0000170	microphthalmia, isolated, with coloboma	MONDO:0016764	Orphanet:98938	Orphanet:2542	isolated anophthalmia-microphthalmia syndrome
MONDO:0000179	Neu-Laxova syndrome	MONDO:0015148	Orphanet:2671	Orphanet:102011	lissencephaly type 3
MONDO:0000193	cortisone reductase deficiency	MONDO:0015898	Orphanet:168588	Orphanet:181412	adrenogenital syndrome
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	MONDO:0015168	Orphanet:486811	Orphanet:1037	arthrogryposis multiplex congenita
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	MONDO:0024257	Orphanet:486811	Orphanet:98505	hereditary motor neuron disease
MONDO:0000330	endemic typhus	MONDO:0001246	Orphanet:83315	Orphanet:102023	typhus
MONDO:0000456	cerebral creatine deficiency syndrome	MONDO:0019243	Orphanet:79172	Orphanet:79200	inborn disorder of energy metabolism
MONDO:0000476	generalized dystonia	MONDO:0015494	Orphanet:376724	Orphanet:156159	isolated dystonia
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	MONDO:0016112	Orphanet:52430	Orphanet:206662	hereditary inclusion-body myopathy
MONDO:0000736	dyschromatosis universalis hereditaria	MONDO:0019289	Orphanet:241	Orphanet:79375	hyperpigmentation of the skin
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia	MONDO:0009637	Orphanet:2598	Orphanet:206966	inborn mitochondrial myopathy
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia	MONDO:0020099	Orphanet:2598	Orphanet:98362	inherited sideroblastic anemia
MONDO:0001347	facioscapulohumeral muscular dystrophy	MONDO:0016106	Orphanet:269	Orphanet:206644	progressive muscular dystrophy
MONDO:0001569	acoustic neuroma	MONDO:0002546	Orphanet:252175	Orphanet:252164	schwannoma
MONDO:0001586	mucopolysaccharidosis type 1	MONDO:0019249	Orphanet:579	Orphanet:79213	mucopolysaccharidosis
MONDO:0001676	erythropoietic protoporphyria	MONDO:0019142	Orphanet:659681	Orphanet:738	inherited porphyria
MONDO:0001713	inherited aplastic anemia	MONDO:0015909	Orphanet:68383	Orphanet:182040	aplastic anemia
MONDO:0002142	undifferentiated pleomorphic sarcoma	MONDO:0018078	Orphanet:2023	Orphanet:3394	soft tissue sarcoma
MONDO:0002142	undifferentiated pleomorphic sarcoma	MONDO:0021054	Orphanet:2023	Orphanet:223727	bone sarcoma
MONDO:0002145	disorder of sexual differentiation	MONDO:0019755	Orphanet:90771	Orphanet:93890	developmental defect during embryogenesis
MONDO:0002412	disorder of glycogen metabolism	MONDO:0019214	Orphanet:79201	Orphanet:79161	inborn carbohydrate metabolic disorder
MONDO:0002413	glycogen storage disease I	MONDO:0002412	Orphanet:364	Orphanet:79201	disorder of glycogen metabolism
MONDO:0002441	Jervell and Lange-Nielsen syndrome	MONDO:0019171	Orphanet:90647	Orphanet:768	familial long QT syndrome
MONDO:0002457	Treacher-Collins syndrome	MONDO:0015161	Orphanet:861	Orphanet:102285	multiple congenital anomalies/dysmorphic syndrome without intellectual disability
MONDO:0002457	Treacher-Collins syndrome	MONDO:0015483	Orphanet:861	Orphanet:155899	mandibulofacial dysostosis
MONDO:0002525	inherited lipid metabolism disorder	MONDO:0019052	Orphanet:309005	Orphanet:68367	inborn errors of metabolism
MONDO:0002546	schwannoma	MONDO:0016752	Orphanet:252164	Orphanet:252131	benign peripheral nerve sheath tumor
MONDO:0002561	lysosomal storage disease	MONDO:0019052	Orphanet:68366	Orphanet:68367	inborn errors of metabolism
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	Orphanet:46135	Orphanet:279911	primary organ-specific lymphoma
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Orphanet:46135	Orphanet:289644	Epstein-Barr virus-associated lymphoproliferative disorder
MONDO:0002588	thymoma type A	MONDO:0006456	Orphanet:263310	Orphanet:99867	thymoma
MONDO:0002629	bone osteosarcoma	MONDO:0021054	Orphanet:668	Orphanet:223727	bone sarcoma
MONDO:0002684	atypical choroid plexus papilloma	MONDO:0016717	Orphanet:251902	Orphanet:251896	choroid plexus neoplasm
MONDO:0002718	central nervous system teratoma	MONDO:0019500	Orphanet:252018	Orphanet:883	extragonadal teratoma
MONDO:0002728	rhabdoid tumor	MONDO:0018078	Orphanet:69077	Orphanet:3394	soft tissue sarcoma
MONDO:0002735	anal canal adenocarcinoma	MONDO:0007108	Orphanet:424016	Orphanet:424013	anal canal carcinoma
MONDO:0002876	cervical adenosarcoma	MONDO:0016277	Orphanet:213792	Orphanet:213782	malignant mixed epithelial and mesenchymal tumor of cervix uteri
MONDO:0002877	cervical carcinosarcoma	MONDO:0016277	Orphanet:213787	Orphanet:213782	malignant mixed epithelial and mesenchymal tumor of cervix uteri
MONDO:0003010	multilocular clear cell renal cell carcinoma	MONDO:0005005	Orphanet:319287	Orphanet:319276	clear cell renal carcinoma
MONDO:0003011	mucinous tubular and spindle renal cell carcinoma	MONDO:0005086	Orphanet:319322	Orphanet:217071	renal cell carcinoma
MONDO:0003266	ependymal tumor	MONDO:0021042	Orphanet:301	Orphanet:182067	glioma
MONDO:0003360	small intestine leiomyosarcoma	MONDO:0018506	Orphanet:104076	Orphanet:423798	mesenchymal tumor of small intestine
MONDO:0003429	functioning pituitary gland adenoma	MONDO:0006373	Orphanet:314753	Orphanet:99408	pituitary gland adenoma
MONDO:0004069	inborn mitochondrial metabolism disorder	MONDO:0019243	Orphanet:68380	Orphanet:79200	inborn disorder of energy metabolism
MONDO:0004132	anal canal squamous cell carcinoma	MONDO:0007108	Orphanet:424019	Orphanet:424013	anal canal carcinoma
MONDO:0004187	nodular fasciitis	MONDO:0019296	Orphanet:477742	Orphanet:79382	subcutaneous tissue disorder
MONDO:0004241	Osgood-Schlatter disease	MONDO:0018381	Orphanet:97335	Orphanet:399319	osteochondrosis
MONDO:0004334	non-functional pancreatic neuroendocrine tumor	MONDO:0019954	Orphanet:506075	Orphanet:97253	pancreatic neuroendocrine tumor
MONDO:0004351	intraocular lymphoma	MONDO:0017207	Orphanet:279904	Orphanet:279911	primary organ-specific lymphoma
MONDO:0004380	dendritic cell sarcoma	MONDO:0020082	Orphanet:86903	Orphanet:98289	dendritic cell tumor
MONDO:0004604	Hodgkin's lymphoma, lymphocytic-histiocytic predominance	MONDO:0009348	Orphanet:98845	Orphanet:391	classic Hodgkin lymphoma
MONDO:0004620	Hodgkin's lymphoma, lymphocytic depletion	MONDO:0009348	Orphanet:98846	Orphanet:391	classic Hodgkin lymphoma
MONDO:0004633	Hodgkin's lymphoma, mixed cellularity	MONDO:0009348	Orphanet:98844	Orphanet:391	classic Hodgkin lymphoma
MONDO:0004653	atypical chronic myeloid leukemia, BCR-ABL1 negative	MONDO:0020077	Orphanet:98824	Orphanet:98275	myelodysplastic/myeloproliferative disease
MONDO:0004665	nodular sclerosis classical Hodgkin lymphoma	MONDO:0009348	Orphanet:98843	Orphanet:391	classic Hodgkin lymphoma
MONDO:0004684	plantar fibromatosis	MONDO:0016037	Orphanet:199251	Orphanet:199257	superficial Fibromatosis
MONDO:0004907	alopecia	MONDO:0019278	Orphanet:79364	Orphanet:79363	hair anomaly
MONDO:0004933	hypoplastic left heart syndrome	MONDO:0019820	Orphanet:2248	Orphanet:95483	univentricular cardiopathy
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0017594	Orphanet:67038	Orphanet:300842	indolent B-cell non-Hodgkin lymphoma
MONDO:0004952	Hodgkins lymphoma	MONDO:0005062	Orphanet:98293	Orphanet:223735	lymphoma
MONDO:0004952	Hodgkins lymphoma	MONDO:0017343	Orphanet:98293	Orphanet:289644	Epstein-Barr virus-associated lymphoproliferative disorder
MONDO:0004958	oral cavity squamous cell carcinoma	MONDO:0044710	Orphanet:502363	Orphanet:502369	lip and oral cavity squamous cell carcinoma
MONDO:0004967	acute lymphoblastic leukemia	MONDO:0018908	Orphanet:513	Orphanet:547	non-Hodgkin lymphoma
MONDO:0004976	amyotrophic lateral sclerosis	MONDO:0020128	Orphanet:803	Orphanet:98503	motor neuron disorder
MONDO:0005028	esophageal adenocarcinoma	MONDO:0019086	Orphanet:99976	Orphanet:70482	carcinoma of esophagus
MONDO:0005029	essential thrombocythemia	MONDO:0020076	Orphanet:3318	Orphanet:98274	myeloproliferative neoplasm
MONDO:0005033	ganglioneuroma	MONDO:0016729	Orphanet:251992	Orphanet:251934	mixed neuronal-glial tumor
MONDO:0005055	Kaposi's sarcoma	MONDO:0015157	Orphanet:33276	Orphanet:102024	human herpesvirus 8-related tumor
MONDO:0005058	leiomyosarcoma	MONDO:0017345	Orphanet:64720	Orphanet:289656	Epstein-Barr virus-associated mesenchymal tumor
MONDO:0005058	leiomyosarcoma	MONDO:0018078	Orphanet:64720	Orphanet:3394	soft tissue sarcoma
MONDO:0005060	liposarcoma	MONDO:0018078	Orphanet:69078	Orphanet:3394	soft tissue sarcoma
MONDO:0005062	lymphoma	MONDO:0015757	Orphanet:223735	Orphanet:171898	lymphoid hemopathy
MONDO:0005100	systemic sclerosis	MONDO:0019340	Orphanet:90291	Orphanet:801	scleroderma
MONDO:0005103	well-differentiated liposarcoma	MONDO:0005060	Orphanet:99971	Orphanet:69078	liposarcoma
MONDO:0005115	temporal lobe epilepsy	MONDO:0017704	Orphanet:98819	Orphanet:309	familial partial epilepsy
MONDO:0005164	fibrosarcoma	MONDO:0018078	Orphanet:2030	Orphanet:3394	soft tissue sarcoma
MONDO:0005212	rhabdomyosarcoma	MONDO:0018078	Orphanet:780	Orphanet:3394	soft tissue sarcoma
MONDO:0005220	collecting duct carcinoma	MONDO:0005086	Orphanet:247203	Orphanet:217071	renal cell carcinoma
MONDO:0005223	acute myeloid leukemia with minimal differentiation	MONDO:0015667	Orphanet:98832	Orphanet:167714	acute myeloid leukemia by FAB classification
MONDO:0005224	acute myeloblastic leukemia without maturation	MONDO:0015667	Orphanet:98833	Orphanet:167714	acute myeloid leukemia by FAB classification
MONDO:0005321	Fuchs' endothelial dystrophy	MONDO:0020214	Orphanet:98974	Orphanet:98627	posterior corneal dystrophy
MONDO:0005505	dysembryoplastic neuroepithelial tumor	MONDO:0016729	Orphanet:251946	Orphanet:251934	mixed neuronal-glial tumor
MONDO:0005508	hereditary multiple osteochondromas	MONDO:0019060	Orphanet:321	Orphanet:68411	bone neoplasm
MONDO:0005514	nanophthalmia	MONDO:0016764	Orphanet:35612	Orphanet:2542	isolated anophthalmia-microphthalmia syndrome
MONDO:0005526	tetanus	MONDO:0020010	Orphanet:3299	Orphanet:98010	infectious disorder of the nervous system
MONDO:0005543	autoimmune hepatitis type 1	MONDO:0016264	Orphanet:563576	Orphanet:2137	autoimmune hepatitis
MONDO:0005580	esophageal squamous cell carcinoma	MONDO:0019086	Orphanet:99977	Orphanet:70482	carcinoma of esophagus
MONDO:0005615	plasmacytoma	MONDO:0004959	Orphanet:86855	Orphanet:98282	plasma cell neoplasm
MONDO:0005619	typhoid fever	MONDO:0000827	Orphanet:99745	Orphanet:795	salmonellosis
