mondo_id	mondo_label	source_id	source_label	synonym_scope	synonym
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	OMIM:125310	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	oio:hasExactSynonym	dementia, hereditary multiinfarct type
MONDO:0001187	urinary bladder cancer	OMIM:109800	bladder cancer	oio:hasExactSynonym	bladder cancer
MONDO:0002009	major depressive disorder	OMIM:608516	major depressive disorder	oio:hasExactSynonym	MDD
MONDO:0002629	bone osteosarcoma	OMIM:259500	osteogenic sarcoma	oio:hasExactSynonym	osteogenic sarcoma
MONDO:0002629	bone osteosarcoma	OMIM:259500	osteogenic sarcoma	oio:hasExactSynonym	osteosarcoma
MONDO:0002974	cervical cancer	OMIM:603956	cervical cancer	oio:hasExactSynonym	cervical cancer
MONDO:0003789	hereditary papillary renal cell carcinoma	OMIM:605074	renal cell carcinoma, papillary, 1	oio:hasExactSynonym	RCCP1
MONDO:0003789	hereditary papillary renal cell carcinoma	OMIM:605074	renal cell carcinoma, papillary, 1	oio:hasExactSynonym	renal cell carcinoma, papillary, 1
MONDO:0004573	ariboflavinosis	OMIM:615026	riboflavin deficiency	oio:hasExactSynonym	RBFVD
MONDO:0004573	ariboflavinosis	OMIM:615026	riboflavin deficiency	oio:hasExactSynonym	riboflavin transporter deficiency, type 1
MONDO:0005002	chronic obstructive pulmonary disease	OMIM:606963	pulmonary disease, chronic obstructive	oio:hasExactSynonym	pulmonary disease, chronic obstructive
MONDO:0005147	type 1 diabetes mellitus	OMIM:222100	type 1 diabetes mellitus	oio:hasExactSynonym	diabetes mellitus, insulin-dependent
MONDO:0005147	type 1 diabetes mellitus	OMIM:222100	type 1 diabetes mellitus	oio:hasExactSynonym	juvenile-onset diabetes
MONDO:0005147	type 1 diabetes mellitus	OMIM:222100	type 1 diabetes mellitus	oio:hasExactSynonym	type 1 diabetes mellitus
MONDO:0005298	osteoporosis	OMIM:166710	osteoporosis	oio:hasExactSynonym	bone mineral density quantitative trait locus
MONDO:0005298	osteoporosis	OMIM:166710	osteoporosis	oio:hasExactSynonym	osteoporosis
MONDO:0006486	uveal melanoma	OMIM:155720	melanoma, uveal	oio:hasExactSynonym	melanoma, uveal
MONDO:0006761	fibromuscular dysplasia	OMIM:135580	fibromuscular dysplasia, arterial	oio:hasExactSynonym	fibromuscular dysplasia, arterial
MONDO:0007039	neurofibromatosis type 2	OMIM:101000	schwannomatosis, vestibular	oio:hasExactSynonym	SWNV
MONDO:0007039	neurofibromatosis type 2	OMIM:101000	schwannomatosis, vestibular	oio:hasExactSynonym	acoustic neurinoma, bilateral, formerly
MONDO:0007039	neurofibromatosis type 2	OMIM:101000	schwannomatosis, vestibular	oio:hasExactSynonym	acoustic schwannomas, bilateral, formerly
MONDO:0007039	neurofibromatosis type 2	OMIM:101000	schwannomatosis, vestibular	oio:hasExactSynonym	bilateral acoustic neurofibromatosis, formerly
MONDO:0007039	neurofibromatosis type 2	OMIM:101000	schwannomatosis, vestibular	oio:hasExactSynonym	schwannomatosis 3
MONDO:0007039	neurofibromatosis type 2	OMIM:101000	schwannomatosis, vestibular	oio:hasExactSynonym	schwannomatosis, vestibular
MONDO:0007057	Acroosteolysis dominant type	OMIM:102500	hajdu-cheney syndrome	oio:hasExactSynonym	acroosteolysis with osteoporosis and changes 1n skull and mandible
MONDO:0007075	alacrima, congenital, autosomal dominant	OMIM:103420	alacrima, congenital, autosomal dominant	oio:hasExactSynonym	alacrima, congenital, autosomal dominant
MONDO:0007086	autosomal dominant Alport syndrome	OMIM:104200	alport syndrome 3a, autosomal dominant	oio:hasExactSynonym	ATS3A
MONDO:0007086	autosomal dominant Alport syndrome	OMIM:104200	alport syndrome 3a, autosomal dominant	oio:hasExactSynonym	alport syndrome 3a, autosomal dominant
MONDO:0007097	Finnish type amyloidosis	OMIM:105120	amyloidosis, finnish type	oio:hasExactSynonym	amyloidosis, hereditary systemic 4, finnish type
MONDO:0007099	familial visceral amyloidosis	OMIM:105200	amyloidosis, hereditary systemic 2	oio:hasExactSynonym	AMYLD2
MONDO:0007099	familial visceral amyloidosis	OMIM:105200	amyloidosis, hereditary systemic 2	oio:hasExactSynonym	amyloidosis, hereditary systemic 2
MONDO:0007109	congenital dyserythropoietic anemia type 3	OMIM:105600	anemia, congenital dyserythropoietic, type iiia	oio:hasExactSynonym	CDAN3A
MONDO:0007109	congenital dyserythropoietic anemia type 3	OMIM:105600	anemia, congenital dyserythropoietic, type iiia	oio:hasExactSynonym	anemia, congenital dyserythropoietic, type 3
MONDO:0007109	congenital dyserythropoietic anemia type 3	OMIM:105600	anemia, congenital dyserythropoietic, type iiia	oio:hasExactSynonym	anemia, congenital dyserythropoietic, type iiia
MONDO:0007109	congenital dyserythropoietic anemia type 3	OMIM:105600	anemia, congenital dyserythropoietic, type iiia	oio:hasExactSynonym	cda, type 3
MONDO:0007109	congenital dyserythropoietic anemia type 3	OMIM:105600	anemia, congenital dyserythropoietic, type iiia	oio:hasExactSynonym	cda, type 3a
MONDO:0007109	congenital dyserythropoietic anemia type 3	OMIM:105600	anemia, congenital dyserythropoietic, type iiia	oio:hasExactSynonym	dyserythropoietic anemia, congenital, type 3a
MONDO:0007124	ankyloblepharon-ectodermal defects-cleft lip/palate syndrome	OMIM:106260	ankyloblepharon-ectodermal defects-cleft lip/palate	oio:hasExactSynonym	AEC
MONDO:0007125	ankyloglossia	OMIM:106280	ankyloglossia with or without tooth anomalies	oio:hasExactSynonym	ANKG
MONDO:0007125	ankyloglossia	OMIM:106280	ankyloglossia with or without tooth anomalies	oio:hasExactSynonym	ankyloglossia with or without tooth anomalies
MONDO:0007143	aortic arch anomaly-facial dysmorphism-intellectual disability syndrome	OMIM:107500	aortic arch anomaly with peculiar facies and impaired intellectual development	oio:hasExactSynonym	aortic arch anomaly with peculiar facies and impaired intellectual development
MONDO:0007172	atrial septal defect 1	OMIM:108800	atrial septal defect 1	oio:hasExactSynonym	asd
MONDO:0007175	PR interval, variation in	OMIM:108980	pr interval, variation 1n	oio:hasExactSynonym	atrioventricular conduction time, variation 1n
