subject_id	object_id	subject_label	object_label	in_icd10cm
MONDO:0005966	MONDO:0002516	spleen cancer	digestive system cancer	False
MONDO:0001296	MONDO:0006873	acquired night blindness	nutritional deficiency disease	False
MONDO:0000927	MONDO:0004944	asymptomatic neurosyphilis	neurosyphilis	False
MONDO:0005922	MONDO:0000986	pleural tuberculosis	pleurisy	False
MONDO:0005977	MONDO:0004944	tabes dorsalis	neurosyphilis	False
MONDO:0004672	MONDO:0004664	fasciolopsiasis	helminthiasis	False
MONDO:0013282	MONDO:0005087	alpha 1-antitrypsin deficiency	respiratory system disorder	False
MONDO:0001442	MONDO:0005371	dysthymic disorder	mood disorder	False
MONDO:0021645	MONDO:0001221	esophageal varices with bleeding	esophageal varices	False
MONDO:0006982	MONDO:0001949	subacute thyroiditis	acute thyroiditis	False
MONDO:0001498	MONDO:0004869	varicocele	pelvic varices	False
MONDO:0019125	MONDO:0002342	relapsing polychondritis	chondromalacia	False
MONDO:0001382	MONDO:0005154	hepatorenal syndrome	liver disorder	False
MONDO:0005884	MONDO:0004664	opisthorchiasis	helminthiasis	False
MONDO:0010543	MONDO:0017359	Barth syndrome	3-methylglutaconic aciduria	False
MONDO:0001479	MONDO:0002922	cutaneous diphtheria	pyoderma	False
MONDO:0007113	MONDO:0005071	Angelman syndrome	nervous system disorder	False
MONDO:0015243	MONDO:0005657	allergic bronchopulmonary aspergillosis	aspergillosis	False
MONDO:0009061	MONDO:0005087	cystic fibrosis	respiratory system disorder	False
MONDO:0005546	MONDO:0024317	fibromyalgia	chronic pain syndrome	False
MONDO:0021642	MONDO:0004869	vulval varices	pelvic varices	False
MONDO:0019121	MONDO:0005249	pneumocystosis	pneumonia	False
MONDO:0002275	MONDO:0005311	generalized atherosclerosis	atherosclerosis	False
MONDO:0004779	MONDO:0005550	epididymitis	infectious disease	False
MONDO:0019322	MONDO:0008219	pemphigus vegetans	pemphigus vulgaris	False
MONDO:0008207	MONDO:0002342	chondromalacia patellae	chondromalacia	False
MONDO:0004192	MONDO:0006295	urethra cancer	malignant urinary system neoplasm	False
MONDO:0004611	MONDO:0004608	soft palate cancer	oropharynx cancer	False
MONDO:0016349	MONDO:0021147	congenital hydrocephalus	disorder of development or morphogenesis	False
MONDO:0001508	MONDO:0004866	patulous eustachian tube	eustachian tube disorder	False
MONDO:0004715	MONDO:0018531	liver carcinoma in situ	carcinoma of liver and intrahepatic biliary tract	False
MONDO:0001794	MONDO:0003472	Pthirus pubis infestation	lice infestation	False
MONDO:0001101	MONDO:0002657	fat necrosis of breast	breast disorder	False
MONDO:0002885	MONDO:0002922	erythrasma	pyoderma	False
MONDO:0001234	MONDO:0002409	adhesive otitis media	auditory system disorder	False
MONDO:0005296	MONDO:0005087	sleep apnea syndrome	respiratory system disorder	False
MONDO:0003019	MONDO:0000226	potassium deficiency disease	mineral metabolism disease	False
MONDO:0005593	MONDO:0005076	chronic periodontitis	periodontitis	False
MONDO:0001526	MONDO:0002898	labia minora cancer	skin cancer	False
MONDO:0001954	MONDO:0002800	thrombophlebitis migrans	thrombophlebitis	False
MONDO:0016349	MONDO:0001150	congenital hydrocephalus	hydrocephalus	False
MONDO:0008890	MONDO:0006496	progressive bulbar palsy	palsy	False
MONDO:0004617	MONDO:0003406	recurrent hypersomnia	sleep-wake disorder	False
MONDO:0005993	MONDO:0021681	Trichomonas vaginitis urogenital infection	sexually transmitted disease	False
MONDO:0005662	MONDO:0002428	balantidiasis	protozoa infectious disease	False
MONDO:0005620	MONDO:0011057	cerebral amyloid angiopathy	cerebrovascular disorder	False
MONDO:0006592	MONDO:0005083	parapsoriasis	psoriasis	False
MONDO:0021644	MONDO:0001221	esophageal varices without bleeding	esophageal varices	False
MONDO:0020022	MONDO:0005071	central nervous system malformation	nervous system disorder	False
MONDO:0004685	MONDO:0004608	Waldeyer's ring cancer	oropharynx cancer	False
MONDO:0016383	MONDO:0004782	nephrogenic diabetes insipidus	diabetes insipidus	False
MONDO:0010006	MONDO:0004884	Sandhoff disease	eye degenerative disorder	False
MONDO:0001251	MONDO:0005593	chronic apical periodontitis	chronic periodontitis	False
MONDO:0008015	MONDO:0002467	motion sickness	inner ear disorder	False
MONDO:0009499	MONDO:0004884	Krabbe disease	eye degenerative disorder	False
MONDO:0001648	MONDO:0002026	esophageal candidiasis	candidiasis	False
MONDO:0005937	MONDO:0003406	REM sleep behavior disorder	sleep-wake disorder	False
MONDO:0004694	MONDO:0005154	hepatopulmonary syndrome	liver disorder	False
MONDO:0001559	MONDO:0001592	perineocele	prolapse of female genital organ	False
MONDO:0006694	MONDO:0005311	cerebral atherosclerosis	atherosclerosis	False
MONDO:0000923	MONDO:0004849	interstitial emphysema	pulmonary emphysema	False
MONDO:0005771	MONDO:0001989	geographic tongue	atrophic glossitis	False
MONDO:0001886	MONDO:0001592	midline cystocele	prolapse of female genital organ	False
MONDO:0005715	MONDO:0005989	congenital toxoplasmosis	toxoplasmosis	False
MONDO:0005692	MONDO:0005664	cat-scratch disease	bartonellosis	False
MONDO:0001989	MONDO:0006771	atrophic glossitis	glossitis	False
MONDO:0006532	MONDO:0002776	cholesteatoma of external ear	external ear disorder	False
MONDO:0017137	MONDO:0016075	onchocerciasis	filariasis	False
MONDO:0000088	MONDO:0021147	precocious puberty	disorder of development or morphogenesis	False
MONDO:0005776	MONDO:0004664	gnathomiasis	helminthiasis	False
MONDO:0006844	MONDO:0006873	magnesium deficiency	nutritional deficiency disease	False
MONDO:0010100	MONDO:0004884	Tay-Sachs disease	eye degenerative disorder	False
MONDO:0001943	MONDO:0005136	Plasmodium malariae malaria	malaria	False
MONDO:0005905	MONDO:0003406	periodic limb movement disorder	sleep-wake disorder	False
MONDO:0021187	MONDO:0005066	hyperlipidemia	metabolic disease	False
MONDO:0017361	MONDO:0004656	congenital rubella syndrome	rubella	False
MONDO:0004592	MONDO:0002922	impetigo	pyoderma	False
MONDO:0004960	MONDO:0005570	monoclonal gammopathy	hematologic disorder	False
MONDO:0024303	MONDO:0002875	external hirudiniasis	parasitic ectoparasitic infectious disease	False
MONDO:0001530	MONDO:0001343	secondary hyperparathyroidism of renal origin	impaired renal function disease	False
MONDO:0004642	MONDO:0003939	tonsillar pillar cancer	muscle tissue disorder	False
MONDO:0019993	MONDO:0005385	congenital renal artery stenosis	vascular disorder	False
MONDO:0004572	MONDO:0005371	cyclothymic disorder	mood disorder	False
MONDO:0002307	MONDO:0004785	blepharoconjunctivitis	blepharitis	False
MONDO:0004778	MONDO:0004779	epididymo-orchitis	epididymitis	False
MONDO:0005802	MONDO:0004664	hymenolepiasis	helminthiasis	False
MONDO:0005870	MONDO:0004664	necatoriasis	helminthiasis	False
MONDO:0005956	MONDO:0005570	septicemic plague	hematologic disorder	False
MONDO:0018326	MONDO:0009688	transient neonatal myasthenia gravis	myasthenia gravis	False
MONDO:0006977	MONDO:0003150	spermatocele	male reproductive system disorder	False
MONDO:0009665	MONDO:0015454	biotinidase deficiency	multiple carboxylase deficiency	False
MONDO:0005393	MONDO:0005066	gout	metabolic disease	False
MONDO:0005661	MONDO:0002428	babesiosis	protozoa infectious disease	False
MONDO:0019790	MONDO:0005071	neuroleptic malignant syndrome	nervous system disorder	False
MONDO:0006913	MONDO:0001316	pneumococcal meningitis	streptococcal meningitis	False
MONDO:0010808	MONDO:0013600	fatal familial insomnia	insomnia	False
MONDO:0004588	MONDO:0001941	night blindness	blindness (disorder)	False
MONDO:0004375	MONDO:0005300	end stage renal failure	chronic kidney disease	False
MONDO:0001776	MONDO:0004828	prostate calculus	lower urinary tract calculus	False
MONDO:0006755	MONDO:0003240	euthyroid sick syndrome	thyroid gland disorder	False
MONDO:0005705	MONDO:0004664	clonorchiasis	helminthiasis	False
MONDO:0012456	MONDO:0001176	congenital primary aphakia	lens disorder	False
MONDO:0002516	MONDO:0004335	digestive system cancer	digestive system disorder	False
MONDO:0007074	MONDO:0005381	ainhum	bone disorder	False
MONDO:0004668	MONDO:0004664	fascioliasis	helminthiasis	False
MONDO:0005527	MONDO:0005071	toxic encephalopathy	nervous system disorder	False
MONDO:0002660	MONDO:0003382	blepharochalasis	eyelid disorder	False
MONDO:0003656	MONDO:0003634	hemoglobinuria	proteinuria	False
MONDO:0005276	MONDO:0002220	dental caries	tooth hard tissue disease	False
MONDO:0015484	MONDO:0000367	cysticercosis	taeniasis	False
MONDO:0018747	MONDO:0006541	acquired epidermolysis bullosa	epidermolysis bullosa	False
MONDO:0015622	MONDO:0020568	wound myiasis	cutaneous myiasis	False
MONDO:0003472	MONDO:0002875	lice infestation	parasitic ectoparasitic infectious disease	False
MONDO:0001383	MONDO:0001384	degenerative myopia	myopia	False
MONDO:0005921	MONDO:0005136	Plasmodium vivax malaria	malaria	False
MONDO:0001880	MONDO:0006771	median rhomboid glossitis	glossitis	False
MONDO:0004795	MONDO:0021669	otitis externa	post-infectious disorder	False
MONDO:0005895	MONDO:0004664	paragonimiasis	helminthiasis	False
MONDO:0010557	MONDO:0019118	choroideremia	inherited retinal dystrophy	False
MONDO:0001621	MONDO:0006956	tick-borne relapsing fever	Rickettsiosis	False
MONDO:0006998	MONDO:0004685	tonsil cancer	Waldeyer's ring cancer	False
MONDO:0000261	MONDO:0001039	adenoiditis	tonsillitis	False
MONDO:0003940	MONDO:0005380	Kummell disease	osteonecrosis	False
MONDO:0002008	MONDO:0002467	labyrinthitis	inner ear disorder	False
MONDO:0004824	MONDO:0002026	neonatal candidiasis	candidiasis	False
MONDO:0001491	MONDO:0004979	cough variant asthma	asthma	False
MONDO:0007416	MONDO:0001085	Balkan nephropathy	interstitial nephritis	False
MONDO:0003584	MONDO:0001834	visual cortex disorder	visual pathway disorder	False
MONDO:0018824	MONDO:0002922	pyoderma gangrenosum	pyoderma	False
MONDO:0004223	MONDO:0005079	polyp of middle ear	polyp	False
MONDO:0000447	MONDO:0005154	autosomal dominant polycystic liver disease	liver disorder	False
MONDO:0009345	MONDO:0019228	histidinemia	inborn disorder of histidine metabolism	False
MONDO:0000924	MONDO:0004849	compensatory emphysema	pulmonary emphysema	False
MONDO:0004977	MONDO:0000430	angioimmunoblastic T-cell lymphoma	mature T-cell and NK-cell non-Hodgkin lymphoma	False
MONDO:0004994	MONDO:0003939	cardiomyopathy	muscle tissue disorder	False
MONDO:0001618	MONDO:0006672	balanoposthitis	balanitis	False
MONDO:0001885	MONDO:0001592	lateral cystocele	prolapse of female genital organ	False
MONDO:0005868	MONDO:0012197	myelophthisic anemia	idiopathic aplastic anemia	False
MONDO:0001383	MONDO:0004884	degenerative myopia	eye degenerative disorder	False
MONDO:0000245	MONDO:0001461	tinea imbricata	tinea corporis	False
MONDO:0017319	MONDO:0003664	hereditary elliptocytosis	hemolytic anemia	False
MONDO:0004733	MONDO:0005806	pyriform sinus cancer	hypopharynx cancer	False
MONDO:0002332	MONDO:0005570	splenic disorder	hematologic disorder	False
MONDO:0006731	MONDO:0005071	drug-induced akathisia	nervous system disorder	False
MONDO:0021520	MONDO:0005165	benign neoplasm of floor of mouth	benign neoplasm	False
MONDO:0008963	MONDO:0004884	Chediak-Higashi syndrome	eye degenerative disorder	False
MONDO:0005991	MONDO:0005664	trench fever	bartonellosis	False
MONDO:0004940	MONDO:0000922	acute female pelvic peritonitis	pelvic inflammatory disease	False
MONDO:0018381	MONDO:0005380	osteochondrosis	osteonecrosis	False
MONDO:0004778	MONDO:0006882	epididymo-orchitis	orchitis	False
MONDO:0016823	MONDO:0005550	mycetoma	infectious disease	False
MONDO:0006946	MONDO:0001530	renal osteodystrophy	secondary hyperparathyroidism of renal origin	False
MONDO:0001327	MONDO:0001592	pelvic muscle wasting	prolapse of female genital organ	False
MONDO:0004779	MONDO:0003150	epididymitis	male reproductive system disorder	False
MONDO:0004785	MONDO:0003382	blepharitis	eyelid disorder	False
MONDO:0001444	MONDO:0000940	Chagas disease	trypanosomiasis	False
MONDO:0008818	MONDO:0005385	arterial tortuosity syndrome	vascular disorder	False
MONDO:0021465	MONDO:0021464	benign neoplasm of appendix	benign neoplasm of cecum	False
MONDO:0016472	MONDO:0016075	dracunculiasis	filariasis	False
MONDO:0006889	MONDO:0006904	paraphimosis	phimosis	False
MONDO:0005663	MONDO:0005071	Barre-Lieou syndrome	nervous system disorder	False
MONDO:0005380	MONDO:0005381	osteonecrosis	bone disorder	False
MONDO:0002154	MONDO:0002428	trichomoniasis	protozoa infectious disease	False
MONDO:0001604	MONDO:0003382	lagophthalmos	eyelid disorder	False
MONDO:0021496	MONDO:0005165	benign neoplasm of lip	benign neoplasm	False
MONDO:0005391	MONDO:0005071	restless legs syndrome	nervous system disorder	False
MONDO:0015776	MONDO:0019701	rhizomelic chondrodysplasia punctata	chondrodysplasia punctata	False
MONDO:0007222	MONDO:0021004	brachydactyly type D	brachydactyly	True
MONDO:0021463	MONDO:0000627	benign neoplasm of parathyroid gland	benign endocrine neoplasm	True
MONDO:0030750	MONDO:0017612	epidermolysis bullosa, junctional 4, intermediate	junctional epidermolysis bullosa	True
MONDO:0019028	MONDO:0005135	amoebiasis due to Entamoeba histolytica	parasitic infectious disease	True
MONDO:0010501	MONDO:0015159	syndromic X-linked intellectual disability 34	multiple congenital anomalies/dysmorphic syndrome-intellectual disability	True
MONDO:0014163	MONDO:0018901	left ventricular noncompaction 10	left ventricular noncompaction	True
MONDO:0700065	MONDO:0700064	trisomy	aneuploidy	True
MONDO:0004295	MONDO:0005138	asbestos-related lung carcinoma	lung carcinoma	True
MONDO:0002934	MONDO:0006646	intravascular angioleiomyoma	angioleiomyoma	True
MONDO:0013493	MONDO:0003847	acetyl-coa carboxylase deficiency	hereditary disease	True
MONDO:0100095	MONDO:0006025	neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures	autosomal recessive disease	True
MONDO:0859283	MONDO:0700092	neurodevelopmental disorder with seizures, microcephaly, and brain abnormalities	neurodevelopmental disorder	True
MONDO:0032637	MONDO:0016575	ciliary dyskinesia, primary, 39	primary ciliary dyskinesia	True
MONDO:0002198	MONDO:0021049	vulvar glandular neoplasm	vulvar neoplasm	True
MONDO:0021966	MONDO:0002254	baker Vinters syndrome	syndromic disease	True
MONDO:0011744	MONDO:0024499	primary intraosseous venous malformation	vascular bone neoplasm	True
MONDO:0001096	MONDO:0001095	mediastinum ganglioneuroblastoma	mediastinum neuroblastoma	True
MONDO:0004790	MONDO:0005154	fatty liver disease	liver disorder	True
MONDO:0016186	MONDO:0016139	qualitative or quantitative defects of myofibrillar proteins	qualitative or quantitative protein defects in neuromuscular diseases	True
MONDO:0850271	MONDO:0018872	myeloid leukemia associated with down syndrome	acute megakaryoblastic leukemia	True
MONDO:0004756	MONDO:0002232	nasal cavity neoplasm	nasal cavity disorder	True
MONDO:0005874	MONDO:0015254	neuroschistosomiasis	schistosomiasis	True
MONDO:0100244	MONDO:0006504	paroxysmal nocturnal hemoglobinuria	acquired metabolic disease	True
MONDO:0006740	MONDO:0002254	empty sella syndrome	syndromic disease	True
