subject_id	object_id	subject_label	object_label	in_icd10cm
MONDO:0000226	MONDO:0005066	mineral metabolism disease	metabolic disease	SUPPORTED
MONDO:0000940	MONDO:0002428	trypanosomiasis	protozoa infectious disease	SUPPORTED
MONDO:0000952	MONDO:0024311	cancer of long bone of lower limb	cancer affecting bone of limb skeleton	SUPPORTED
MONDO:0000987	MONDO:0005281	cholesterolosis of gallbladder	gallbladder disorder	SUPPORTED
MONDO:0001024	MONDO:0019095	pneumonic plague	plague	SUPPORTED
MONDO:0001050	MONDO:0004795	malignant otitis externa	otitis externa	SUPPORTED
MONDO:0001056	MONDO:0002516	gastric cancer	digestive system cancer	SUPPORTED
MONDO:0001066	MONDO:0006019	late yaws	yaws	SUPPORTED
MONDO:0001100	MONDO:0002657	hypertrophy of breast	breast disorder	SUPPORTED
MONDO:0001101	MONDO:0002657	fat necrosis of breast	breast disorder	SUPPORTED
MONDO:0001112	MONDO:0019095	bubonic plague	plague	SUPPORTED
MONDO:0001113	MONDO:0004496	Fiedler's myocarditis	myocarditis	SUPPORTED
MONDO:0001114	MONDO:0004496	bacterial myocarditis	myocarditis	SUPPORTED
MONDO:0001234	MONDO:0002409	adhesive otitis media	auditory system disorder	SUPPORTED
MONDO:0001281	MONDO:0001286	alternating exotropia	exotropia	SUPPORTED
MONDO:0001284	MONDO:0005133	endometriosis of intestine	endometriosis	SUPPORTED
MONDO:0001285	MONDO:0005133	endometriosis of pelvic peritoneum	endometriosis	SUPPORTED
MONDO:0001287	MONDO:0005133	endometriosis in cutaneous scar	endometriosis	SUPPORTED
MONDO:0001288	MONDO:0005133	endometriosis of rectovaginal septum and vagina	endometriosis	SUPPORTED
MONDO:0001296	MONDO:0004588	acquired night blindness	night blindness	SUPPORTED
MONDO:0001327	MONDO:0001592	pelvic muscle wasting	prolapse of female genital organ	SUPPORTED
MONDO:0001337	MONDO:0008420	inflamed seborrheic keratosis	seborrheic keratosis	SUPPORTED
MONDO:0001382	MONDO:0005154	hepatorenal syndrome	liver disorder	SUPPORTED
MONDO:0001391	MONDO:0005124	indeterminate leprosy	leprosy	SUPPORTED
MONDO:0001396	MONDO:0004588	abnormal threshold of rods	night blindness	SUPPORTED
MONDO:0001413	MONDO:0018077	ulceroglandular tularemia	tularemia	SUPPORTED
MONDO:0001431	MONDO:0005885	toxic or nutritional optic neuropathy	optic neuritis	SUPPORTED
MONDO:0001442	MONDO:0005371	dysthymic disorder	mood disorder	SUPPORTED
MONDO:0001461	MONDO:0004678	tinea corporis	dermatophytosis	SUPPORTED
MONDO:0001491	MONDO:0004979	cough variant asthma	asthma	SUPPORTED
MONDO:0001514	MONDO:0001592	prolapse of urethra	prolapse of female genital organ	SUPPORTED
MONDO:0001530	MONDO:0001343	secondary hyperparathyroidism of renal origin	impaired renal function disease	SUPPORTED
MONDO:0001559	MONDO:0001592	perineocele	prolapse of female genital organ	SUPPORTED
MONDO:0001601	MONDO:0005136	Plasmodium ovale malaria	malaria	SUPPORTED
MONDO:0001620	MONDO:0019633	louse-borne relapsing fever	relapsing fever	SUPPORTED
