mondo_id	mondo_label	synonym_scope	synonym_scope_mondo	synonym	synonym_exact	synonym_broad	synonym_narrow	synonym_related	source_id	source_label	synonym_type	mondo_evidence	case
ID					A oboInOwl:hasExactSynonym	A oboInOwl:hasBroadSynonym	A oboInOwl:hasNarrowSynonym	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref				
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oio:hasExactSynonym		Immunodeficiency-centromeric instability-facial dysmorphism syndrome	Immunodeficiency-centromeric instability-facial dysmorphism syndrome				Orphanet:2268	ICF syndrome			
MONDO:0000330	endemic typhus	oio:hasExactSynonym		Endemic typhus	Endemic typhus				Orphanet:83315	Murine typhus			
MONDO:0000330	endemic typhus	oio:hasExactSynonym		Flea-borne typhus	Flea-borne typhus				Orphanet:83315	Murine typhus			
MONDO:0000447	autosomal dominant polycystic liver disease	oio:hasExactSynonym		ADPCLD	ADPCLD				Orphanet:2924	Isolated polycystic liver disease			
MONDO:0000447	autosomal dominant polycystic liver disease	oio:hasExactSynonym		Autosomal dominant polycystic liver disease	Autosomal dominant polycystic liver disease				Orphanet:2924	Isolated polycystic liver disease			
MONDO:0000453	short QT syndrome	oio:hasExactSynonym		SQTS	SQTS				Orphanet:51083	Familial short QT syndrome			
MONDO:0000463	Ochoa syndrome	oio:hasExactSynonym		Ochoa facial syndrome	Ochoa facial syndrome				Orphanet:2704	Urofacial syndrome			
MONDO:0000565	infective endocarditis	oio:hasExactSynonym		Bacterial endocarditis	Bacterial endocarditis				Orphanet:570762	Infective endocarditis			
MONDO:0000565	infective endocarditis	oio:hasExactSynonym		Infectious endocarditis	Infectious endocarditis				Orphanet:570762	Infective endocarditis			
MONDO:0000698	gamma-amino butyric acid metabolism disorder	oio:hasExactSynonym		Disorder of GABA metabolism	Disorder of GABA metabolism				Orphanet:79175	Disorder of gamma-aminobutyric acid metabolism			
MONDO:0000859	spina bifida occulta	oio:hasExactSynonym		Closed spina bifida	Closed spina bifida				Orphanet:645202	Closed spinal dysraphism			
MONDO:0000859	spina bifida occulta	oio:hasExactSynonym		Occult spina bifida	Occult spina bifida				Orphanet:645202	Closed spinal dysraphism			
MONDO:0001029	Klippel-Feil syndrome	oio:hasExactSynonym		Congenital cervical vertebral fusion	Congenital cervical vertebral fusion				Orphanet:2345	Isolated Klippel-Feil syndrome			
MONDO:0001029	Klippel-Feil syndrome	oio:hasExactSynonym		Congenital fused cervical segments	Congenital fused cervical segments				Orphanet:2345	Isolated Klippel-Feil syndrome			
MONDO:0001029	Klippel-Feil syndrome	oio:hasExactSynonym		Klippel-Feil malformation	Klippel-Feil malformation				Orphanet:2345	Isolated Klippel-Feil syndrome			
MONDO:0001347	facioscapulohumeral muscular dystrophy	oio:hasExactSynonym		Landouzy-Dejerine dystrophy	Landouzy-Dejerine dystrophy				Orphanet:269	Facioscapulohumeral dystrophy			
MONDO:0001633	central retinal artery occlusion	oio:hasExactSynonym		CRAO	CRAO				Orphanet:648684	Central retinal artery occlusion			
MONDO:0002095	vascular cancer	oio:hasExactSynonym		Metastatic vascular neoplasm	Metastatic vascular neoplasm				Orphanet:673466	Malignant vascular tumor			
MONDO:0002303	central retinal vein occlusion	oio:hasExactSynonym		CRVO	CRVO				Orphanet:411527	Central retinal vein occlusion			
MONDO:0002441	Jervell and Lange-Nielsen syndrome	oio:hasExactSynonym		Long QT interval-hearing loss syndrome	Long QT interval-hearing loss syndrome				Orphanet:90647	Jervell and Lange-Nielsen syndrome			
MONDO:0002546	schwannoma	oio:hasExactSynonym		Neurilemoma	Neurilemoma				Orphanet:252164	Benign schwannoma			
MONDO:0002629	bone osteosarcoma	oio:hasExactSynonym		Osteogenic sarcoma	Osteogenic sarcoma				Orphanet:668	Osteosarcoma			
MONDO:0002687	superior mesenteric artery syndrome	oio:hasExactSynonym		SMAS	SMAS				Orphanet:622099	Superior mesenteric artery syndrome			
MONDO:0002882	colon neuroendocrine neoplasm	oio:hasExactSynonym		Colonic NET	Colonic NET				Orphanet:100080	Neuroendocrine tumor of the colon			
MONDO:0002882	colon neuroendocrine neoplasm	oio:hasExactSynonym		NET of the colon	NET of the colon				Orphanet:100080	Neuroendocrine tumor of the colon			
MONDO:0003111	gastric neuroendocrine neoplasm	oio:hasExactSynonym		GNET	GNET				Orphanet:100075	Neuroendocrine tumor of stomach			
